filename;q_flag;tune;energy;fs;res;bpp;ssim;psnr;mse;;avg fs;min fs;max fs;median
artificial;0;0,957575327;50,57;1731633;3072x2048;2,2018;0,999110418;55,6285812;0,177918964;;2759289,106;10344;47664028;510729,5
artificial;1;0,785955956;42,72;1111640;3072x2048;1,4135;0,998459843;52,99833891;0,326021671;;avg encode time;min time;max time ;median
artificial;2;0,808955651;38,99;925597;3072x2048;1,1769;0,998130978;51,98767081;0,411446412;;0,995584699;0,188116571;4,149667835;0,755968454
artificial;3;0,692784092;36,5;785337;3072x2048;0,9986;0,99778561;50,99311532;0,517331388;;avg bpp;min bpp;max bpp;median 
artificial;4;0,663642702;34,59;699678;3072x2048;0,8896;0,997449969;50,25405254;0,613303026;;1,795987879;0,0126;13,8657;0,5606
artificial;5;0,665137576;31,49;630361;3072x2048;0,8015;0,997083368;49,46680351;0,735190709;;min energy;max energy;avg energy;median
artificial;6;0,690573427;32,25;585043;3072x2048;0,7439;0,996722025;48,87078685;0,843338013;;7,88;263,66;47,82997835;31,51
artificial;7;0,628015757;30,45;541325;3072x2048;0,6883;0,996590209;48,3895498;0,94216156;;;;;
artificial;8;0,617813802;28,73;512988;3072x2048;0,6522;0,996272027;47,91350809;1,051306989;;;;;
artificial;9;0,58384292;27,5;484619;3072x2048;0,6162;0,995843054;47,36667625;1,192374653;;;;;
artificial;10;0,590748697;27,45;464069;3072x2048;0,59;0,995503059;46,98499777;1,301908864;;;;;
artificial;11;0,59603201;26,18;445816;3072x2048;0,5668;0,995124073;46,59933477;1,422809919;;;;;
artificial;12;0,591583489;26,17;426596;3072x2048;0,5424;0,994698219;46,15036938;1,577769015;;;;;
artificial;13;0,580441732;27,07;412363;3072x2048;0,5243;0,994327069;45,82864667;1,699087302;;;;;
artificial;14;0,559561753;28,28;400175;3072x2048;0,5088;0,993936624;45,51328821;1,82705466;;;;;
artificial;15;0,536096006;26,65;388148;3072x2048;0,4935;0,993535023;45,21258784;1,958040078;;;;;
artificial;16;0,559914333;27,51;373988;3072x2048;0,4755;0,993114991;44,87358362;2,11700556;;;;;
artificial;17;0,521433641;26,83;364006;3072x2048;0,4628;0,992676739;44,58343759;2,263271226;;;;;
artificial;18;0,588149661;29,77;353818;3072x2048;0,4499;0,9922381;44,31091121;2,409845723;;;;;
artificial;19;0,55027616;24,96;343437;3072x2048;0,4367;0,991754097;44,00642898;2,584862603;;;;;
artificial;20;0,591558079;24,6;332094;3072x2048;0,4222;0,99119664;43,69438497;2,777421951;;;;;
artificial;21;0,528340048;24,05;323355;3072x2048;0,4111;0,99077224;43,4455852;2,941181607;;;;;
artificial;22;0,544427566;23,19;314462;3072x2048;0,3998;0,990261774;43,19583977;3,115274959;;;;;
artificial;23;0,573847997;24,4;306232;3072x2048;0,3893;0,989752422;42,95215421;3,295072238;;;;;
artificial;24;0,545367279;23,45;295520;3072x2048;0,3757;0,989090838;42,64814119;3,533997536;;;;;
artificial;25;0,576350013;23,74;280799;3072x2048;0,357;0,988010405;42,22002339;3,90012047;;;;;
artificial;26;0,534785353;22,75;265907;3072x2048;0,3381;0,986953179;41,80814407;4,288110362;;;;;
artificial;27;0,549090227;22,53;252433;3072x2048;0,3209;0,985866104;41,39457418;4,716533714;;;;;
artificial;28;0,501101472;23,97;240847;3072x2048;0,3062;0,984777203;41,02291706;5,137935585;;;;;
artificial;29;0,518480724;23,85;228801;3072x2048;0,2909;0,983575852;40,65997409;5,585768753;;;;;
artificial;30;0,524770519;23,78;219918;3072x2048;0,2796;0,98247935;40,34153263;6,010728306;;;;;
artificial;31;0,487034678;22,01;207942;3072x2048;0,2644;0,980976627;39,90829557;6,641264915;;;;;
artificial;32;0,506724106;21,83;196000;3072x2048;0,2492;0,979124895;39,43758658;7,401533392;;;;;
artificial;33;0,480186842;21,33;185987;3072x2048;0,2364;0,977538771;39,0709436;8,053524812;;;;;
artificial;34;0,50014809;21,08;176812;3072x2048;0,2248;0,975848168;38,68992808;8,791997433;;;;;
artificial;35;0,50426568;20,92;166696;3072x2048;0,2119;0,973702135;38,2814796;9,659005218;;;;;
artificial;36;0,488581822;20,33;156775;3072x2048;0,1993;0,971496641;37,82239079;10,73596981;;;;;
artificial;37;0,5002329;19,66;148296;3072x2048;0,1885;0,969633654;37,4542995;11,6855837;;;;;
artificial;38;0,468636585;20,51;140020;3072x2048;0,178;0,967014295;37,03468517;12,87098678;;;;;
