filename,q_flag,tune,energy,fs,res,bpp,ssim,psnr,mse
artificial,0,0.957575327,50.57,1731633,3072x2048,2.2018,0.9991104178,55.6285811989,0.177918964
artificial,1,0.785955956,42.72,1111640,3072x2048,1.4135,0.9984598432,52.9983389144,0.3260216713
artificial,2,0.808955651,38.99,925597,3072x2048,1.1769,0.9981309777,51.9876708101,0.4114464124
artificial,3,0.692784092,36.5,785337,3072x2048,0.9986,0.9977856102,50.9931153153,0.5173313883
artificial,4,0.663642702,34.59,699678,3072x2048,0.8896,0.9974499688,50.254052537,0.6133030256
artificial,5,0.665137576,31.49,630361,3072x2048,0.8015,0.9970833682,49.4668035061,0.7351907094
artificial,6,0.690573427,32.25,585043,3072x2048,0.7439,0.9967220252,48.8707868467,0.8433380127
artificial,7,0.628015757,30.45,541325,3072x2048,0.6883,0.9965902093,48.389549797,0.9421615601
artificial,8,0.617813802,28.73,512988,3072x2048,0.6522,0.9962720273,47.913508091,1.0513069895
artificial,9,0.58384292,27.5,484619,3072x2048,0.6162,0.9958430538,47.3666762535,1.1923746533
artificial,10,0.590748697,27.45,464069,3072x2048,0.59,0.9955030593,46.9849977701,1.3019088639
artificial,11,0.59603201,26.18,445816,3072x2048,0.5668,0.9951240733,46.5993347678,1.4228099187
artificial,12,0.591583489,26.17,426596,3072x2048,0.5424,0.9946982191,46.1503693807,1.5777690146
artificial,13,0.580441732,27.07,412363,3072x2048,0.5243,0.9943270687,45.8286466666,1.6990873019
artificial,14,0.559561753,28.28,400175,3072x2048,0.5088,0.9939366242,45.5132882064,1.8270546595
artificial,15,0.536096006,26.65,388148,3072x2048,0.4935,0.993535023,45.2125878388,1.9580400785
artificial,16,0.559914333,27.51,373988,3072x2048,0.4755,0.9931149905,44.8735836221,2.1170055601
artificial,17,0.521433641,26.83,364006,3072x2048,0.4628,0.992676739,44.5834375883,2.2632712258
artificial,18,0.588149661,29.77,353818,3072x2048,0.4499,0.9922381005,44.3109112069,2.409845723
artificial,19,0.55027616,24.96,343437,3072x2048,0.4367,0.9917540969,44.006428975,2.5848626031
artificial,20,0.591558079,24.6,332094,3072x2048,0.4222,0.9911966401,43.6943849725,2.7774219513
artificial,21,0.528340048,24.05,323355,3072x2048,0.4111,0.9907722402,43.4455851951,2.9411816067
artificial,22,0.544427566,23.19,314462,3072x2048,0.3998,0.9902617739,43.1958397666,3.1152749591
artificial,23,0.573847997,24.4,306232,3072x2048,0.3893,0.9897524216,42.9521542082,3.2950722377
artificial,24,0.545367279,23.45,295520,3072x2048,0.3757,0.9890908378,42.6481411854,3.5339975357
artificial,25,0.576350013,23.74,280799,3072x2048,0.357,0.9880104054,42.2200233877,3.9001204703
artificial,26,0.534785353,22.75,265907,3072x2048,0.3381,0.9869531786,41.808144067,4.2881103622
artificial,27,0.549090227,22.53,252433,3072x2048,0.3209,0.9858661043,41.3945741774,4.7165337139
artificial,28,0.501101472,23.97,240847,3072x2048,0.3062,0.9847772032,41.0229170567,5.1379355854
artificial,29,0.518480724,23.85,228801,3072x2048,0.2909,0.9835758525,40.6599740865,5.5857687526
artificial,30,0.524770519,23.78,219918,3072x2048,0.2796,0.9824793497,40.341532632,6.0107283062
artificial,31,0.487034678,22.01,207942,3072x2048,0.2644,0.9809766272,39.9082955658,6.6412649155
artificial,32,0.506724106,21.83,196000,3072x2048,0.2492,0.9791248948,39.4375865809,7.4015333917
artificial,33,0.480186842,21.33,185987,3072x2048,0.2364,0.9775387712,39.0709435983,8.0535248121
artificial,34,0.50014809,21.08,176812,3072x2048,0.2248,0.9758481684,38.6899280827,8.7919974327
artificial,35,0.50426568,20.92,166696,3072x2048,0.2119,0.9737021347,38.2814796018,9.6590052181
artificial,36,0.488581822,20.33,156775,3072x2048,0.1993,0.971496641,37.8223907936,10.7359698084
artificial,37,0.5002329,19.66,148296,3072x2048,0.1885,0.9696336535,37.4542995049,11.6855836974
artificial,38,0.468636585,20.51,140020,3072x2048,0.178,0.9670142946,37.0346851665,12.8709867795
artificial,39,0.505732184,19.28,131714,3072x2048,0.1674,0.9645643487,36.6244627238,14.1460141606
artificial,40,0.499843199,18.72,124599,3072x2048,0.1584,0.9618878857,36.2572267708,15.3942198224
artificial,41,0.492702842,18.76,116372,3072x2048,0.1479,0.9590211216,35.8459895688,16.9231577979
artificial,42,0.451246283,17.98,109527,3072x2048,0.1392,0.955897555,35.4591352922,18.4997914102
artificial,43,0.463505272,18.55,103014,3072x2048,0.1309,0.952512225,35.0558621747,20.299911446
artificial,44,0.446720942,17.78,96502,3072x2048,0.1227,0.949057054,34.6783681873,22.1433610916
artificial,45,0.434389132,17.76,90565,3072x2048,0.1151,0.9452779244,34.2748201804,24.2995562553
artificial,46,0.466675449,17.35,85129,3072x2048,0.1082,0.9412419188,33.8817393306,26.601518472
artificial,47,0.462196849,17.36,79818,3072x2048,0.1014,0.9361801442,33.4897887201,29.1139739354
artificial,48,0.445151348,16.8,74488,3072x2048,0.0947,0.9318848495,33.095588759,31.880232864
artificial,49,0.413822673,17.02,69559,3072x2048,0.0884,0.9283561641,32.7131589052,34.8148453501
artificial,50,0.426454723,17.01,65089,3072x2048,0.0827,0.9223758714,32.3285228114,38.0389113956
artificial,51,0.418964935,15.98,60993,3072x2048,0.0775,0.9185837011,31.9547614606,41.4576055209
artificial,52,0.431373835,16.22,56861,3072x2048,0.0723,0.9130819368,31.5741520351,45.2548528777
artificial,53,0.415418647,16.35,52976,3072x2048,0.0673,0.9079056258,31.209772078,49.2156418165
artificial,54,0.410012293,15.65,49384,3072x2048,0.0627,0.9024769722,30.8111312825,53.9469918145
artificial,55,0.398183585,15.66,45551,3072x2048,0.0579,0.8968189767,30.4207820381,59.0204011599
artificial,56,0.384256272,15.41,41958,3072x2048,0.0533,0.8901178572,30.0106527881,64.8656959534
artificial,57,0.378552848,14.8,38641,3072x2048,0.0491,0.8560502268,29.6043486934,71.2271375656
artificial,58,0.358045949,14.59,35002,3072x2048,0.0445,0.8780102362,29.1791608553,78.5532712407
artificial,59,0.371590752,14.53,31682,3072x2048,0.0402,0.8702149212,28.7182806272,87.3478657934
artificial,60,0.373459536,14.88,28026,3072x2048,0.0356,0.8632732211,28.2258739431,97.8347110218
artificial,61,0.366952351,14.15,24599,3072x2048,0.0312,0.8519846734,27.6940219477,110.5804024273
artificial,62,0.355329173,13.75,20748,3072x2048,0.0263,0.844611124,26.9516061823,131.1957427661
artificial,63,0.335714365,13.26,15877,3072x2048,0.0201,0.8284569982,25.7374401532,173.5147287051
big_building,0,4.149667835,263.66,47664028,7216x5412,9.7639,0.9978165216,52.9950850213,0.3262660302
big_building,1,4.06796054,256.09,36062832,7216x5412,7.3874,0.9953143069,47.9387476652,1.0452149053
big_building,2,3.879444668,242.01,29328542,7216x5412,6.0079,0.9941473072,46.5888723887,1.4262416735
big_building,3,3.731461473,230.98,23752141,7216x5412,4.8656,0.9930475002,45.4872487457,1.8380422342
big_building,4,3.723930274,223.88,19961602,7216x5412,4.0891,0.9919134037,44.5363903905,2.287922566
big_building,5,3.551906571,215.71,16879216,7216x5412,3.4577,0.9907002188,43.6286271397,2.8197957193
big_building,6,3.478285304,206.45,14756224,7216x5412,3.0228,0.9894476713,42.8738031492,3.355058105
big_building,7,3.406330752,200.68,12886957,7216x5412,2.6398,0.9882627331,42.1612186442,3.9532883848
big_building,8,3.31805766,193.14,11551837,7216x5412,2.3663,0.9870843456,41.5920901635,4.5068317429
big_building,9,3.250097348,185.4,10308401,7216x5412,2.1116,0.9858357595,41.0176629054,5.1441552886
big_building,10,3.216796597,183.46,9388866,7216x5412,1.9233,0.9847674879,40.5760553654,5.6947521119
big_building,11,3.198290113,186.52,8606531,7216x5412,1.763,0.9836316601,40.1553805766,6.2739680569
big_building,12,3.074389966,180.11,7853880,7216x5412,1.6088,0.9824117762,39.7193197034,6.9366277749
big_building,13,3.057407075,173.65,7280219,7216x5412,1.4913,0.9813143641,39.3692746089,7.5188756088
big_building,14,3.016615587,172.6,6779147,7216x5412,1.3887,0.9803243742,39.0592144378,8.0753046783
big_building,15,2.980869391,161.14,6334078,7216x5412,1.2975,0.9792693232,38.7574352106,8.6563905014
big_building,16,3.00942729,167.29,5886303,7216x5412,1.2058,0.9781237394,38.433143217,9.3275167837
big_building,17,2.950663629,157.71,5541321,7216x5412,1.1351,0.9770763061,38.1703315553,9.9093964853
big_building,18,2.973062552,171.05,5228753,7216x5412,1.0711,0.9761123184,37.9289293694,10.4758054389
big_building,19,2.836399585,150.28,4947009,7216x5412,1.0133,0.9750957085,37.6922980108,11.0624306156
big_building,20,2.850902619,151.34,4656282,7216x5412,0.9538,0.9739664868,37.4350645051,11.7374541922
big_building,21,2.874883777,148.36,4426618,7216x5412,0.9067,0.972946246,37.2224473736,12.3263820264
big_building,22,2.798522274,145.3,4216733,7216x5412,0.8637,0.9720394151,37.0288015047,12.8884357354
big_building,23,2.815868616,143.45,4024381,7216x5412,0.8243,0.9710096069,36.8390441902,13.4640570092
big_building,24,2.78856865,141.69,3796628,7216x5412,0.7777,0.969732501,36.6038524863,14.2133062003
big_building,25,2.750736149,138.21,3491076,7216x5412,0.7151,0.9678046364,36.2679620456,15.3562140215
big_building,26,2.756330813,138.11,3229832,7216x5412,0.6616,0.9658385239,35.9776341002,16.4178752296
big_building,27,2.741924508,145.19,3003190,7216x5412,0.6152,0.9639546707,35.6980535902,17.5095506895
big_building,28,2.667350949,130.11,2805778,7216x5412,0.5747,0.9620692465,35.4410201117,18.5771184275
big_building,29,2.651597931,127.35,2631835,7216x5412,0.5391,0.9600445294,35.1914985185,19.6757143559
big_building,30,2.648530534,136.38,2475676,7216x5412,0.5071,0.9581496008,34.9608475269,20.7489253491
big_building,31,2.64262094,140.35,2283924,7216x5412,0.4678,0.955307767,34.6478711478,22.2994035045
big_building,32,2.600557769,130.67,2101660,7216x5412,0.4305,0.952475276,34.3449457165,23.9103420638
big_building,33,2.581866054,135.47,1959896,7216x5412,0.4014,0.9497353007,34.0838479301,25.3919215631
big_building,34,2.57194849,122.83,1833223,7216x5412,0.3755,0.9469414715,33.8330248118,26.9015856796
big_building,35,2.533878079,118.37,1697228,7216x5412,0.3476,0.9434013238,33.5548626739,28.6809870547
big_building,36,2.469088484,111.15,1566858,7216x5412,0.3209,0.9396736835,33.2605891476,30.6917354501
big_building,37,2.478320625,110.03,1457795,7216x5412,0.2986,0.936086485,32.9968000002,32.6137216921
big_building,38,2.452787864,107.29,1346828,7216x5412,0.2758,0.9318492735,32.7084479952,34.8526304463
big_building,39,2.435726674,105.23,1246213,7216x5412,0.2552,0.9272992782,32.4301491605,37.1591220804
big_building,40,2.413922531,101.23,1158248,7216x5412,0.2372,0.9228068091,32.1764799049,39.3942077046
big_building,41,2.356056562,98.48,1067849,7216x5412,0.2187,0.9173428996,31.8897589389,42.0827843869
big_building,42,2.333437368,96.1,990745,7216x5412,0.2029,0.9121381275,31.6320237834,44.6558111518
big_building,43,2.343835443,95.08,914580,7216x5412,0.1873,0.9061729022,31.3507927517,47.6432177847
big_building,44,2.29216496,92.49,845404,7216x5412,0.1731,0.9001320647,31.0832519737,50.6704969323
big_building,45,2.303253496,92.48,778436,7216x5412,0.1594,0.8933210208,30.8024307087,54.0551765321
big_building,46,2.275205848,89.27,716656,7216x5412,0.1468,0.8862837247,30.521042423,57.6734748433
big_building,47,2.251928093,87.75,659899,7216x5412,0.1351,0.8791357796,30.252998145,61.3451943025
big_building,48,2.247589582,86.74,605828,7216x5412,0.1241,0.8711436649,29.9669054144,65.5224034307
big_building,49,2.226616372,85.25,555038,7216x5412,0.1136,0.8626792567,29.6798070672,70.0002601679
big_building,50,2.235879104,83.94,508209,7216x5412,0.1041,0.8536760926,29.3914877352,74.8051653678
big_building,51,2.215508675,82.87,463915,7216x5412,0.095,0.8442753852,29.1018670195,79.9638432057
big_building,52,2.203970458,82.77,422254,7216x5412,0.0864,0.8343745711,28.8099943868,85.5226052505
big_building,53,2.170705798,80.18,383220,7216x5412,0.0785,0.8235791646,28.5138420432,91.5579703172
big_building,54,2.199397936,81.33,346602,7216x5412,0.071,0.812273268,28.2124745573,98.1370288009
big_building,55,2.156064923,80.04,311887,7216x5412,0.0638,0.799958664,27.9034153131,105.3753013341
big_building,56,2.159398751,79.3,279060,7216x5412,0.0571,0.786935489,27.5864052364,113.3547796969
big_building,57,2.140054085,77.66,248598,7216x5412,0.0509,0.7729479876,27.2662662932,122.0263810517
big_building,58,2.146260419,77.48,218753,7216x5412,0.0448,0.7576202514,26.9357925225,131.6743273943
big_building,59,2.161550716,78.56,190161,7216x5412,0.0389,0.739975314,26.5898802196,142.5910735939
big_building,60,2.130579311,75.75,162752,7216x5412,0.0333,0.7204934593,26.2206384601,155.2446043485
big_building,61,2.183684089,78.01,135468,7216x5412,0.0277,0.6979025322,25.8025038485,170.9345984212
big_building,62,2.148917635,76.06,102768,7216x5412,0.021,0.6664786534,25.222968824,195.3365344624
big_building,63,2.122824383,74.64,70190,7216x5412,0.0143,0.6318248946,24.4752600663,232.0354571979
big_tree,0,3.34673533,207.15,40211442,6088x4550,11.6132,0.9975974671,53.0677380574,0.320853333
big_tree,1,2.993510241,180.29,33093996,6088x4550,9.5576,0.9946223172,47.6053296309,1.1286191054
big_tree,2,2.85943858,169.12,28330385,6088x4550,8.1819,0.9931087584,46.2034650148,1.558597084
big_tree,3,2.765645365,161.29,24487284,6088x4550,7.072,0.9913539355,44.9536004822,2.0783577854
big_tree,4,2.689759653,153.95,21484130,6088x4550,6.2047,0.9892950715,43.831201225,2.6912883929
big_tree,5,2.601740802,148.53,18805115,6088x4550,5.431,0.9868510778,42.7539524709,3.4489358276
big_tree,6,2.493215142,142.66,16778395,6088x4550,4.8456,0.9841743182,41.8343645073,4.26229898
big_tree,7,2.474506847,140.74,14938152,6088x4550,4.3142,0.9811297378,40.9544928461,5.219526132
big_tree,8,2.401851462,134.4,13477008,6088x4550,3.8922,0.9780820356,40.2293341973,6.1680365867
big_tree,9,2.377031963,130.84,12096879,6088x4550,3.4936,0.9745819472,39.5165140406,7.2682349352
big_tree,10,2.2717445,125.78,11018143,6088x4550,3.182,0.9712621653,38.9440043609,8.2923939245
big_tree,11,2.25909123,124.55,10066087,6088x4550,2.9071,0.9678219321,38.4148738687,9.3668372418
big_tree,12,2.187933819,118.48,9141730,6088x4550,2.6401,0.9639818074,37.8900370537,10.5700406011
big_tree,13,2.169064414,116.77,8386269,6088x4550,2.4219,0.9603483142,37.4523855061,11.690734839
big_tree,14,2.141247347,115.18,7719522,6088x4550,2.2294,0.9567950502,37.0634083944,12.786141945
big_tree,15,2.078934388,112.23,7128103,6088x4550,2.0586,0.9531479305,36.6969258953,13.9119424148
big_tree,16,2.068284592,109.74,6556318,6088x4550,1.8934,0.9491542809,36.324143317,15.1588420985
big_tree,17,2.060869754,109.14,6097804,6088x4550,1.761,0.9455415243,36.0144771719,16.2791844402
big_tree,18,2.035266723,105.98,5687770,6088x4550,1.6426,0.9421095281,35.7417586074,17.334227821
big_tree,19,2.022648803,105.36,5316912,6088x4550,1.5355,0.9385549659,35.4732233466,18.4398772701
big_tree,20,1.994616405,102.74,4951520,6088x4550,1.43,0.9347392225,35.1975246118,19.6484320684
big_tree,21,1.953843758,104.57,4654861,6088x4550,1.3443,0.931375839,34.9654833258,20.7267890957
big_tree,22,2.122634742,135.18,4389036,6088x4550,1.2675,0.9282517444,34.764155747,21.7102480831
big_tree,23,2.504172838,233.05,4143102,6088x4550,1.1965,0.9249756598,34.555951354,22.7764075609
big_tree,24,2.819743814,258.82,3844973,6088x4550,1.1104,0.9206905486,34.29516783,24.1859737886
big_tree,25,2.118187741,177.79,3465917,6088x4550,1.0009,0.9148063939,33.9549323654,26.1569513316
big_tree,26,1.838474701,92.47,3143906,6088x4550,0.9079,0.9092130632,33.6405958745,28.1203533403
big_tree,27,1.83010303,89.94,2865678,6088x4550,0.8276,0.9039862939,33.3586324025,30.0066229128
big_tree,28,1.811960487,87.37,2624615,6088x4550,0.758,0.8990773199,33.0987131844,31.8573056586
big_tree,29,1.793510752,85.78,2414639,6088x4550,0.6973,0.8944170112,32.8522041473,33.7178555785
big_tree,30,1.787021487,85.89,2229940,6088x4550,0.644,0.8900985435,32.632596191,35.4666967625
big_tree,31,1.768198772,83.39,2001914,6088x4550,0.5781,0.8842920212,32.3318096455,38.0101336202
big_tree,32,1.740344485,81.65,1795949,6088x4550,0.5186,0.8787531178,32.0485886057,40.5715406998
big_tree,33,1.730140131,80.06,1631840,6088x4550,0.4712,0.8739576508,31.8045129581,42.9169712351
big_tree,34,1.711130365,78.94,1490813,6088x4550,0.4305,0.8695632954,31.5796924215,45.1971571169
big_tree,35,1.71724892,79.07,1343908,6088x4550,0.3881,0.8646147383,31.3269907716,47.905048447
big_tree,36,1.691074776,75.71,1205960,6088x4550,0.3482,0.8596384015,31.0707526354,50.8165406877
big_tree,37,1.677383114,74.6,1093887,6088x4550,0.3159,0.8551779678,30.8438321651,53.5423149485
big_tree,38,1.661947198,73.34,982793,6088x4550,0.2838,0.850407688,30.6012371578,56.618276511
big_tree,39,1.656571094,73.29,884052,6088x4550,0.2553,0.8457143571,30.368457402,59.7357912521
big_tree,40,1.627665394,70.17,800152,6088x4550,0.231,0.8412294342,30.1557284505,62.7346552637
big_tree,41,1.631354564,69.65,715543,6088x4550,0.2066,0.8362276447,29.9224554495,66.1964677285
big_tree,42,1.624986308,69.1,647253,6088x4550,0.1869,0.8317204529,29.7206624643,69.3448342503
big_tree,43,1.595508278,67.34,580373,6088x4550,0.1676,0.8267742211,29.5011786717,72.9394515964
big_tree,44,1.570570398,67.1,525689,6088x4550,0.1518,0.8220909812,29.3037742319,76.3313489938
big_tree,45,1.569025034,66.27,473913,6088x4550,0.1368,0.8172871963,29.1061733883,79.8845921118
big_tree,46,1.574234787,66.07,428237,6088x4550,0.1236,0.8124212178,28.9075475896,83.6229726526
big_tree,47,1.548520875,64.13,389688,6088x4550,0.1125,0.8080459699,28.7312926239,87.0865525047
big_tree,48,1.531020433,63.17,353385,6088x4550,0.102,0.8032100847,28.5462571382,90.877139199
big_tree,49,1.559663602,63.34,322258,6088x4550,0.093,0.7985843371,28.3700298866,94.6405754309
big_tree,50,1.529354309,62.13,295573,6088x4550,0.0853,0.7940172636,28.1953431478,98.5249098328
