Filename,q_flag,Avg Time,Avg Energy,File Size,Resolution,bpp
artificial,0,0.112693582,7.12,80808,3072x2048,.1027
artificial,1,0.055197958,2.83,80808,3072x2048,.1027
artificial,2,0.056485491,2.95,97454,3072x2048,.1239
artificial,3,0.056743672,3.01,116375,3072x2048,.1479
artificial,4,0.056897852,2.98,136178,3072x2048,.1731
artificial,5,0.058346685,3.02,156182,3072x2048,.1985
artificial,6,0.057610024,3.58,176886,3072x2048,.2249
artificial,7,0.058160165,2.99,196338,3072x2048,.2496
artificial,8,0.058063005,3.01,214478,3072x2048,.2727
artificial,9,0.058196325,2.89,233227,3072x2048,.2965
artificial,10,0.060445990,3.02,251291,3072x2048,.3195
artificial,11,0.062201775,3.17,268514,3072x2048,.3414
artificial,12,0.060693342,2.99,284138,3072x2048,.3613
artificial,13,0.059790509,3.03,302057,3072x2048,.3840
artificial,14,0.066282735,4.78,316658,3072x2048,.4026
artificial,15,0.060447301,2.99,331542,3072x2048,.4215
artificial,16,0.060201081,2.99,345972,3072x2048,.4399
artificial,17,0.060497361,3.00,361555,3072x2048,.4597
artificial,18,0.060916992,3.06,375524,3072x2048,.4775
artificial,19,0.061477473,3.08,387346,3072x2048,.4925
artificial,20,0.062997727,3.84,400559,3072x2048,.5093
artificial,21,0.061136993,3.15,414554,3072x2048,.5271
artificial,22,0.061641004,2.94,426365,3072x2048,.5421
artificial,23,0.062200035,3.09,439080,3072x2048,.5583
artificial,24,0.061554803,3.05,450632,3072x2048,.5730
artificial,25,0.062052665,3.11,461555,3072x2048,.5868
artificial,26,0.068429910,3.66,473009,3072x2048,.6014
artificial,27,0.062982927,3.36,482897,3072x2048,.6140
artificial,28,0.063488288,3.13,494913,3072x2048,.6293
artificial,29,0.062946807,3.14,502830,3072x2048,.6393
artificial,30,0.063676659,3.34,512554,3072x2048,.6517
artificial,31,0.063426478,3.19,521766,3072x2048,.6634
artificial,32,0.063862339,3.68,531135,3072x2048,.6753
artificial,33,0.065204593,3.40,542554,3072x2048,.6898
artificial,34,0.065322093,3.24,548269,3072x2048,.6971
artificial,35,0.066545226,3.29,561112,3072x2048,.7134
artificial,36,0.064100080,3.25,570967,3072x2048,.7260
artificial,37,0.064104290,3.16,575959,3072x2048,.7323
artificial,38,0.067958920,4.31,588047,3072x2048,.7477
artificial,39,0.064559871,3.24,596152,3072x2048,.7580
artificial,40,0.064862372,3.32,599833,3072x2048,.7627
artificial,41,0.064788902,3.34,611806,3072x2048,.7779
artificial,42,0.064892892,3.23,619413,3072x2048,.7876
artificial,43,0.064795032,3.21,625033,3072x2048,.7947
artificial,44,0.065315353,4.54,635803,3072x2048,.8084
artificial,45,0.064732882,3.19,643612,3072x2048,.8183
artificial,46,0.065239233,3.21,653467,3072x2048,.8309
artificial,47,0.065331583,3.20,657051,3072x2048,.8354
artificial,48,0.065093412,3.22,666479,3072x2048,.8474
artificial,49,0.065881365,3.21,679912,3072x2048,.8645
artificial,50,0.074509036,4.87,681665,3072x2048,.8667
artificial,51,0.065535924,3.22,683534,3072x2048,.8691
artificial,52,0.066255246,3.25,697824,3072x2048,.8873
artificial,53,0.065829384,3.28,708242,3072x2048,.9005
artificial,54,0.065916205,3.34,713018,3072x2048,.9066
artificial,55,0.070778187,4.55,720798,3072x2048,.9165
artificial,56,0.071691059,4.82,731580,3072x2048,.9302
artificial,57,0.066883367,3.32,742750,3072x2048,.9444
artificial,58,0.067117748,3.33,755143,3072x2048,.9602
artificial,59,0.067448088,3.38,762036,3072x2048,.9689
artificial,60,0.070252885,3.50,768899,3072x2048,.9777
artificial,61,0.070215856,3.46,784508,3072x2048,.9975
artificial,62,0.068193721,3.55,791704,3072x2048,1.0067
artificial,63,0.067052787,3.37,805306,3072x2048,1.0239
artificial,64,0.067455289,3.41,813088,3072x2048,1.0338
artificial,65,0.067716020,3.42,830970,3072x2048,1.0566
artificial,66,0.067843579,3.32,839436,3072x2048,1.0673
artificial,67,0.068731772,3.49,853021,3072x2048,1.0846
artificial,68,0.073693124,4.70,871770,3072x2048,1.1085
artificial,69,0.068335521,3.40,882629,3072x2048,1.1223
artificial,70,0.069239533,3.57,904120,3072x2048,1.1496
artificial,71,0.069887114,4.13,919367,3072x2048,1.1690
artificial,72,0.069703475,3.80,931531,3072x2048,1.1845
artificial,73,0.075838550,5.14,953125,3072x2048,1.2119
artificial,74,0.070842287,3.68,981385,3072x2048,1.2478
artificial,75,0.071113978,3.87,985406,3072x2048,1.2530
artificial,76,0.071014628,3.72,1006568,3072x2048,1.2799
artificial,77,0.073155653,3.86,1039643,3072x2048,1.3219
artificial,78,0.072261631,3.86,1065253,3072x2048,1.3545
artificial,79,0.073474543,4.25,1084093,3072x2048,1.3784
artificial,80,0.073070402,3.86,1112032,3072x2048,1.4140
artificial,81,0.073882125,3.99,1149801,3072x2048,1.4620
artificial,82,0.075948880,4.04,1175021,3072x2048,1.4941
artificial,83,0.076106230,3.99,1219121,3072x2048,1.5501
artificial,84,0.076000639,4.95,1251407,3072x2048,1.5912
artificial,85,0.080505031,4.72,1278749,3072x2048,1.6260
artificial,86,0.076891342,4.29,1339301,3072x2048,1.7030
artificial,87,0.078133515,4.26,1372352,3072x2048,1.7450
artificial,88,0.078711156,4.41,1436105,3072x2048,1.8261
artificial,89,0.082568146,4.63,1481604,3072x2048,1.8839
artificial,90,0.080743391,4.38,1575618,3072x2048,2.0035
artificial,91,0.080055560,4.24,1638842,3072x2048,2.0838
artificial,92,0.087707679,5.04,1707091,3072x2048,2.1706
artificial,93,0.084082970,4.34,1836651,3072x2048,2.3354
artificial,94,0.086202556,4.74,1988948,3072x2048,2.5290
artificial,95,0.089049473,4.75,2176754,3072x2048,2.7678
artificial,96,0.094502906,5.16,2389791,3072x2048,3.0387
artificial,97,0.095381399,5.10,2644504,3072x2048,3.3626
artificial,98,0.102725026,5.50,2914632,3072x2048,3.7061
artificial,99,0.110949397,6.44,3394340,3072x2048,4.3161
big_building,0,0.402553915,21.28,510051,7216x5412,.1044
big_building,1,0.326293014,18.04,510051,7216x5412,.1044
big_building,2,0.329620013,16.38,619291,7216x5412,.1268
big_building,3,0.346041414,17.38,817943,7216x5412,.1675
big_building,4,0.343699789,18.40,1076686,7216x5412,.2205
big_building,5,0.350429765,18.93,1364642,7216x5412,.2795
big_building,6,0.354770805,18.21,1663238,7216x5412,.3407
big_building,7,0.367052077,19.56,1955616,7216x5412,.4006
big_building,8,0.372952711,18.92,2247350,7216x5412,.4603
big_building,9,0.381277142,20.47,2527539,7216x5412,.5177
big_building,10,0.383132006,20.06,2808760,7216x5412,.5753
big_building,11,0.389770673,19.56,3050361,7216x5412,.6248
big_building,12,0.395533468,21.04,3279771,7216x5412,.6718
big_building,13,0.399876469,20.28,3529492,7216x5412,.7230
big_building,14,0.411634347,21.12,3742742,7216x5412,.7667
big_building,15,0.415879539,23.69,3968056,7216x5412,.8128
big_building,16,0.423264837,22.37,4192959,7216x5412,.8589
big_building,17,0.421917543,22.52,4412909,7216x5412,.9039
big_building,18,0.425198342,22.29,4620490,7216x5412,.9465
big_building,19,0.428611410,21.74,4797027,7216x5412,.9826
big_building,20,0.437525103,23.19,4991621,7216x5412,1.0225
big_building,21,0.437419602,21.44,5204626,7216x5412,1.0661
big_building,22,0.442128804,21.33,5397499,7216x5412,1.1056
big_building,23,0.443502047,21.93,5594639,7216x5412,1.1460
big_building,24,0.449448852,20.87,5783376,7216x5412,1.1847
big_building,25,0.454178394,23.95,5956160,7216x5412,1.2201
big_building,26,0.453513223,21.24,6144890,7216x5412,1.2587
big_building,27,0.473289762,28.06,6323811,7216x5412,1.2954
big_building,28,0.461976793,20.83,6530412,7216x5412,1.3377
big_building,29,0.465573572,22.68,6677962,7216x5412,1.3679
big_building,30,0.466866755,21.02,6847776,7216x5412,1.4027
big_building,31,0.480365200,21.99,6995981,7216x5412,1.4331
big_building,32,0.473678743,22.87,7151852,7216x5412,1.4650
big_building,33,0.472518820,20.46,7346205,7216x5412,1.5048
big_building,34,0.486521274,26.29,7439659,7216x5412,1.5240
big_building,35,0.480270559,22.13,7666867,7216x5412,1.5705
big_building,36,0.497392812,27.93,7829506,7216x5412,1.6038
big_building,37,0.485597462,21.80,7913629,7216x5412,1.6211
big_building,38,0.498598805,25.56,8147088,7216x5412,1.6689
big_building,39,0.494079143,21.26,8284192,7216x5412,1.6970
big_building,40,0.511557307,24.56,8341670,7216x5412,1.7087
big_building,41,0.493024031,22.26,8579060,7216x5412,1.7574
big_building,42,0.499594837,23.23,8699914,7216x5412,1.7821
big_building,43,0.501083221,21.81,8805689,7216x5412,1.8038
big_building,44,0.510960856,22.36,9009875,7216x5412,1.8456
big_building,45,0.537259071,25.56,9132740,7216x5412,1.8708
big_building,46,0.512293049,21.93,9303765,7216x5412,1.9058
big_building,47,0.514731225,24.81,9363463,7216x5412,1.9181
big_building,48,0.517681862,21.82,9538511,7216x5412,1.9539
big_building,49,0.517332302,23.66,9769110,7216x5412,2.0012
big_building,50,0.517891503,22.01,9792896,7216x5412,2.0060
big_building,51,0.521930974,23.81,9819324,7216x5412,2.0114
big_building,52,0.525997534,23.07,10069268,7216x5412,2.0626
big_building,53,0.526140014,24.65,10260924,7216x5412,2.1019
big_building,54,0.524186259,23.01,10332495,7216x5412,2.1166
big_building,55,0.533683803,26.27,10455530,7216x5412,2.1418
big_building,56,0.531148687,22.40,10631539,7216x5412,2.1778
big_building,57,0.539743438,25.53,10824833,7216x5412,2.2174
big_building,58,0.544616910,23.97,11050998,7216x5412,2.2637
big_building,59,0.542792626,25.28,11166818,7216x5412,2.2875
big_building,60,0.548081268,26.32,11297940,7216x5412,2.3143
big_building,61,0.559669188,26.75,11552971,7216x5412,2.3666
big_building,62,0.557019390,27.74,11691699,7216x5412,2.3950
big_building,63,0.555131766,26.43,11950557,7216x5412,2.4480
big_building,64,0.567567467,31.66,12080300,7216x5412,2.4746
big_building,65,0.561647023,25.74,12378267,7216x5412,2.5356
big_building,66,0.571915568,31.45,12527530,7216x5412,2.5662
big_building,67,0.572974231,24.85,12726724,7216x5412,2.6070
big_building,68,0.576273639,25.57,13079339,7216x5412,2.6793
big_building,69,0.580062198,27.76,13268638,7216x5412,2.7180
big_building,70,0.588731180,25.16,13613124,7216x5412,2.7886
big_building,71,0.599219216,33.21,13867803,7216x5412,2.8408
big_building,72,0.598427354,27.64,14087191,7216x5412,2.8857
big_building,73,0.596297789,29.28,14423233,7216x5412,2.9545
big_building,74,0.619593437,34.88,14917409,7216x5412,3.0558
big_building,75,0.604276378,26.70,14978135,7216x5412,3.0682
big_building,76,0.631592196,27.44,15332222,7216x5412,3.1408
big_building,77,0.637788413,32.35,15923112,7216x5412,3.2618
big_building,78,0.647312126,36.86,16369846,7216x5412,3.3533
big_building,79,0.635192605,31.53,16709030,7216x5412,3.4228
big_building,80,0.639625107,30.30,17159811,7216x5412,3.5151
big_building,81,0.652188988,29.05,17815994,7216x5412,3.6496
big_building,82,0.660284808,33.48,18242386,7216x5412,3.7369
big_building,83,0.673367541,29.49,19059844,7216x5412,3.9044
big_building,84,0.706997655,39.80,19633001,7216x5412,4.0218
big_building,85,0.697599852,29.76,20163776,7216x5412,4.1305
big_building,86,0.696390378,32.07,21223889,7216x5412,4.3477
big_building,87,0.707185806,33.08,21826109,7216x5412,4.4710
big_building,88,0.729323761,33.16,23020779,7216x5412,4.7158
big_building,89,0.750766495,40.91,23929435,7216x5412,4.9019
big_building,90,0.759998707,31.51,25478124,7216x5412,5.2191
big_building,91,0.784335869,36.64,26713361,7216x5412,5.4722
big_building,92,0.796817449,33.80,27977257,7216x5412,5.7311
big_building,93,0.859779116,35.45,30401244,7216x5412,6.2276
big_building,94,0.893988212,47.05,33239787,7216x5412,6.8091
big_building,95,0.924861509,38.60,36599537,7216x5412,7.4974
big_building,96,0.993795021,43.33,40795680,7216x5412,8.3569
big_building,97,1.089813190,55.38,45821393,7216x5412,9.3865
big_building,98,1.202514392,57.80,52048532,7216x5412,10.6621
big_building,99,1.336323476,57.44,61461124,7216x5412,12.5903
big_tree,0,0.292672240,12.99,368390,6088x4550,.1063
big_tree,1,0.230890986,11.14,368390,6088x4550,.1063
big_tree,2,0.233236313,11.71,459650,6088x4550,.1327
big_tree,3,0.249281222,16.27,570663,6088x4550,.1648
big_tree,4,0.241997034,11.53,699461,6088x4550,.2020
big_tree,5,0.247383028,11.84,844691,6088x4550,.2439
big_tree,6,0.247184107,11.33,1007956,6088x4550,.2911
big_tree,7,0.256609341,13.69,1177565,6088x4550,.3400
big_tree,8,0.257218803,12.55,1354207,6088x4550,.3911
big_tree,9,0.262535686,12.39,1542034,6088x4550,.4453
big_tree,10,0.269185852,13.18,1738820,6088x4550,.5021
big_tree,11,0.272763661,12.79,1934166,6088x4550,.5585
big_tree,12,0.292674881,19.06,2103657,6088x4550,.6075
big_tree,13,0.280857741,13.49,2287857,6088x4550,.6607
big_tree,14,0.287209138,13.14,2450241,6088x4550,.7076
big_tree,15,0.294767156,14.20,2623512,6088x4550,.7576
big_tree,16,0.308816021,18.73,2798682,6088x4550,.8082
big_tree,17,0.297335042,13.41,2971500,6088x4550,.8581
big_tree,18,0.309108211,13.39,3138504,6088x4550,.9064
big_tree,19,0.328107069,15.64,3285872,6088x4550,.9489
big_tree,20,0.310513835,16.50,3434981,6088x4550,.9920
big_tree,21,0.321680273,14.63,3607287,6088x4550,1.0418
big_tree,22,0.317097302,14.76,3766018,6088x4550,1.0876
big_tree,23,0.317850534,15.24,3928569,6088x4550,1.1345
big_tree,24,0.322137604,14.87,4084443,6088x4550,1.1796
big_tree,25,0.320686800,14.16,4229861,6088x4550,1.2216
big_tree,26,0.324967261,14.24,4386748,6088x4550,1.2669
big_tree,27,0.334640955,18.62,4519375,6088x4550,1.3052
big_tree,28,0.333162692,15.56,4690374,6088x4550,1.3546
big_tree,29,0.332508460,14.64,4810796,6088x4550,1.3893
big_tree,30,0.336316040,15.55,4951966,6088x4550,1.4301
big_tree,31,0.365938893,22.40,5092666,6088x4550,1.4707
big_tree,32,0.340650841,15.02,5230836,6088x4550,1.5106
big_tree,33,0.344723131,15.01,5398147,6088x4550,1.5590
big_tree,34,0.348462080,17.39,5481803,6088x4550,1.5831
big_tree,35,0.350573795,17.55,5663416,6088x4550,1.6356
big_tree,36,0.363835748,15.91,5805830,6088x4550,1.6767
big_tree,37,0.353175491,15.61,5867885,6088x4550,1.6946
big_tree,38,0.359903398,16.65,6060798,6088x4550,1.7503
big_tree,39,0.356493090,15.56,6174766,6088x4550,1.7833
big_tree,40,0.362140314,15.94,6223984,6088x4550,1.7975
big_tree,41,0.383812628,23.18,6421321,6088x4550,1.8545
big_tree,42,0.367012486,16.59,6519399,6088x4550,1.8828
big_tree,43,0.376409720,16.00,6606712,6088x4550,1.9080
big_tree,44,0.374320724,18.71,6778823,6088x4550,1.9577
big_tree,45,0.381703263,17.36,6884579,6088x4550,1.9882
big_tree,46,0.373931723,16.08,7025369,6088x4550,2.0289
big_tree,47,0.375034737,16.41,7085103,6088x4550,2.0462
big_tree,48,0.376459560,17.23,7211413,6088x4550,2.0826
big_tree,49,0.379744188,16.20,7404751,6088x4550,2.1385
big_tree,50,0.379933499,16.37,7426162,6088x4550,2.1447
big_tree,51,0.405665463,23.41,7450195,6088x4550,2.1516
big_tree,52,0.386678846,17.00,7660582,6088x4550,2.2124
big_tree,53,0.386895876,16.76,7802588,6088x4550,2.2534
big_tree,54,0.405266362,24.00,7879441,6088x4550,2.2756
big_tree,55,0.390712616,17.22,7978667,6088x4550,2.3042
big_tree,56,0.398021184,17.24,8127678,6088x4550,2.3473
big_tree,57,0.413766693,24.43,8281091,6088x4550,2.3916
big_tree,58,0.399793878,17.39,8470520,6088x4550,2.4463
big_tree,59,0.405404752,17.49,8558158,6088x4550,2.4716
big_tree,60,0.415351347,24.40,8671475,6088x4550,2.5043
big_tree,61,0.408957601,17.55,8876439,6088x4550,2.5635
big_tree,62,0.410787756,17.72,8978944,6088x4550,2.5931
big_tree,63,0.432668530,25.25,9182356,6088x4550,2.6519
big_tree,64,0.414736595,18.83,9286741,6088x4550,2.6820
big_tree,65,0.426789706,18.81,9531618,6088x4550,2.7527
big_tree,66,0.434156364,25.26,9657923,6088x4550,2.7892
big_tree,67,0.424659210,18.65,9819187,6088x4550,2.8358
big_tree,68,0.424480060,18.20,10101317,6088x4550,2.9173
big_tree,69,0.444749711,25.55,10269307,6088x4550,2.9658
big_tree,70,0.438407595,19.09,10559446,6088x4550,3.0496
big_tree,71,0.439048787,19.16,10771429,6088x4550,3.1108
big_tree,72,0.447707678,22.29,10967610,6088x4550,3.1674
big_tree,73,0.450367965,20.40,11255665,6088x4550,3.2506
big_tree,74,0.458012034,21.64,11653389,6088x4550,3.3655
big_tree,75,0.457805883,22.33,11709979,6088x4550,3.3818
big_tree,76,0.468954421,22.35,12028167,6088x4550,3.4737
big_tree,77,0.485704753,28.22,12505520,6088x4550,3.6116
big_tree,78,0.484896850,21.49,12870646,6088x4550,3.7171
big_tree,79,0.480945361,20.98,13174544,6088x4550,3.8048
big_tree,80,0.499030186,27.07,13535683,6088x4550,3.9091
big_tree,81,0.494488494,21.93,14070365,6088x4550,4.0635
big_tree,82,0.500445410,24.15,14459224,6088x4550,4.1758
big_tree,83,0.511764197,21.90,15100835,6088x4550,4.3611
big_tree,84,0.517217831,22.62,15597750,6088x4550,4.5047
big_tree,85,0.535021566,26.44,16082181,6088x4550,4.6446
big_tree,86,0.533910623,22.32,16957174,6088x4550,4.8973
big_tree,87,0.568840531,31.85,17499526,6088x4550,5.0539
big_tree,88,0.565150801,23.38,18528778,6088x4550,5.3511
big_tree,89,0.579600357,26.72,19353199,6088x4550,5.5892
big_tree,90,0.593871142,25.65,20691604,6088x4550,5.9758
big_tree,91,0.610919146,25.38,21788833,6088x4550,6.2927
big_tree,92,0.630768635,26.21,23008767,6088x4550,6.6450
big_tree,93,0.660490629,26.43,25022263,6088x4550,7.2265
big_tree,94,0.698661334,32.79,27544696,6088x4550,7.9550
big_tree,95,0.733492541,30.70,30378374,6088x4550,8.7734
big_tree,96,0.793624121,34.97,33842344,6088x4550,9.7738
big_tree,97,0.880067577,44.33,37859712,6088x4550,10.9340
big_tree,98,0.936200247,38.23,42495284,6088x4550,12.2728
big_tree,99,1.019748776,41.26,48631732,6088x4550,14.0450
bridge,0,0.139411788,6.14,147859,2749x4049,.1062
bridge,1,0.096790771,5.02,147859,2749x4049,.1062
bridge,2,0.098823367,4.92,190616,2749x4049,.1370
bridge,3,0.101298443,5.26,249864,2749x4049,.1795
bridge,4,0.101835704,5.25,307730,2749x4049,.2211
bridge,5,0.103521579,5.23,367703,2749x4049,.2642
bridge,6,0.105039372,5.52,427571,2749x4049,.3073
bridge,7,0.106047605,5.68,491037,2749x4049,.3529
bridge,8,0.108081230,5.73,555442,2749x4049,.3992
bridge,9,0.110434746,5.80,624375,2749x4049,.4487
bridge,10,0.112403830,5.92,700570,2749x4049,.5035
bridge,11,0.114168195,6.21,779628,2749x4049,.5603
bridge,12,0.115333098,5.78,849584,2749x4049,.6106
bridge,13,0.117567293,6.13,926195,2749x4049,.6656
bridge,14,0.122034815,6.35,995737,2749x4049,.7156
bridge,15,0.120846182,6.22,1069065,2749x4049,.7683
bridge,16,0.123427128,6.56,1145505,2749x4049,.8233
bridge,17,0.124790021,6.55,1223582,2749x4049,.8794
bridge,18,0.133546744,7.10,1296363,2749x4049,.9317
bridge,19,0.137894704,9.91,1361926,2749x4049,.9788
bridge,20,0.133068832,6.80,1429621,2749x4049,1.0275
bridge,21,0.130221205,6.75,1508203,2749x4049,1.0839
bridge,22,0.131041557,6.77,1578109,2749x4049,1.1342
