Filename;q_flag;Avg Time;Avg Energy;File Size;Resolution;bpp;ssim;psnr;mse;;avg fs;min fs;max fs;median
artificial;13;0,059790509;3,03;302057;3072x2048;0,384;0,958157016;34,87630867;21,15677627;;4022418,409;73027;61461124;1507979
artificial;14;0,066282735;4,78;316658;3072x2048;0,4026;0,959154009;35,13693312;19,92448245;;avg encode time;min time;max time ;median
artificial;17;0,060497361;3;361555;3072x2048;0,4597;0,965829086;35,96997466;16,44685618;;0,166594554;0,031260888;1,336323476;0,094451046
artificial;20;0,062997727;3,84;400559;3072x2048;0,5093;0,970278165;36,67465624;13,98346297;;avg bpp;min bpp;max bpp;median 
artificial;21;0,061136993;3,15;414554;3072x2048;0,5271;0,971228851;36,88531813;13,32135948;;2,575932349;0,1703;15,7338;1,6355
artificial;24;0,061554803;3,05;450632;3072x2048;0,573;0,973204993;37,40191522;11,82738786;;min energy;max energy;avg energy;median
artificial;25;0,062052665;3,11;461555;3072x2048;0,5868;0,973961837;37,55885827;11,40760655;;1,55;57,8;8,324144038;4,92
artificial;26;0,06842991;3,66;473009;3072x2048;0,6014;0,974731791;37,7132944;11,00907728;;;;;
artificial;28;0,063488288;3,13;494913;3072x2048;0,6293;0,976692168;37,99775897;10,31108729;;;;;
artificial;29;0,062946807;3,14;502830;3072x2048;0,6393;0,977131398;38,09813415;10,07550785;;;;;
artificial;30;0,063676659;3,34;512554;3072x2048;0,6517;0,978169799;38,23696889;9,758509106;;;;;
artificial;32;0,063862339;3,68;531135;3072x2048;0,6753;0,979302984;38,52489478;9,132525285;;;;;
artificial;33;0,065204593;3,4;542554;3072x2048;0,6898;0,980157784;38,68009624;8,811923875;;;;;
artificial;34;0,065322093;3,24;548269;3072x2048;0,6971;0,980404345;38,76036281;8,650557147;;;;;
artificial;35;0,066545226;3,29;561112;3072x2048;0,7134;0,980430779;38,8819137;8,41180102;;;;;
artificial;36;0,06410008;3,25;570967;3072x2048;0,726;0,980970578;39,00844819;8,170253701;;;;;
artificial;37;0,06410429;3,16;575959;3072x2048;0,7323;0,981157599;39,06613013;8,062455813;;;;;
artificial;38;0,06795892;4,31;588047;3072x2048;0,7477;0,982004503;39,19575651;7,825366921;;;;;
artificial;39;0,064559871;3,24;596152;3072x2048;0,758;0,952318099;39,14322928;7,920588175;;;;;
artificial;40;0,064862372;3,32;599833;3072x2048;0,7627;0,952485791;39,19517705;7,826411088;;;;;
artificial;41;0,064788902;3,34;611806;3072x2048;0,7779;0,98294399;39,47555579;7,337105804;;;;;
artificial;42;0,064892892;3,23;619413;3072x2048;0,7876;0,983159239;39,53566332;7,236257765;;;;;
artificial;43;0,064795032;3,21;625033;3072x2048;0,7947;0,983403992;39,61032969;7,112911277;;;;;
artificial;44;0,065315353;4,54;635803;3072x2048;0,8084;0,983996122;39,72284381;6,931001292;;;;;
artificial;45;0,064732882;3,19;643612;3072x2048;0,8183;0,984200946;39,784747;6,832909372;;;;;
artificial;46;0,065239233;3,21;653467;3072x2048;0,8309;0,954142904;39,74426728;6,896895303;;;;;
artificial;47;0,065331583;3,2;657051;3072x2048;0,8354;0,954312952;39,80048621;6,80819114;;;;;
artificial;48;0,065093412;3,22;666479;3072x2048;0,8474;0,954507904;39,85689452;6,720334795;;;;;
artificial;49;0,065881365;3,21;679912;3072x2048;0,8645;0,984889602;40,14251043;6,292588287;;;;;
artificial;50;0,074509036;4,87;681665;3072x2048;0,8667;0,984972093;40,18487984;6,231496811;;;;;
artificial;51;0,065535924;3,22;683534;3072x2048;0,8691;0,985049701;40,228212;6,16963058;;;;;
artificial;52;0,066255246;3,25;697824;3072x2048;0,8873;0,955716917;40,16679719;6,257496887;;;;;
artificial;53;0,065829384;3,28;708242;3072x2048;0,9005;0,95591332;40,23012649;6,166911443;;;;;
artificial;54;0,065916205;3,34;713018;3072x2048;0,9066;0,956093319;40,29751734;6,071956158;;;;;
artificial;55;0,070778187;4,55;720798;3072x2048;0,9165;0,986031502;40,56787428;5,705489794;;;;;
artificial;56;0,071691059;4,82;731580;3072x2048;0,9302;0,986315866;40,66236273;5,582697392;;;;;
artificial;57;0,066883367;3,32;742750;3072x2048;0,9444;0,986545162;40,74760311;5,474192301;;;;;
artificial;58;0,067117748;3,33;755143;3072x2048;0,9602;0,98703474;40,86425712;5,329109563;;;;;
artificial;59;0,067448088;3,38;762036;3072x2048;0,9689;0,987204135;40,9358442;5,241987016;;;;;
artificial;60;0,070252885;3,5;768899;3072x2048;0,9777;0,987391463;41,01667243;5,145328628;;;;;
artificial;61;0,070215856;3,46;784508;3072x2048;0,9975;0,957728152;40,93783688;5,23958238;;;;;
artificial;62;0,068193721;3,55;791704;3072x2048;1,0067;0,957896013;41,01429265;5,148148855;;;;;
artificial;63;0,067052787;3,37;805306;3072x2048;1,0239;0,958152994;41,12435003;5,019325468;;;;;
artificial;64;0,067455289;3,41;813088;3072x2048;1,0338;0,958318601;41,20006592;4,932575809;;;;;
artificial;65;0,06771602;3,42;830970;3072x2048;1,0566;0,988834013;41,56582938;4,534166071;;;;;
artificial;66;0,067843579;3,32;839436;3072x2048;1,0673;0,989034326;41,67138286;4,425293446;;;;;
artificial;67;0,068731772;3,49;853021;3072x2048;1,0846;0,989266545;41,78507246;4,310951286;;;;;
artificial;68;0,073693124;4,7;871770;3072x2048;1,1085;0,959328014;41,67099478;4,425688903;;;;;
artificial;69;0,068335521;3,4;882629;3072x2048;1,1223;0,95952982;41,7690456;4,326889462;;;;;
artificial;70;0,069239533;3,57;904120;3072x2048;1,1496;0,959856409;41,91680404;4,182153384;;;;;
artificial;71;0,069887114;4,13;919367;3072x2048;1,169;0,990441483;42,36814604;3,769343853;;;;;
artificial;72;0,069703475;3,8;931531;3072x2048;1,1845;0,9906397;42,48596887;3,668457349;;;;;
artificial;73;0,07583855;5,14;953125;3072x2048;1,2119;0,990859136;42,61913812;3,557677269;;;;;
artificial;74;0,070842287;3,68;981385;3072x2048;1,2478;0,991453184;42,87785656;3,351928181;;;;;
artificial;75;0,071113978;3,87;985406;3072x2048;1,253;0,99156608;42,97276443;3,279471927;;;;;
artificial;76;0,071014628;3,72;1006568;3072x2048;1,2799;0,991819554;43,1586494;3,14206685;;;;;
artificial;77;0,073155653;3,86;1039643;3072x2048;1,3219;0,992228408;43,39335749;2,976765421;;;;;
artificial;78;0,072261631;3,86;1065253;3072x2048;1,3545;0,992486869;43,57049687;2,857792377;;;;;
artificial;79;0,073474543;4,25;1084093;3072x2048;1,3784;0,992719698;43,74687984;2,744052251;;;;;
artificial;80;0,073070402;3,86;1112032;3072x2048;1,414;0,992987736;43,9723798;2,605207867;;;;;
