Filename,q_flag,Time,Energy,File Size,Resolution,bpp
artificial,0,1.026338752,34.97,3381160,3072x2048,4.2993
artificial,1,1.042798655,38.45,3382693,3072x2048,4.3013
artificial,2,1.060148097,37.75,3391882,3072x2048,4.3130
artificial,3,1.046687004,36.30,3388074,3072x2048,4.3081
artificial,4,0.990004222,32.91,3383440,3072x2048,4.3022
artificial,5,1.228899270,41.99,3626861,3072x2048,4.6117
artificial,6,1.210289853,41.57,3605798,3072x2048,4.5850
artificial,7,1.225091458,42.89,3593216,3072x2048,4.5690
artificial,8,1.181734570,40.01,3593415,3072x2048,4.5692
artificial,9,1.179583045,40.74,3580716,3072x2048,4.5531
artificial,10,1.185586750,41.24,3559386,3072x2048,4.5259
artificial,11,1.182014661,40.89,3553585,3072x2048,4.5186
artificial,12,1.153682830,40.20,3534417,3072x2048,4.4942
artificial,13,1.164787448,40.42,3506711,3072x2048,4.4590
artificial,14,1.134358723,39.84,3482531,3072x2048,4.4282
artificial,15,1.129335510,39.09,3458990,3072x2048,4.3983
artificial,16,1.120044936,38.74,3438607,3072x2048,4.3724
artificial,17,1.101217949,38.84,3411624,3072x2048,4.3381
artificial,18,1.102088812,38.55,3399506,3072x2048,4.3226
artificial,19,1.086392653,38.19,3379699,3072x2048,4.2975
artificial,20,1.076186816,37.48,3359164,3072x2048,4.2713
artificial,21,1.079583435,38.16,3334873,3072x2048,4.2405
artificial,22,1.129218279,39.02,3325715,3072x2048,4.2288
artificial,23,1.072850518,37.79,3302057,3072x2048,4.1987
artificial,24,1.040127827,36.69,3285386,3072x2048,4.1775
artificial,25,1.049884541,36.62,3283709,3072x2048,4.1754
artificial,26,1.060456417,37.15,3269106,3072x2048,4.1568
artificial,27,1.020416348,35.98,3256589,3072x2048,4.1409
artificial,28,1.001568981,35.80,3244971,3072x2048,4.1261
artificial,29,1.018800064,36.38,3249211,3072x2048,4.1315
artificial,30,1.009433020,36.52,3238135,3072x2048,4.1175
artificial,31,0.988681718,35.62,3234679,3072x2048,4.1131
artificial,32,0.980699828,34.74,3222439,3072x2048,4.0975
artificial,33,0.995163155,35.46,3220238,3072x2048,4.0947
artificial,34,0.993957492,35.24,3215876,3072x2048,4.0891
artificial,35,0.994873154,38.09,3199361,3072x2048,4.0681
artificial,36,0.982098792,35.56,3204482,3072x2048,4.0747
artificial,37,1.457534739,51.27,3206873,3072x2048,4.0777
artificial,38,0.985233790,35.27,3185963,3072x2048,4.0511
artificial,39,0.986231223,34.95,3182878,3072x2048,4.0472
artificial,40,0.982982204,34.85,3173939,3072x2048,4.0358
artificial,41,0.965738221,34.16,3182788,3072x2048,4.0471
artificial,42,0.962056632,34.11,3171032,3072x2048,4.0321
artificial,43,0.987994609,34.99,3168610,3072x2048,4.0290
artificial,44,0.944743909,33.80,3165869,3072x2048,4.0256
artificial,45,0.952969349,34.11,3162117,3072x2048,4.0208
artificial,46,0.953769752,34.28,3159138,3072x2048,4.0170
