Filename;q_flag;Avg Time;Avg Energy;File Size;Resolution;bpp;ssim;psnr;mse;;avg fs;min fs;max fs;median
artificial;72;1,360385564;57,64;272040;3072x2048;0,3459;0,99003409;39,60124869;7,127799776;;1835818,676;272040;21619076;636006,5
artificial;73;1,365403526;58,22;278725;3072x2048;0,3544;0,990359602;39,77486014;6,84848245;;avg encode time;min time;max time ;median
artificial;74;1,379167129;58,02;285342;3072x2048;0,3628;0,99070635;39,95844989;6,5650097;;1,574803357;0,231144838;7,109677429;1,360150813
artificial;75;1,359916062;58,47;293298;3072x2048;0,3729;0,991106027;40,11861224;6,32731035;;avg bpp;min bpp;max bpp;median 
artificial;76;1,374193146;57,55;300818;3072x2048;0,3825;0,991492566;40,33376365;6,021490362;;1,365767647;0,3449;6,4544;0,73015
artificial;77;1,353562047;57,91;309193;3072x2048;0,3931;0,991835874;40,56885358;5,704203394;;min energy;max energy;avg energy;median
artificial;78;1,373176155;57,85;315889;3072x2048;0,4016;0,992116435;40,6931092;5,543313503;;15,01;314,12;72,89323529;57,93
artificial;79;1,352657075;58,75;324804;3072x2048;0,413;0,992462956;40,91777284;5,263844808;;;;;
artificial;80;1,35478808;58,23;335008;3072x2048;0,4259;0,992827214;41,13760676;5,004027473;;;;;
artificial;81;1,362702279;58,49;345099;3072x2048;0,4388;0,99315047;41,36170388;4,75236702;;;;;
artificial;82;1,356547604;57,57;356635;3072x2048;0,4534;0,993478938;41,59547552;4,503320005;;;;;
artificial;83;1,368667804;58,56;366308;3072x2048;0,4657;0,993700462;41,78115894;4,314837721;;;;;
artificial;84;1,364533663;58,07;379739;3072x2048;0,4828;0,994074931;42,05411981;4,051990138;;;;;
artificial;85;1,353858468;57,49;393727;3072x2048;0,5006;0,994228372;42,20749865;3,911384371;;;;;
artificial;86;1,369986117;57,87;409786;3072x2048;0,521;0,99457734;42,48866856;3,666177644;;;;;
artificial;87;1,386808017;58,89;426455;3072x2048;0,5422;0,994943512;42,79865888;3,413614485;;;;;
artificial;88;1,373617916;57,26;440615;3072x2048;0,5602;0,995114389;42,83708686;3,383542803;;;;;
artificial;89;1,371764581;58,55;462540;3072x2048;0,5881;0,99549509;43,1981917;3,113588333;;;;;
artificial;90;1,365400286;57,93;486406;3072x2048;0,6184;0,995887591;43,60435246;2,835600959;;;;;
artificial;91;1,376316192;58,45;514212;3072x2048;0,6538;0,996267367;44,04489684;2,562068144;;;;;
artificial;92;1,389812624;58,53;543539;3072x2048;0,6911;0,996605087;44,53527887;2,288508203;;;;;
artificial;93;1,380490001;58,74;579150;3072x2048;0,7364;0,996981248;45,05254457;2,03154246;;;;;
artificial;94;1,384538711;58,49;621546;3072x2048;0,7903;0,997166631;45,53863788;1,816421244;;;;;
artificial;95;1,376182432;58,94;672127;3072x2048;0,8546;0,997574106;46,29448204;1,526272774;;;;;
artificial;96;1,394190425;59,19;738291;3072x2048;0,9387;0,99797192;47,13254569;1,25842052;;;;;
artificial;97;1,399334927;59,49;823213;3072x2048;1,0467;0,998369489;48,19647319;0,984992769;;;;;
artificial;98;1,390377456;59,9;960166;3072x2048;1,2209;0,99882895;49,97985934;0,653272576;;;;;
artificial;99;1,391234237;60,05;1170112;3072x2048;1,4878;0,999227849;52,01610206;0,40876166;;;;;
big_building;97;6,956746385;314,12;12501090;7216x5412;2,5608;0,990857564;40,32545807;6,033017061;;;;;
big_building;98;7,02123919;297,88;15943474;7216x5412;3,266;0,992844686;41,63689924;4,460570797;;;;;
big_building;99;7,109677429;300,88;21619076;7216x5412;4,4286;0,994912655;43,33843415;3,014650333;;;;;
bridge;98;2,020663853;89,59;6761189;2749x4049;4,8594;0,990283311;38,65565887;8,861647558;;;;;
bridge;99;2,055367131;92,69;8980364;2749x4049;6,4544;0,993913567;40,77582726;5,438731697;;;;;
cathedral;99;1,116425275;50,75;3410264;2000x3008;4,5349;0,992278201;43,2319192;3,089501718;;;;;
fireworks;87;1,296559218;56,78;318042;3136x2352;0,3449;0,990127905;42,18225777;3,93418324;;;;;
fireworks;88;1,301980381;56,27;332804;3136x2352;0,3609;0,99041248;42,29670772;3,831859609;;;;;
fireworks;89;1,302709393;56,56;351977;3136x2352;0,3817;0,990766105;42,53342597;3,628588864;;;;;
fireworks;90;1,305696169;56,22;373657;3136x2352;0,4052;0,991139709;42,78719693;3,422635633;;;;;
fireworks;91;1,310207629;56,65;400608;3136x2352;0,4345;0,991536574;43,0604835;3,213897421;;;;;
fireworks;92;1,304303006;56,75;431833;3136x2352;0,4683;0,991942859;43,36684281;2,994994852;;;;;
fireworks;93;1,316365793;57,2;471537;3136x2352;0,5114;0,992372331;43,71207167;2,766133866;;;;;
fireworks;94;1,316695643;57,21;513924;3136x2352;0,5574;0,992795767;44,06986984;2,547377901;;;;;
fireworks;95;1,325375033;57,63;578624;3136x2352;0,6275;0,993305819;44,53179109;2,290346823;;;;;
fireworks;96;1,329336062;57,54;667465;3136x2352;0,7239;0,993904192;45,08616187;2,015877671;;;;;
fireworks;97;1,339134675;58,25;797311;3136x2352;0,8647;0,9946228;45,8060162;1,707964111;;;;;
fireworks;98;1,341379889;59,3;1028844;3136x2352;1,1159;0,995577683;46,98875308;1,3007836;;;;;
fireworks;99;1,369127041;61,16;1432300;3136x2352;1,5534;0,9966827;48,5107728;0,91622699;;;;;
flower_foveon;97;0,231144838;15,01;432072;2268x1512;1,0079;0,990384191;47,17478791;1,246239665;;;;;
flower_foveon;98;0,254568161;15,97;596265;2268x1512;1,391;0,992593727;48,56349572;0,905171328;;;;;
flower_foveon;99;0,281701471;16,8;902362;2268x1512;2,1051;0,995010167;50,29644454;0,607345625;;;;;
hdr;96;0,398579084;25,14;650467;3072x2048;0,8271;0,990595707;45,54628636;1,81322511;;;;;
hdr;97;0,418771319;26,44;795470;3072x2048;1,0114;0,991479234;46,13671411;1,582737711;;;;;
hdr;98;0,444266767;27,87;1052071;3072x2048;1,3377;0,992648315;47,00969568;1,294526047;;;;;
hdr;99;0,452476515;28,01;1599311;3072x2048;2,0336;0,994349256;48,3944683;0,94109514;;;;;
leaves_iso_1600;96;1,133723184;51,2;2715890;3008x2000;3,6115;0,990742791;38,39578236;9,408104333;;;;;
leaves_iso_1600;97;1,140278768;53,06;3142596;3008x2000;4,1789;0,992358705;39,28835771;7,660279034;;;;;
leaves_iso_1600;98;1,14566841;53,22;3843072;3008x2000;5,1104;0,99406393;40,63305494;5,620498892;;;;;
leaves_iso_200;98;1,143034234;52,56;2958582;3008x2000;3,9342;0,990278569;38,17371211;9,901686004;;;;;
leaves_iso_200;99;1,147420644;52,73;3746528;3008x2000;4,982;0,993016536;39,81368863;6,787525875;;;;;
nightshot_iso_100;97;1,232970755;56,26;1019281;3136x2352;1,1055;0,990776334;44,06836237;2,548262271;;;;;
nightshot_iso_100;98;1,259515225;57,76;1361594;3136x2352;1,4768;0,992052086;45,04429507;2,035405079;;;;;
nightshot_iso_100;99;1,274108388;57,93;2024082;3136x2352;2,1953;0,993929369;46,44751748;1,473426961;;;;;
spider_web;94;1,972748475;90,81;783415;4256x2848;0,517;0,99041984;46,43692094;1,47702643;;;;;
spider_web;95;2,007690814;98,11;889820;4256x2848;0,5872;0,991227564;46,81133668;1,35502308;;;;;
spider_web;96;2,290455208;163,97;1031719;4256x2848;0,6809;0,992072185;47,26801185;1,21977345;;;;;
spider_web;97;2,639549411;229,54;1229416;4256x2848;0,8114;0,992997082;47,8687466;1,062198542;;;;;
spider_web;98;2,290245758;158,07;1555697;4256x2848;1,0267;0,994028933;48,83086916;0,851125191;;;;;
spider_web;99;2,059109109;97,75;2186794;4256x2848;1,4432;0,995390811;50,35071605;0,599803169;;;;;
