Filename,q_flag,Avg Time,Avg Energy,File Size,Resolution,bpp
artificial,0,9.042360994,292.19,61721,3072x2048,.0784
artificial,1,8.977341227,292.44,63914,3072x2048,.0812
artificial,2,9.098353828,293.50,65898,3072x2048,.0837
artificial,3,8.963563874,293.57,68132,3072x2048,.0866
artificial,4,9.086439270,297.07,70447,3072x2048,.0895
artificial,5,1.412725569,61.20,70055,3072x2048,.0890
artificial,6,1.428618327,61.65,72422,3072x2048,.0920
artificial,7,1.436036475,61.54,74935,3072x2048,.0952
artificial,8,1.405649953,61.61,77504,3072x2048,.0985
artificial,9,1.404956581,61.11,80154,3072x2048,.1019
artificial,10,1.414032973,60.96,82932,3072x2048,.1054
artificial,11,1.406614125,61.23,85787,3072x2048,.1090
artificial,12,1.426691233,61.49,89065,3072x2048,.1132
artificial,13,1.458615629,61.88,93484,3072x2048,.1188
artificial,14,1.432106745,61.58,97136,3072x2048,.1235
artificial,15,1.414124253,61.25,101544,3072x2048,.1291
artificial,16,1.424610988,61.09,105166,3072x2048,.1337
artificial,17,1.438591611,61.35,108999,3072x2048,.1385
artificial,18,1.430074081,61.29,112455,3072x2048,.1429
artificial,19,1.417636231,61.13,116971,3072x2048,.1487
artificial,20,1.407726067,61.38,121071,3072x2048,.1539
artificial,21,1.425269620,61.78,124183,3072x2048,.1579
artificial,22,1.412232118,61.07,127799,3072x2048,.1625
artificial,23,1.418870634,60.82,131144,3072x2048,.1667
artificial,24,1.438129971,61.13,135358,3072x2048,.1721
artificial,25,1.422615153,61.56,138001,3072x2048,.1754
artificial,26,1.417972671,61.52,142116,3072x2048,.1807
artificial,27,1.422768163,61.32,144997,3072x2048,.1843
artificial,28,1.443877084,63.03,147933,3072x2048,.1881
artificial,29,1.443885114,61.46,149144,3072x2048,.1896
artificial,30,1.432109585,61.56,150878,3072x2048,.1918
artificial,31,1.450181099,61.81,152454,3072x2048,.1938
artificial,32,1.427017853,61.50,153862,3072x2048,.1956
artificial,33,1.434167811,61.33,155622,3072x2048,.1978
artificial,34,1.428970278,61.34,157510,3072x2048,.2002
artificial,35,1.423956327,61.37,159366,3072x2048,.2026
artificial,36,1.430560782,61.09,159717,3072x2048,.2030
artificial,37,1.436629337,63.56,161359,3072x2048,.2051
artificial,38,1.437686450,60.90,163336,3072x2048,.2076
artificial,39,1.448769396,61.81,165505,3072x2048,.2104
artificial,40,1.442864482,62.32,167520,3072x2048,.2130
artificial,41,1.435423764,61.72,169404,3072x2048,.2154
artificial,42,1.449059077,61.94,171602,3072x2048,.2182
artificial,43,1.436932307,62.01,173878,3072x2048,.2210
artificial,44,1.440152275,62.97,174793,3072x2048,.2222
artificial,45,1.441447158,61.91,177070,3072x2048,.2251
artificial,46,1.439001602,61.94,179664,3072x2048,.2284
artificial,47,1.432725607,62.61,182014,3072x2048,.2314
artificial,48,1.427528345,62.15,184488,3072x2048,.2345
artificial,49,1.424534888,61.16,187402,3072x2048,.2382
artificial,50,1.447337853,61.54,189724,3072x2048,.2412
artificial,51,1.445439777,61.27,190797,3072x2048,.2426
artificial,52,1.439005812,61.50,193810,3072x2048,.2464
artificial,53,1.439943025,61.48,196686,3072x2048,.2500
artificial,54,1.437877349,61.63,199618,3072x2048,.2538
artificial,55,1.427257394,61.88,202417,3072x2048,.2573
artificial,56,1.452417235,61.41,205466,3072x2048,.2612
artificial,57,1.454168818,61.54,208940,3072x2048,.2656
artificial,58,1.442103440,61.92,210425,3072x2048,.2675
artificial,59,1.449747178,61.98,214599,3072x2048,.2728
artificial,60,1.431115863,61.79,217966,3072x2048,.2771
artificial,61,1.446698221,62.78,222000,3072x2048,.2822
artificial,62,1.430677862,62.55,225980,3072x2048,.2873
artificial,63,1.430441872,61.54,230093,3072x2048,.2925
artificial,64,1.438036570,61.63,234161,3072x2048,.2977
artificial,65,1.444797756,61.53,236854,3072x2048,.3011
artificial,66,1.435605504,61.53,241331,3072x2048,.3068
artificial,67,1.449427857,62.31,246162,3072x2048,.3130
artificial,68,1.355475212,58.47,250995,3072x2048,.3191
artificial,69,1.358909720,58.17,256544,3072x2048,.3262
artificial,70,1.391676189,58.01,262119,3072x2048,.3333
artificial,71,1.366916700,57.65,267807,3072x2048,.3405
artificial,72,1.360385564,57.64,272040,3072x2048,.3459
artificial,73,1.365403526,58.22,278725,3072x2048,.3544
artificial,74,1.379167129,58.02,285342,3072x2048,.3628
artificial,75,1.359916062,58.47,293298,3072x2048,.3729
artificial,76,1.374193146,57.55,300818,3072x2048,.3825
artificial,77,1.353562047,57.91,309193,3072x2048,.3931
