Filename,q_flag,Time,Energy,File Size,Resolution,bpp
artificial,0,0.911508446,31.79,3331020,3072x2048,4.2356
artificial,1,0.879584896,33.32,3351197,3072x2048,4.2612
artificial,2,0.910064302,33.39,3378542,3072x2048,4.2960
artificial,3,0.901514620,33.88,3378243,3072x2048,4.2956
artificial,4,0.880581109,33.82,3379042,3072x2048,4.2966
artificial,5,0.848261488,33.11,3390793,3072x2048,4.3116
artificial,6,0.853162980,36.32,3375247,3072x2048,4.2918
artificial,7,0.843514096,34.93,3376121,3072x2048,4.2929
artificial,8,0.847197005,33.14,3370073,3072x2048,4.2852
artificial,9,0.835746776,31.17,3388842,3072x2048,4.3091
artificial,10,0.842047212,32.56,3394529,3072x2048,4.3163
artificial,11,0.821897932,32.34,3383394,3072x2048,4.3022
artificial,12,0.816282458,30.81,3379841,3072x2048,4.2976
artificial,13,0.812142448,31.17,3375633,3072x2048,4.2923
artificial,14,0.817775121,32.39,3370956,3072x2048,4.2863
artificial,15,0.803484396,30.98,3362481,3072x2048,4.2756
artificial,16,0.804687779,31.76,3352778,3072x2048,4.2632
artificial,17,0.778946605,29.25,3342465,3072x2048,4.2501
artificial,18,0.779106525,30.22,3329021,3072x2048,4.2330
artificial,19,0.780987639,30.98,3327794,3072x2048,4.2315
artificial,20,0.787397926,31.24,3340611,3072x2048,4.2478
artificial,21,0.776914770,35.08,3325073,3072x2048,4.2280
artificial,22,0.779272756,39.22,3318613,3072x2048,4.2198
artificial,23,0.789572032,37.37,3314703,3072x2048,4.2148
artificial,24,0.770448003,32.95,3296956,3072x2048,4.1922
artificial,25,0.791780867,35.23,3309149,3072x2048,4.2078
artificial,26,0.779560896,35.66,3291089,3072x2048,4.1848
artificial,27,0.776659439,38.10,3282443,3072x2048,4.1738
artificial,28,0.755654056,31.79,3276943,3072x2048,4.1668
artificial,29,0.759133975,30.49,3283504,3072x2048,4.1751
artificial,30,0.742193573,29.82,3261412,3072x2048,4.1470
artificial,31,0.749486021,29.58,3260676,3072x2048,4.1461
artificial,32,0.742119513,29.35,3254672,3072x2048,4.1385
artificial,33,0.735887058,31.66,3254167,3072x2048,4.1378
artificial,34,0.745956942,33.02,3254075,3072x2048,4.1377
artificial,35,0.726988245,26.55,3260846,3072x2048,4.1463
artificial,36,0.733780142,28.12,3263232,3072x2048,4.1494
artificial,37,0.724719599,28.86,3267660,3072x2048,4.1550
artificial,38,0.731137395,28.04,3255258,3072x2048,4.1392
artificial,39,0.731302676,27.28,3256882,3072x2048,4.1413
artificial,40,0.718265303,27.87,3238482,3072x2048,4.1179
artificial,41,0.701897183,28.55,3217274,3072x2048,4.0909
artificial,42,0.717347271,28.44,3227740,3072x2048,4.1042
artificial,43,0.712238868,29.61,3226924,3072x2048,4.1032
artificial,44,0.708777269,27.34,3206617,3072x2048,4.0774
artificial,45,0.706847965,27.94,3224951,3072x2048,4.1007
artificial,46,0.700655829,27.17,3226465,3072x2048,4.1026
artificial,47,0.715966167,32.23,3233479,3072x2048,4.1115
artificial,48,0.708465289,29.65,3235890,3072x2048,4.1146
artificial,49,0.716969090,27.84,3236103,3072x2048,4.1149
artificial,50,0.711861747,29.10,3241482,3072x2048,4.1217
artificial,51,0.708128818,28.39,3239280,3072x2048,4.1189
artificial,52,0.701421501,27.28,3213601,3072x2048,4.0863
artificial,53,0.692098738,33.15,3189395,3072x2048,4.0555
artificial,54,0.686016072,29.78,3173321,3072x2048,4.0350
artificial,55,0.686323343,28.59,3160585,3072x2048,4.0188
artificial,56,0.685677242,27.39,3184328,3072x2048,4.0490
artificial,57,0.688781740,28.39,3185057,3072x2048,4.0500
artificial,58,0.685479121,27.40,3171393,3072x2048,4.0326
artificial,59,0.681174840,27.10,3177041,3072x2048,4.0398
artificial,60,0.690303503,31.60,3178094,3072x2048,4.0411
artificial,61,0.683937097,31.05,3159026,3072x2048,4.0169
artificial,62,0.711579397,30.83,3192322,3072x2048,4.0592
artificial,63,0.719772307,34.53,3173764,3072x2048,4.0356
artificial,64,0.735471616,36.06,3180737,3072x2048,4.0445
artificial,65,0.746380973,50.61,3193788,3072x2048,4.0611
artificial,66,0.729713431,48.06,3198222,3072x2048,4.0667
artificial,67,0.720212678,37.51,3177164,3072x2048,4.0399
artificial,68,0.696328468,30.54,3146574,3072x2048,4.0010
artificial,69,0.706558334,29.83,3170226,3072x2048,4.0311
artificial,70,0.688312728,28.69,3170411,3072x2048,4.0313
artificial,71,0.674347764,29.07,3149248,3072x2048,4.0044
artificial,72,0.684155588,29.96,3168027,3072x2048,4.0283
artificial,73,0.687081736,30.04,3163057,3072x2048,4.0220
artificial,74,0.678247394,28.48,3168434,3072x2048,4.0288
artificial,75,0.674279664,26.48,3145332,3072x2048,3.9994
artificial,76,0.688739320,28.03,3161879,3072x2048,4.0205
artificial,77,0.664599300,26.60,3103924,3072x2048,3.9468
artificial,78,0.680084248,30.82,3132159,3072x2048,3.9827
artificial,79,0.657853142,29.67,3097647,3072x2048,3.9388
artificial,80,0.667974137,28.56,3112941,3072x2048,3.9583
artificial,81,0.656124668,27.51,3094569,3072x2048,3.9349
artificial,82,0.655396957,28.40,3071555,3072x2048,3.9056
artificial,83,0.634564574,26.90,3047430,3072x2048,3.8750
artificial,84,0.619205646,27.44,3015201,3072x2048,3.8340
artificial,85,0.678316643,30.41,3038795,3072x2048,3.8640
artificial,86,0.597297221,27.89,2947913,3072x2048,3.7484
artificial,87,0.589778022,24.21,2931382,3072x2048,3.7274
artificial,88,0.609968313,25.14,2944131,3072x2048,3.7436
artificial,89,0.592624750,26.87,2904663,3072x2048,3.6934
artificial,90,0.585717912,26.17,2884313,3072x2048,3.6675
artificial,91,0.589987973,25.98,2862364,3072x2048,3.6396
artificial,92,0.590410364,26.09,2847756,3072x2048,3.6211
artificial,93,0.593620202,24.05,2871416,3072x2048,3.6511
artificial,94,0.558703395,24.26,2805873,3072x2048,3.5678
artificial,95,0.570386734,22.82,2831387,3072x2048,3.6002
artificial,96,0.592484959,27.90,2802751,3072x2048,3.5638
artificial,97,0.578727575,28.04,2761347,3072x2048,3.5112
artificial,98,0.578396954,24.91,2780439,3072x2048,3.5355
artificial,99,0.605158951,25.51,2770780,3072x2048,3.5232
big_building,0,7.679266072,252.72,27903251,7216x5412,5.7159
big_building,1,8.585378715,287.25,31590675,7216x5412,6.4713
big_building,2,8.784302961,286.38,32628540,7216x5412,6.6839
big_building,3,8.854621817,293.61,33262074,7216x5412,6.8137
big_building,4,8.955974960,298.04,33757446,7216x5412,6.9152
big_building,5,8.830025385,281.65,34034046,7216x5412,6.9718
big_building,6,8.825683425,311.73,34435712,7216x5412,7.0541
big_building,7,8.864118690,282.42,34846995,7216x5412,7.1384
big_building,8,8.864399941,313.42,34912512,7216x5412,7.1518
big_building,9,8.925597004,398.55,35281361,7216x5412,7.2273
big_building,10,8.952191571,369.89,35583731,7216x5412,7.2893
big_building,11,8.951399368,370.04,35933489,7216x5412,7.3609
big_building,12,9.027314058,381.88,36085197,7216x5412,7.3920
big_building,13,8.868841292,360.39,36144978,7216x5412,7.4042
big_building,14,8.881481684,368.54,36280180,7216x5412,7.4319
big_building,15,8.992414501,368.85,36634858,7216x5412,7.5046
big_building,16,8.875398439,364.59,36865928,7216x5412,7.5519
big_building,17,8.933849585,367.45,36925361,7216x5412,7.5641
big_building,18,9.036241041,368.09,37163169,7216x5412,7.6128
big_building,19,8.889712735,369.37,37276481,7216x5412,7.6360
big_building,20,8.880550682,367.38,37280295,7216x5412,7.6368
big_building,21,8.806916998,362.30,37267175,7216x5412,7.6341
big_building,22,8.908110200,367.12,37492085,7216x5412,7.6802
big_building,23,8.784006971,370.12,37614642,7216x5412,7.7053
big_building,24,8.840516352,366.35,37771902,7216x5412,7.7375
big_building,25,8.843321498,367.08,37963261,7216x5412,7.7767
big_building,26,8.975577059,375.35,38088994,7216x5412,7.8025
big_building,27,8.846225646,370.37,38228290,7216x5412,7.8310
big_building,28,8.929942355,371.49,38381165,7216x5412,7.8623
big_building,29,8.877419194,368.53,38477556,7216x5412,7.8821
big_building,30,8.812787373,366.08,38619871,7216x5412,7.9112
big_building,31,8.937884835,375.53,38801103,7216x5412,7.9484
big_building,32,8.796061640,370.71,38954420,7216x5412,7.9798
big_building,33,8.884505452,368.01,39052982,7216x5412,7.9999
big_building,34,8.821655235,371.01,39647296,7216x5412,8.1217
big_building,35,8.807217970,378.26,39644399,7216x5412,8.1211
big_building,36,8.829135423,376.76,39841371,7216x5412,8.1614
big_building,37,8.911939590,372.00,39900461,7216x5412,8.1736
big_building,38,8.858444476,369.02,39911698,7216x5412,8.1759
big_building,39,8.956762252,377.63,40377779,7216x5412,8.2713
big_building,40,9.021151083,374.85,40351271,7216x5412,8.2659
big_building,41,8.874572257,376.52,40387449,7216x5412,8.2733
big_building,42,8.993974585,379.90,40884499,7216x5412,8.3751
big_building,43,9.077215813,375.95,40500197,7216x5412,8.2964
big_building,44,8.965928045,373.82,40935561,7216x5412,8.3856
big_building,45,8.981516244,373.03,40940182,7216x5412,8.3865
big_building,46,8.915417779,370.57,40863308,7216x5412,8.3708
big_building,47,8.879977620,370.43,41061132,7216x5412,8.4113
big_building,48,8.845352313,376.95,41213710,7216x5412,8.4426
big_building,49,8.966647796,382.23,41191251,7216x5412,8.4380
big_building,50,8.956140610,373.64,41346800,7216x5412,8.4698
big_building,51,8.804275791,373.19,41325596,7216x5412,8.4655
big_building,52,8.864219651,375.15,41431689,7216x5412,8.4872
big_building,53,8.870612796,374.27,41609965,7216x5412,8.5237
big_building,54,9.030967547,378.99,41886523,7216x5412,8.5804
big_building,55,8.973391914,376.10,42022733,7216x5412,8.6083
big_building,56,9.156032880,382.99,42197282,7216x5412,8.6441
big_building,57,9.102188915,382.27,42215271,7216x5412,8.6477
big_building,58,8.930788807,372.86,42813098,7216x5412,8.7702
big_building,59,8.877284474,371.74,42592316,7216x5412,8.7250
big_building,60,8.956527801,379.96,42701179,7216x5412,8.7473
big_building,61,9.138933067,391.57,43220749,7216x5412,8.8537
big_building,62,9.114761307,385.28,43341108,7216x5412,8.8784
big_building,63,9.117651743,381.81,43487052,7216x5412,8.9083
big_building,64,9.116713471,382.47,43429613,7216x5412,8.8965
big_building,65,9.024435661,386.15,43429613,7216x5412,8.8965
big_building,66,9.227691918,382.44,43918495,7216x5412,8.9966
big_building,67,9.244444200,389.30,43871491,7216x5412,8.9870
big_building,68,9.235156807,382.45,44045687,7216x5412,9.0227
big_building,69,9.280535861,387.06,44209607,7216x5412,9.0563
big_building,70,9.384473740,391.29,44209607,7216x5412,9.0563
big_building,71,9.241440543,383.13,43982577,7216x5412,9.0098
big_building,72,9.227812559,393.24,43974592,7216x5412,9.0081
big_building,73,9.041291763,375.07,44184451,7216x5412,9.0511
big_building,74,9.317493243,387.05,44255077,7216x5412,9.0656
big_building,75,9.117283903,387.22,44255077,7216x5412,9.0656
big_building,76,9.153291843,385.04,44620890,7216x5412,9.1405
big_building,77,9.281204982,386.58,44935178,7216x5412,9.2049
big_building,78,9.448823470,397.02,45835871,7216x5412,9.3894
big_building,79,9.633516413,397.35,46449431,7216x5412,9.5151
big_building,80,9.793222541,420.78,46813268,7216x5412,9.5896
big_building,81,9.904202798,410.81,47539646,7216x5412,9.7384
big_building,82,10.298791183,436.78,47987986,7216x5412,9.8303
big_building,83,10.453815129,445.45,48991717,7216x5412,10.0359
big_building,84,10.531499214,453.08,49273736,7216x5412,10.0937
big_building,85,11.071506702,466.09,50586482,7216x5412,10.3626
big_building,86,11.278502049,479.66,50843070,7216x5412,10.4151
big_building,87,11.025079396,470.25,50858525,7216x5412,10.4183
big_building,88,11.588009381,488.12,52524962,7216x5412,10.7597
big_building,89,12.416242189,531.62,54047426,7216x5412,11.0716
big_building,90,12.369340252,528.24,54345583,7216x5412,11.1326
big_building,91,12.498228694,534.25,55019277,7216x5412,11.2706
big_building,92,13.333948160,567.40,55744215,7216x5412,11.4191
big_building,93,12.807826927,541.99,57228726,7216x5412,11.7232
big_building,94,12.958424183,550.52,57215647,7216x5412,11.7206
big_building,95,13.732956827,589.04,59937501,7216x5412,12.2781
big_building,96,13.656256485,577.09,59756101,7216x5412,12.2410
big_building,97,13.981179396,592.54,60629200,7216x5412,12.4198
big_building,98,14.124493214,595.42,60776229,7216x5412,12.4500
big_building,99,14.567206179,623.55,60077638,7216x5412,12.3068
big_tree,0,4.889591888,214.90,18202110,6088x4550,5.2568
big_tree,1,5.712467292,241.13,20589252,6088x4550,5.9462
big_tree,2,5.890694227,248.45,21007642,6088x4550,6.0671
big_tree,3,5.970395736,255.54,21304005,6088x4550,6.1526
big_tree,4,6.129915445,256.53,21652101,6088x4550,6.2532
big_tree,5,6.175780508,266.85,22012601,6088x4550,6.3573
big_tree,6,6.139237618,260.69,21906354,6088x4550,6.3266
big_tree,7,6.283256107,263.20,22330218,6088x4550,6.4490
big_tree,8,6.406546235,269.11,22610550,6088x4550,6.5300
big_tree,9,6.449138212,270.14,22768554,6088x4550,6.5756
big_tree,10,6.402000433,271.96,22803869,6088x4550,6.5858
big_tree,11,6.530300794,275.28,23185846,6088x4550,6.6961
big_tree,12,6.741511031,281.67,23454527,6088x4550,6.7737
big_tree,13,6.907262715,296.20,23812427,6088x4550,6.8771
big_tree,14,6.885705601,290.31,23981236,6088x4550,6.9258
big_tree,15,6.908549608,294.63,23969921,6088x4550,6.9226
big_tree,16,6.978354393,291.65,24246578,6088x4550,7.0025
big_tree,17,7.084152176,301.22,24587656,6088x4550,7.1010
big_tree,18,7.228497297,302.17,24893400,6088x4550,7.1893
big_tree,19,7.367691285,311.20,25347059,6088x4550,7.3203
big_tree,20,7.493594699,317.40,25420941,6088x4550,7.3416
big_tree,21,7.593691779,319.15,25715212,6088x4550,7.4266
big_tree,22,7.664714286,321.80,25828640,6088x4550,7.4594
big_tree,23,7.754689072,333.18,26007994,6088x4550,7.5112
big_tree,24,7.713409448,322.68,25968141,6088x4550,7.4997
big_tree,25,7.678104070,319.59,25955979,6088x4550,7.4962
big_tree,26,7.891879544,327.60,26390438,6088x4550,7.6216
big_tree,27,7.869293477,330.56,26491908,6088x4550,7.6509
big_tree,28,8.041803748,335.57,26900066,6088x4550,7.7688
big_tree,29,8.267117460,347.56,27306427,6088x4550,7.8862
big_tree,30,8.136602874,338.04,27290216,6088x4550,7.8815
big_tree,31,8.306825119,348.95,27455386,6088x4550,7.9292
big_tree,32,8.497957556,360.99,27919392,6088x4550,8.0632
big_tree,33,8.476664874,353.64,27927168,6088x4550,8.0654
big_tree,34,8.525916396,354.51,28018678,6088x4550,8.0919
big_tree,35,8.755916171,363.05,28426717,6088x4550,8.2097
big_tree,36,8.729614925,367.01,28381705,6088x4550,8.1967
big_tree,37,8.659988181,361.93,28466037,6088x4550,8.2211
big_tree,38,8.937166943,370.45,28938181,6088x4550,8.3574
big_tree,39,8.882559146,369.23,28946071,6088x4550,8.3597
big_tree,40,8.959712849,380.08,29177158,6088x4550,8.4264
big_tree,41,9.293737383,393.78,29501001,6088x4550,8.5200
big_tree,42,9.232863132,383.21,29572536,6088x4550,8.5406
big_tree,43,9.431629898,396.50,29821379,6088x4550,8.6125
big_tree,44,9.410671055,402.34,29824649,6088x4550,8.6134
big_tree,45,9.541894223,405.21,30172617,6088x4550,8.7139
big_tree,46,9.707268606,408.68,30801586,6088x4550,8.8956
big_tree,47,9.799717596,414.96,30893944,6088x4550,8.9223
big_tree,48,9.815700276,418.31,30821175,6088x4550,8.9012
big_tree,49,9.733947762,410.70,30851246,6088x4550,8.9099
big_tree,50,9.934721593,414.19,31334938,6088x4550,9.0496
big_tree,51,9.954312772,422.07,31341470,6088x4550,9.0515
big_tree,52,10.001914971,411.44,31464758,6088x4550,9.0871
big_tree,53,9.929199640,417.60,31505415,6088x4550,9.0989
big_tree,54,10.054558872,413.19,31707996,6088x4550,9.1574
big_tree,55,10.100052136,422.32,31708662,6088x4550,9.1576
big_tree,56,10.100207017,427.52,31928027,6088x4550,9.2209
big_tree,57,10.312184647,431.34,31981484,6088x4550,9.2363
big_tree,58,10.352738927,432.19,32313774,6088x4550,9.3323
big_tree,59,10.353363968,428.14,32361143,6088x4550,9.3460
big_tree,60,10.413690829,435.07,32416816,6088x4550,9.3621
big_tree,61,10.624088495,464.21,32729715,6088x4550,9.4524
big_tree,62,10.470703102,442.81,32762900,6088x4550,9.4620
big_tree,63,10.635293092,449.61,33108722,6088x4550,9.5619
big_tree,64,10.732467225,453.68,33105779,6088x4550,9.5610
big_tree,65,10.986526900,466.42,33856476,6088x4550,9.7779
big_tree,66,10.845360917,461.32,33862179,6088x4550,9.7795
big_tree,67,10.748618357,458.07,33822791,6088x4550,9.7681
big_tree,68,10.888456515,462.95,34119946,6088x4550,9.8539
big_tree,69,10.985593588,470.09,34202378,6088x4550,9.8778
big_tree,70,11.205828317,477.48,34516191,6088x4550,9.9684
big_tree,71,11.149664957,473.92,34526840,6088x4550,9.9715
big_tree,72,11.223530341,484.59,34528002,6088x4550,9.9718
big_tree,73,11.033129126,473.51,34791201,6088x4550,10.0478
big_tree,74,11.187586251,498.40,34818301,6088x4550,10.0556
big_tree,75,11.324161533,500.96,35082362,6088x4550,10.1319
big_tree,76,11.308875565,505.23,35440112,6088x4550,10.2352
big_tree,77,11.423358331,493.15,35822099,6088x4550,10.3455
big_tree,78,11.591725761,482.32,36028418,6088x4550,10.4051
