Filename;q_flag;Avg Time;Avg Energy;File Size;Resolution;bpp;ssim;psnr;mse;;avg fs;min fs;max fs;median
artificial;83;0,417980168;16,62;304022;3072x2048;0,3865;0,990101743;40,00769881;6,490983115;;1887535,63;304022;17476498;615070
artificial;84;0,414189319;16,41;316110;3072x2048;0,4019;0,990723049;40,24103543;6,151440356;;avg encode time;min time;max time ;median
artificial;85;0,415591282;16,8;327298;3072x2048;0,4161;0,990965187;40,38598122;5,949524244;;1,151957672;0,414189319;14,87874259;0,461999107
artificial;86;0,417572826;16,68;342554;3072x2048;0,4355;0,991690794;40,79414179;5,41584444;;avg bpp;min bpp;max bpp;median 
artificial;87;0,419747692;16,98;362022;3072x2048;0,4603;0,992241653;41,01175328;5,151159922;;1,723114815;0,3865;4,7686;0,7821
artificial;88;0,426886928;16,75;378542;3072x2048;0,4813;0,992733988;41,21358376;4,917246554;;min energy;max energy;avg energy;median
artificial;89;0,436135428;17,54;399248;3072x2048;0,5076;0,993353849;41,4034243;4,706932068;;16,41;481,6;39,86814815;17,84
artificial;90;0,43663567;17,07;417740;3072x2048;0,5311;0,993702582;41,65698779;4,439985805;;;;;
artificial;91;0,43709609;16,78;441762;3072x2048;0,5617;0,994324967;41,80446411;4,291745398;;;;;
artificial;92;0,447709885;17,38;465910;3072x2048;0,5924;0,994767337;42,0185881;4,085277398;;;;;
artificial;93;0,451889003;17,62;500886;3072x2048;0,6369;0,9950902;42,22134313;3,898935477;;;;;
artificial;94;0,454173069;17,61;527748;3072x2048;0,671;0,995283828;42,37923982;3,759727584;;;;;
artificial;95;0,45928815;17,55;588684;3072x2048;0,7485;0,995747571;42,63178755;3,547330115;;;;;
artificial;96;0,461999107;17,99;615070;3072x2048;0,7821;0,995886377;42,65398298;3,529247072;;;;;
artificial;97;0,468705041;17,84;686586;3072x2048;0,873;0,996227648;42,88644364;3,345307138;;;;;
artificial;98;0,480034337;18,92;739076;3072x2048;0,9397;0,996429353;42,89662645;3,337472651;;;;;
artificial;99;0,484030186;18,68;770234;3072x2048;0,9794;0,996401283;42,80745582;3,406706969;;;;;
big_building;99;14,87874259;481,6;17476498;7216x5412;3,58;0,990916644;40,48820444;5,811120985;;;;;
leaves_iso_1600;94;0,885450386;31,1;2530464;3008x2000;3,3649;0,990268925;38,4422258;9,308030142;;;;;
leaves_iso_1600;95;0,907746266;31,24;2694410;3008x2000;3,5829;0,991203889;38,69657161;8,778558344;;;;;
leaves_iso_1600;96;0,91822548;31,74;2881032;3008x2000;3,8311;0,991847903;38,95413262;8,273077626;;;;;
leaves_iso_1600;97;0,940426799;32,93;3112990;3008x2000;4,1396;0,992736651;39,22493702;7,77296404;;;;;
leaves_iso_1600;98;0,965988257;33,22;3330722;3008x2000;4,4291;0,993316737;39,38909183;7,484644504;;;;;
leaves_iso_1600;99;1,008918433;33,98;3585988;3008x2000;4,7686;0,993996795;39,58297273;7,157858156;;;;;
leaves_iso_200;98;0,886101338;30,74;2655260;3008x2000;3,5309;0,990295545;36,98259046;13,02630718;;;;;
leaves_iso_200;99;0,909767161;31,74;2857324;3008x2000;3,7996;0,991084761;37,08380616;12,72622933;;;;;
spider_web;99;1,271826243;42,93;1655282;4256x2848;1,0924;0,99019729;46,47288936;1,464844163;;;;;
