Filename;q_flag;Avg Time;Avg Energy;File Size;Resolution;bpp;q_flag;ssim;psnr;mse;;min fs;max fs ;avg fs;median fs
bikes;0;0,17777124;7,67;525989;768x512;10,7012;0;0,999284978;53,20304024;0,31101142;;22213;581661;126249,5427;97388,5
bikes;1;0,169992013;8,02;386323;768x512;7,8597;1;0,998499397;48,53114175;0,911939833;;min bpp;max bpp;avg bpp;median bpp
bikes;2;0,15480028;7,01;318930;768x512;6,4886;2;0,998035007;47,27249113;1,218516032;;0,4519;12,826;2,87039609;2,20695
bikes;3;0,154621207;8,09;274334;768x512;5,5813;3;0,99753222;46,2299775;1,54911126;;min time;max time ;avg time;median time
bikes;4;0,152516803;7,58;245616;768x512;4,997;4;0,996940254;45,35689562;1,894047207;;0,054575649;0,241256466;0,097446382;0,093627199
bikes;5;0,145529058;7,43;221543;768x512;4,5073;5;0,996272178;44,50370563;2,305206299;;min enrg;max nrg;avg nrg;median nrg
bikes;6;0,144135024;7,25;204113;768x512;4,1526;6;0,995544859;43,75863081;2,736637539;;2,87;10,8;4,566587678;4,39
bikes;7;0,144807536;6,97;188270;768x512;3,8303;7;0,994746927;43,10060965;3,184339735;;;;;
bikes;8;0,134876084;6,18;176264;768x512;3,5861;8;0,99396797;42,50508816;3,652342902;;;;;
bikes;9;0,131217116;5,94;164657;768x512;3,3499;9;0,993089593;41,90198119;4,196451823;;;;;
bikes;10;0,12822476;5,86;155903;768x512;3,1718;10;0,992250925;41,40480034;4,705440945;;;;;
bikes;11;0,125365713;5,74;148089;768x512;3,0128;11;0,991346722;40,92413579;5,256138272;;;;;
bikes;12;0,120229392;5,57;140482;768x512;2,8581;12;0,990345012;40,41369785;5,911675347;;;;;
bikes;13;0,118845409;5,48;134307;768x512;2,7324;13;0,989396912;39,96820592;6,550278558;;;;;
bikes;14;0,115834703;5,35;128619;768x512;2,6167;14;0,988468213;39,59630427;7,135919359;;;;;
bikes;15;0,1144551;5,28;123491;768x512;2,5124;15;0,987440576;39,20839908;7,802619934;;;;;
bikes;16;0,113748208;5,31;118151;768x512;2,4037;16;0,986294723;38,81846154;8,535602993;;;;;
bikes;17;0,111457153;5,17;114051;768x512;2,3203;17;0,985211064;38,47663405;9,234575907;;;;;
bikes;18;0,111310423;5,12;109997;768x512;2,2378;18;0,984177788;38,15863833;9,936113146;;;;;
bikes;19;0,109077647;5,12;106409;768x512;2,1648;19;0,983129431;37,84459494;10,68122016;;;;;
bikes;20;0,108608166;5,06;102308;768x512;2,0814;20;0,981842089;37,50536928;11,54897478;;;;;
bikes;21;0,108401557;5,08;99299;768x512;2,0202;21;0,980713421;37,2231699;12,3243315;;;;;
bikes;22;0,106187612;4,99;96341;768x512;1,96;22;0,979602295;36,96304526;13,08506351;;;;;
bikes;23;0,106667923;5;93519;768x512;1,9026;23;0,978385871;36,69305156;13,92435879;;;;;
bikes;24;0,105936791;4,98;90196;768x512;1,835;24;0,97682508;36,37822154;14,97125498;;;;;
bikes;25;0,10562067;4,88;85370;768x512;1,7368;25;0,974465941;35,88730799;16,76291572;;;;;
bikes;26;0,101937093;4,77;80916;768x512;1,6462;26;0,971670598;35,4568145;18,50968001;;;;;
bikes;27;0,10078777;4,71;77294;768x512;1,5725;27;0,969228532;35,07667842;20,20284441;;;;;
bikes;28;0,101900942;4,74;73475;768x512;1,4948;28;0,966571167;34,67011616;22,18547567;;;;;
bikes;29;0,098353155;4,62;70459;768x512;1,4334;29;0,963988284;34,31860286;24,05581495;;;;;
bikes;30;0,097041642;4,5;67379;768x512;1,3708;30;0,961409352;33,9837286;25,98408932;;;;;
bikes;31;0,101550171;4,79;63406;768x512;1,2899;31;0,956751482;33,48428455;29,15089586;;;;;
bikes;32;0,095217298;4,5;59678;768x512;1,2141;32;0,95254793;33,02919496;32,371354;;;;;
building2;0;0,153096264;6,66;525354;640x512;12,826;0;0,999712625;53,64863647;0,28068339;;;;;
building2;1;0,149961727;6,57;395825;640x512;9,6636;1;0,999382618;49,03364121;0,812299601;;;;;
building2;2;0,144646066;6,44;343722;640x512;8,3916;2;0,999172226;47,7202075;1,099156698;;;;;
building2;3;0,141160078;6,28;305020;640x512;7,4467;3;0,998951588;46,62360015;1,414882406;;;;;
building2;4;0,137820841;6,39;279516;640x512;6,8241;4;0,998695954;45,65220626;1,769537354;;;;;
building2;5;0,137908461;6,16;257999;640x512;6,2988;5;0,998407052;44,74826813;2,178981527;;;;;
building2;6;0,136612008;6,04;241852;640x512;5,9045;6;0,99806597;43,94449507;2,621988932;;;;;
building2;7;0,135363945;6,1;227580;640x512;5,5561;7;0,997613102;43,00466016;3,255474854;;;;;
building2;8;0,133427561;5,94;216394;640x512;5,283;8;0,997175906;42,36034223;3,776123047;;;;;
building2;9;0,129676423;5,8;205551;640x512;5,0183;9;0,996659021;41,70110203;4,395114136;;;;;
building2;10;0,125168413;5,69;196829;640x512;4,8053;10;0,996101884;41,08630859;5,063484701;;;;;
