Filename,q_flag,Time,Energy,File Size,Resolution,bpp,,,,,
bikes,0,0.090616119,4.1,1182126,768x512,24.0504,,0.0417639032042026,2.00712284482759,24.0525137931035,#DIV/0!
bikes,1,0.083637033,3.85,1182126,768x512,24.0504,,,,,
bikes,2,0.074487023,3.62,1182126,768x512,24.0504,,,,,
bikes,3,0.066938876,3.29,1182126,768x512,24.0504,,,,,
bikes,4,0.065997504,3.28,1182126,768x512,24.0504,,,,,
bikes,5,0.061885145,3.13,1182126,768x512,24.0504,,,,,
bikes,6,0.063650159,3.27,1182126,768x512,24.0504,,,,,
bikes,7,0.058522868,3.01,1182126,768x512,24.0504,,,,,
bikes,8,0.057194465,2.89,1182126,768x512,24.0504,,,,,
bikes,9,0.057224505,3,1182126,768x512,24.0504,,,,,
bikes,10,0.05502397,2.81,1182126,768x512,24.0504,,,,,
bikes,11,0.054204458,2.81,1182126,768x512,24.0504,,,,,
bikes,12,0.053202536,2.7,1182126,768x512,24.0504,,,,,
bikes,13,0.053587347,2.78,1182126,768x512,24.0504,,,,,
bikes,14,0.052038554,2.7,1182126,768x512,24.0504,,,,,
bikes,15,0.051747343,2.62,1182126,768x512,24.0504,,,,,
bikes,16,0.052529374,2.83,1182126,768x512,24.0504,,,,,
bikes,17,0.051926214,2.71,1182126,768x512,24.0504,,,,,
bikes,18,0.05044028,2.65,1182126,768x512,24.0504,,,,,
bikes,19,0.049878059,2.55,1182126,768x512,24.0504,,,,,
bikes,20,0.049070548,2.52,1182126,768x512,24.0504,,,,,
bikes,21,0.049100407,2.71,1182126,768x512,24.0504,,,,,
bikes,22,0.049883189,2.49,1182126,768x512,24.0504,,,,,
bikes,23,0.048515356,2.42,1182126,768x512,24.0504,,,,,
bikes,24,0.049523067,2.72,1182126,768x512,24.0504,,,,,
bikes,25,0.046772362,2.37,1182126,768x512,24.0504,,,,,
bikes,26,0.047445083,2.49,1182126,768x512,24.0504,,,,,
bikes,27,0.046447941,2.44,1182126,768x512,24.0504,,,,,
bikes,28,0.045528009,2.32,1182126,768x512,24.0504,,,,,
bikes,29,0.04612458,2.34,1182126,768x512,24.0504,,,,,
bikes,30,0.045500609,2.33,1182126,768x512,24.0504,,,,,
bikes,31,0.044122967,2.23,1182126,768x512,24.0504,,,,,
bikes,32,0.044165457,2.26,1182126,768x512,24.0504,,,,,
bikes,33,0.042582213,2.14,1182126,768x512,24.0504,,,,,
bikes,34,0.042939414,2.16,1182126,768x512,24.0504,,,,,
bikes,35,0.042428052,2.07,1182126,768x512,24.0504,,,,,
bikes,36,0.041966982,2.14,1182126,768x512,24.0504,,,,,
bikes,37,0.041746681,2.18,1182126,768x512,24.0504,,,,,
bikes,38,0.039858116,1.98,1182126,768x512,24.0504,,,,,
bikes,39,0.039274185,2.01,1182126,768x512,24.0504,,,,,
bikes,40,0.038717835,1.96,1182126,768x512,24.0504,,,,,
bikes,41,0.038900495,2,1182126,768x512,24.0504,,,,,
bikes,42,0.038249713,1.91,1182126,768x512,24.0504,,,,,
bikes,43,0.038193403,1.91,1182126,768x512,24.0504,,,,,
bikes,44,0.037493991,1.86,1182126,768x512,24.0504,,,,,
bikes,45,0.037149812,1.9,1182126,768x512,24.0504,,,,,
bikes,46,0.03706324,1.9,1182126,768x512,24.0504,,,,,
bikes,47,0.040428728,2.1,1182126,768x512,24.0504,,,,,
bikes,48,0.036349969,1.8,1182126,768x512,24.0504,,,,,
bikes,49,0.035935318,1.83,1182126,768x512,24.0504,,,,,
bikes,50,0.035829258,1.82,1182126,768x512,24.0504,,,,,
bikes,51,0.035422297,1.83,1182126,768x512,24.0504,,,,,
bikes,52,0.038083993,1.84,1182126,768x512,24.0504,,,,,
bikes,53,0.035009056,1.78,1182126,768x512,24.0504,,,,,
bikes,54,0.034319905,1.7,1182126,768x512,24.0504,,,,,
bikes,55,0.034121865,1.61,1182126,768x512,24.0504,,,,,
bikes,56,0.034191664,1.75,1182126,768x512,24.0504,,,,,
bikes,57,0.034058315,1.9,1182126,768x512,24.0504,,,,,
bikes,58,0.033344963,1.62,1182126,768x512,24.0504,,,,,
bikes,59,0.032628071,1.69,1182126,768x512,24.0504,,,,,
bikes,60,0.03207207,1.57,1182126,768x512,24.0504,,,,,
bikes,61,0.031633299,1.55,1182126,768x512,24.0504,,,,,
