Filename,q_flag,Avg Time,Avg Energy,File Size,Resolution,bpp,,avg time,avg energy,,,
bikes,0,0.088435904,3.23,564764,768x512,11.4901,,0.0392957593793104,1.89877155172414,69227.046875,1.57265840517241,0.0392957593793104
bikes,1,0.073832951,3.52,403722,768x512,8.2137,,,,,,
bikes,2,0.067283997,2.98,335005,768x512,6.8156,,,,,,
bikes,3,0.062546377,2.83,290451,768x512,5.9092,,,,,,
bikes,4,0.060715382,2.68,260792,768x512,5.3058,,,,,,
bikes,5,0.05989002,3.08,237048,768x512,4.8227,,,,,,
bikes,6,0.057103075,2.65,218493,768x512,4.4452,,,,,,
bikes,7,0.055872432,2.57,202916,768x512,4.1283,,,,,,
bikes,8,0.056272512,2.7,190448,768x512,3.8746,,,,,,
bikes,9,0.05479603,2.52,179022,768x512,3.6422,,,,,,
bikes,10,0.051929423,2.41,169782,768x512,3.4542,,,,,,
bikes,11,0.052568494,2.44,161611,768x512,3.2879,,,,,,
bikes,12,0.051457742,2.46,153724,768x512,3.1275,,,,,,
bikes,13,0.052142534,2.45,147229,768x512,2.9953,,,,,,
bikes,14,0.05041798,2.38,141380,768x512,2.8763,,,,,,
bikes,15,0.049855519,2.29,136022,768x512,2.7673,,,,,,
bikes,16,0.048875907,2.33,129978,768x512,2.6444,,,,,,
bikes,17,0.048567086,2.29,125389,768x512,2.551,,,,,,
bikes,18,0.048149245,2.22,121115,768x512,2.464,,,,,,
bikes,19,0.05043577,2.78,117136,768x512,2.3831,,,,,,
bikes,20,0.048126255,2.69,113140,768x512,2.3018,,,,,,
bikes,21,0.048712066,2.81,109699,768x512,2.2318,,,,,,
bikes,22,0.047924524,2.62,106561,768x512,2.1679,,,,,,
bikes,23,0.049374158,2.62,103541,768x512,2.1065,,,,,,
bikes,24,0.046895222,2.55,99917,768x512,2.0328,,,,,,
bikes,25,0.046423252,2.47,94712,768x512,1.9269,,,,,,
bikes,26,0.044918028,2.17,90068,768x512,1.8324,,,,,,
bikes,27,0.045564129,2.24,85922,768x512,1.748,,,,,,
bikes,28,0.04547592,2.56,81993,768x512,1.6681,,,,,,
bikes,29,0.043749015,2.17,78424,768x512,1.5955,,,,,,
bikes,30,0.043679275,2.13,75142,768x512,1.5287,,,,,,
bikes,31,0.044512728,2.41,70436,768x512,1.433,,,,,,
bikes,32,0.042467862,2.3,66339,768x512,1.3496,,,,,,
bikes,33,0.043849006,2.37,62820,768x512,1.278,,,,,,
bikes,34,0.043914736,2.57,59670,768x512,1.2139,,,,,,
bikes,35,0.048547946,2.59,56105,768x512,1.1414,,,,,,
bikes,36,0.040505069,1.93,52589,768x512,1.0699,,,,,,
bikes,37,0.0413205,2.11,49532,768x512,1.0077,,,,,,
bikes,38,0.040513439,2.02,46436,768x512,0.9447,,,,,,
bikes,39,0.039468086,2.05,43424,768x512,0.8834,,,,,,
bikes,40,0.039754387,1.87,40811,768x512,0.8303,,,,,,
bikes,41,0.040036687,1.91,37864,768x512,0.7703,,,,,,
bikes,42,0.038593864,1.87,35346,768x512,0.7191,,,,,,
bikes,43,0.038268733,1.85,32819,768x512,0.6677,,,,,,
bikes,44,0.038080663,1.86,30415,768x512,0.6187,,,,,,
bikes,45,0.037584352,1.81,28141,768x512,0.5725,,,,,,
bikes,46,0.036965111,1.78,26002,768x512,0.529,,,,,,
bikes,47,0.03660992,1.74,23992,768x512,0.4881,,,,,,
bikes,48,0.03651101,1.79,22060,768x512,0.4488,,,,,,
bikes,49,0.035947789,1.85,20227,768x512,0.4115,,,,,,
bikes,50,0.035416977,1.77,18496,768x512,0.3763,,,,,,
bikes,51,0.035200467,1.67,16914,768x512,0.3441,,,,,,
bikes,52,0.035283527,1.65,15453,768x512,0.3143,,,,,,
bikes,53,0.034135575,1.64,14079,768x512,0.2864,,,,,,
bikes,54,0.034612726,1.73,12794,768x512,0.2602,,,,,,
bikes,55,0.035166697,1.78,11544,768x512,0.2348,,,,,,
bikes,56,0.034093514,1.62,10335,768x512,0.2102,,,,,,
bikes,57,0.033371763,1.56,9309,768x512,0.1893,,,,,,
bikes,58,0.033338033,1.62,8257,768x512,0.1679,,,,,,
bikes,59,0.032429551,1.53,7306,768x512,0.1486,,,,,,
bikes,60,0.032846382,1.58,6436,768x512,0.1309,,,,,,
bikes,61,0.035029987,1.74,5499,768x512,0.1118,,,,,,
bikes,62,0.03220061,1.52,4528,768x512,0.0921,,,,,,
bikes,63,0.03207676,1.52,3487,768x512,0.0709,,,,,,
building2,0,0.083655863,3.87,539391,640x512,13.1687,,,,,,
building2,1,0.071454636,3.24,405767,640x512,9.9064,,,,,,
building2,2,0.065922314,2.89,350295,640x512,8.5521,,,,,,
building2,3,0.060607602,2.74,312504,640x512,7.6294,,,,,,
building2,4,0.058890939,2.66,284927,640x512,6.9562,,,,,,
building2,5,0.057533556,2.63,263376,640x512,6.43,,,,,,
building2,6,0.055693632,2.48,246131,640x512,6.009,,,,,,
building2,7,0.054016548,2.49,231422,640x512,5.6499,,,,,,
building2,8,0.05470852,2.41,219664,640x512,5.3628,,,,,,
building2,9,0.054195268,2.52,208842,640x512,5.0986,,,,,,
building2,10,0.051810913,2.42,199904,640x512,4.8804,,,,,,
building2,11,0.051174662,2.4,191915,640x512,4.6854,,,,,,
building2,12,0.050934821,2.41,184504,640x512,4.5044,,,,,,
building2,13,0.050499391,2.36,178174,640x512,4.3499,,,,,,
building2,14,0.050046639,2.36,172417,640x512,4.2093,,,,,,
building2,15,0.050969251,2.53,166989,640x512,4.0768,,,,,,
building2,16,0.048582916,2.25,160981,640x512,3.9302,,,,,,
building2,17,0.048552846,2.43,156184,640x512,3.813,,,,,,
building2,18,0.05060234,2.58,151507,640x512,3.6989,,,,,,
building2,19,0.048969867,2.58,147088,640x512,3.591,,,,,,
