Filename,q_flag,Avg Time,Avg Energy,File Size,Resolution,bpp
bikes,0,1.462256564,74.04,499762,768x512,10.1676
bikes,1,1.773401842,90.15,416366,768x512,8.4709
bikes,2,1.639130047,82.30,340595,768x512,6.9294
bikes,3,1.673443905,83.48,285873,768x512,5.8161
bikes,4,1.773023251,91.89,254346,768x512,5.1746
bikes,5,1.817485335,87.66,227486,768x512,4.6282
bikes,6,1.866302511,95.74,208831,768x512,4.2486
bikes,7,1.908663969,96.47,191912,768x512,3.9044
bikes,8,1.847707263,80.39,179747,768x512,3.6569
bikes,9,1.874573652,81.57,167960,768x512,3.4171
bikes,10,1.851999664,80.54,159071,768x512,3.2363
bikes,11,1.882993863,82.14,150983,768x512,3.0717
bikes,12,1.854388099,80.15,143265,768x512,2.9147
bikes,13,1.873888860,81.64,136533,768x512,2.7777
bikes,14,1.857833918,80.61,131361,768x512,2.6725
bikes,15,1.834736310,79.12,126352,768x512,2.5706
bikes,16,1.871911505,80.58,120985,768x512,2.4614
bikes,17,1.876252806,80.46,116521,768x512,2.3706
bikes,18,1.841490017,79.41,112797,768x512,2.2948
bikes,19,1.855462413,80.18,109028,768x512,2.2181
bikes,20,1.865760879,81.35,104961,768x512,2.1354
bikes,21,1.886726902,81.75,101850,768x512,2.0721
bikes,22,2.026786223,86.62,98812,768x512,2.0103
bikes,23,2.015913335,87.83,96048,768x512,1.9541
bikes,24,2.015079912,88.76,92484,768x512,1.8815
bikes,25,2.025328489,86.39,87789,768x512,1.7860
bikes,26,1.935514658,84.53,83803,768x512,1.7049
bikes,27,2.008701536,85.92,79777,768x512,1.6230
bikes,28,1.914501695,82.71,76346,768x512,1.5532
bikes,29,1.947380049,82.97,73013,768x512,1.4854
bikes,30,1.914132943,83.18,70045,768x512,1.4250
bikes,31,1.879822035,81.41,66300,768x512,1.3488
bikes,32,1.874847763,84.66,62728,768x512,1.2762
bikes,33,1.841876457,87.73,59563,768x512,1.2118
bikes,34,1.810619168,87.09,56620,768x512,1.1519
bikes,35,1.767874538,83.06,53662,768x512,1.0917
bikes,36,1.729101748,81.82,50329,768x512,1.0239
bikes,37,1.676846695,79.74,47617,768x512,.9687
bikes,38,1.645579864,73.31,44942,768x512,.9143
bikes,39,1.626623595,71.55,42269,768x512,.8599
bikes,40,1.566957442,70.33,40020,768x512,.8142
bikes,41,1.512995744,68.26,37480,768x512,.7625
bikes,42,1.478323545,67.66,35280,768x512,.7177
bikes,43,1.571694654,70.72,33163,768x512,.6747
bikes,44,1.527440870,68.20,30974,768x512,.6301
bikes,45,1.501438864,67.23,28938,768x512,.5887
bikes,46,1.446472953,63.84,27328,768x512,.5559
bikes,47,1.394996471,62.24,25457,768x512,.5179
bikes,48,1.330729976,59.31,23685,768x512,.4818
bikes,49,1.276410986,58.11,22017,768x512,.4479
bikes,50,1.224842384,54.69,20556,768x512,.4182
bikes,51,1.196140461,52.94,19177,768x512,.3901
bikes,52,1.164668470,52.31,17708,768x512,.3602
bikes,53,1.099839883,50.27,16323,768x512,.3320
bikes,54,1.096745915,49.38,15044,768x512,.3060
bikes,55,1.057342974,46.31,13806,768x512,.2808
bikes,56,1.012325759,45.06,12416,768x512,.2526
bikes,57,0.995543225,44.08,11218,768x512,.2282
bikes,58,0.967265662,42.41,10034,768x512,.2041
bikes,59,0.910026416,40.82,8704,768x512,.1770
bikes,60,0.834762022,36.81,7393,768x512,.1504
bikes,61,0.781407836,34.73,6200,768x512,.1261
bikes,62,0.644679014,28.91,4835,768x512,.0983
bikes,63,0.480254722,21.71,3506,768x512,.0713
