Filename,q_flag,Avg Time,Avg Energy,File Size,Resolution,bpp,,,,
bikes,0,0.710009209,37.37,506200,768x512,10.2986,,0.536583515055496,24.9371336206897,1.56534202586207
bikes,1,1.086804221,57.13,413761,768x512,8.4179,,,,
bikes,2,0.994252759,52.6,338835,768x512,6.8936,,,,
bikes,3,0.978457085,51.26,285869,768x512,5.816,,,,
bikes,4,0.965819507,51.11,254234,768x512,5.1724,,,,
bikes,5,0.959944414,50.84,227961,768x512,4.6378,,,,
bikes,6,0.941221393,48.96,209656,768x512,4.2654,,,,
bikes,7,0.926749332,48.16,192847,768x512,3.9234,,,,
bikes,8,0.899331362,47.16,180372,768x512,3.6696,,,,
bikes,9,0.897685909,46.92,168684,768x512,3.4318,,,,
bikes,10,0.878056835,45.71,159846,768x512,3.252,,,,
bikes,11,0.871226991,45.8,151781,768x512,3.0879,,,,
bikes,12,0.844085802,44.15,143644,768x512,2.9224,,,,
bikes,13,0.828399358,43.71,137413,768x512,2.7956,,,,
bikes,14,0.825539021,44.45,131810,768x512,2.6816,,,,
bikes,15,0.827501646,46.49,126693,768x512,2.5775,,,,
bikes,16,0.809724206,42.23,121385,768x512,2.4695,,,,
bikes,17,0.799586895,41.55,117089,768x512,2.3821,,,,
bikes,18,0.780688953,41.51,113103,768x512,2.301,,,,
bikes,19,0.7747774,41.08,109248,768x512,2.2226,,,,
bikes,20,0.768439547,40.61,105662,768x512,2.1496,,,,
bikes,21,0.756804111,40.07,102354,768x512,2.0823,,,,
bikes,22,0.757257832,40.13,99405,768x512,2.0223,,,,
bikes,23,0.750903508,40.44,96650,768x512,1.9663,,,,
bikes,24,0.737678519,40.46,93195,768x512,1.896,,,,
bikes,25,0.739483173,39.17,88527,768x512,1.801,,,,
bikes,26,0.725186642,38.65,84309,768x512,1.7152,,,,
bikes,27,0.7195778,37.96,80339,768x512,1.6345,,,,
bikes,28,0.70104941,38.27,76848,768x512,1.5634,,,,
bikes,29,0.691362799,36.62,73481,768x512,1.4949,,,,
bikes,30,0.690049415,36.5,70666,768x512,1.4377,,,,
bikes,31,0.669898202,35.66,66586,768x512,1.3546,,,,
bikes,32,0.66017283,35.1,63198,768x512,1.2857,,,,
bikes,33,0.654018286,34.29,59971,768x512,1.2201,,,,
bikes,34,0.649935138,34.3,57091,768x512,1.1615,,,,
bikes,35,0.639947256,33.08,53950,768x512,1.0976,,,,
bikes,36,0.630663116,33.09,50824,768x512,1.034,,,,
bikes,37,0.619867303,31.99,48065,768x512,0.9778,,,,
bikes,38,0.610578052,32.16,45386,768x512,0.9233,,,,
bikes,39,0.594902838,31.35,42580,768x512,0.8662,,,,
bikes,40,0.590246258,31.7,40316,768x512,0.8202,,,,
bikes,41,0.576691988,30.38,37632,768x512,0.7656,,,,
bikes,42,0.562387547,29.56,35445,768x512,0.7211,,,,
bikes,43,0.559680711,29.33,33103,768x512,0.6734,,,,
bikes,44,0.548210876,28.58,31042,768x512,0.6315,,,,
bikes,45,0.541532921,28.42,29151,768x512,0.593,,,,
bikes,46,0.536997291,28.08,27213,768x512,0.5536,,,,
bikes,47,0.518983533,27.32,25582,768x512,0.5204,,,,
bikes,48,0.503839229,26.43,23708,768x512,0.4823,,,,
bikes,49,0.48994699,25.68,22093,768x512,0.4494,,,,
bikes,50,0.48112932,24.98,20616,768x512,0.4194,,,,
bikes,51,0.469778805,24.28,19077,768x512,0.3881,,,,
bikes,52,0.459559492,23.96,17724,768x512,0.3605,,,,
bikes,53,0.454177581,23.66,16367,768x512,0.3329,,,,
bikes,54,0.450382432,23.47,14916,768x512,0.3034,,,,
bikes,55,0.452322976,23.64,13745,768x512,0.2796,,,,
bikes,56,0.45393709,23.93,12421,768x512,0.2527,,,,
bikes,57,0.453539929,23.58,11248,768x512,0.2288,,,,
bikes,58,0.458592281,23.61,9949,768x512,0.2024,,,,
bikes,59,0.452810388,23.51,8727,768x512,0.1775,,,,
bikes,60,0.440620931,23.12,7456,768x512,0.1516,,,,
bikes,61,0.402939099,20.89,6194,768x512,0.126,,,,
bikes,62,0.36235901,18.59,4860,768x512,0.0988,,,,
bikes,63,0.281928255,14.49,3520,768x512,0.0716,,,,
building2,0,0.609143029,30.26,512087,640x512,12.5021,,,,
building2,1,1.005764405,51.11,407258,640x512,9.9428,,,,
building2,2,0.94407864,48.03,345282,640x512,8.4297,,,,
building2,3,0.916231319,46.63,302924,640x512,7.3956,,,,
building2,4,0.890846664,45.33,277327,640x512,6.7706,,,,
building2,5,0.88490371,44.97,256141,640x512,6.2534,,,,
building2,6,0.858998774,43.75,241526,640x512,5.8966,,,,
building2,7,0.853553752,43.76,227651,640x512,5.5578,,,,
building2,8,0.826543673,41.77,217814,640x512,5.3177,,,,
building2,9,0.828294937,41.95,207786,640x512,5.0729,,,,
building2,10,0.818605196,41.17,199684,640x512,4.875,,,,
building2,11,0.8023193,40.81,192378,640x512,4.6967,,,,
building2,12,0.803747153,40.55,185097,640x512,4.5189,,,,
building2,13,0.794810384,40.31,178969,640x512,4.3693,,,,
building2,14,0.798599692,40.7,173254,640x512,4.2298,,,,
building2,15,0.794760703,40.7,168019,640x512,4.102,,,,
building2,16,0.800324196,40.99,162669,640x512,3.9714,,,,
building2,17,0.79793352,40.91,157937,640x512,3.8558,,,,
building2,18,0.79305467,40.32,153658,640x512,3.7514,,,,
building2,19,0.798479252,40.35,149694,640x512,3.6546,,,,
building2,20,0.787228518,40.4,145435,640x512,3.5506,,,,
building2,21,0.792113579,40.91,141762,640x512,3.4609,,,,
building2,22,0.795310615,41.13,138175,640x512,3.3734,,,,
building2,23,0.792609299,40.94,134887,640x512,3.2931,,,,
building2,24,0.79313928,40.38,130700,640x512,3.1909,,,,
building2,25,0.780324283,40.15,124529,640x512,3.0402,,,,
building2,26,0.782835078,40.12,118474,640x512,2.8924,,,,
building2,27,0.781670295,39.91,113194,640x512,2.7635,,,,
building2,28,0.767628995,39.39,107996,640x512,2.6366,,,,
building2,29,0.763030524,39.3,103111,640x512,2.5173,,,,
building2,30,0.752108951,38.72,98635,640x512,2.408,,,,
building2,31,0.737648269,37.69,93297,640x512,2.2777,,,,
building2,32,0.733749051,33.66,87956,640x512,2.1473,,,,
building2,33,0.72446224,31.81,83514,640x512,2.0389,,,,
building2,34,0.707903474,31.11,79543,640x512,1.9419,,,,
building2,35,0.694625246,30.82,74711,640x512,1.8239,,,,
building2,36,0.682448309,30.28,70551,640x512,1.7224,,,,
building2,37,0.666188773,29.4,66780,640x512,1.6303,,,,
building2,38,0.661261753,29.05,62876,640x512,1.535,,,,
building2,39,0.638169512,27.97,58963,640x512,1.4395,,,,
building2,40,0.622642528,27.87,55602,640x512,1.3574,,,,
building2,41,0.610357152,27.2,52009,640x512,1.2697,,,,
building2,42,0.594176356,26.27,48961,640x512,1.1953,,,,
building2,43,0.584922826,26.01,45782,640x512,1.1177,,,,
building2,44,0.574719544,25.6,42959,640x512,1.0488,,,,
building2,45,0.557288165,25.25,40246,640x512,0.9825,,,,
building2,46,0.553331027,24.74,37563,640x512,0.917,,,,
building2,47,0.538452865,24.08,35215,640x512,0.8597,,,,
building2,48,0.524078833,23.65,32499,640x512,0.7934,,,,
building2,49,0.508353489,22.83,30311,640x512,0.74,,,,
building2,50,0.498832908,22.16,28082,640x512,0.6855,,,,
building2,51,0.484868878,21.91,26307,640x512,0.6422,,,,
building2,52,0.470138706,21.05,24203,640x512,0.5908,,,,
building2,53,0.459578032,20.79,22124,640x512,0.5401,,,,
