Filename,q_flag,Avg Time,Avg Energy,File Size,Resolution,bpp,,,,,
bikes,0,0.17777124,7.67,525989,768x512,10.7012,,0.0748947692494612,3.57659482758621,66898.6427801724,1.51885242456897
bikes,1,0.169992013,8.02,386323,768x512,7.8597,,,,,
bikes,2,0.15480028,7.01,318930,768x512,6.4886,,,,,
bikes,3,0.154621207,8.09,274334,768x512,5.5813,,,,,
bikes,4,0.152516803,7.58,245616,768x512,4.997,,,,,
bikes,5,0.145529058,7.43,221543,768x512,4.5073,,,,,
bikes,6,0.144135024,7.25,204113,768x512,4.1526,,,,,
bikes,7,0.144807536,6.97,188270,768x512,3.8303,,,,,
bikes,8,0.134876084,6.18,176264,768x512,3.5861,,,,,
bikes,9,0.131217116,5.94,164657,768x512,3.3499,,,,,
bikes,10,0.12822476,5.86,155903,768x512,3.1718,,,,,
bikes,11,0.125365713,5.74,148089,768x512,3.0128,,,,,
bikes,12,0.120229392,5.57,140482,768x512,2.8581,,,,,
bikes,13,0.118845409,5.48,134307,768x512,2.7324,,,,,
bikes,14,0.115834703,5.35,128619,768x512,2.6167,,,,,
bikes,15,0.1144551,5.28,123491,768x512,2.5124,,,,,
bikes,16,0.113748208,5.31,118151,768x512,2.4037,,,,,
bikes,17,0.111457153,5.17,114051,768x512,2.3203,,,,,
bikes,18,0.111310423,5.12,109997,768x512,2.2378,,,,,
bikes,19,0.109077647,5.12,106409,768x512,2.1648,,,,,
bikes,20,0.108608166,5.06,102308,768x512,2.0814,,,,,
bikes,21,0.108401557,5.08,99299,768x512,2.0202,,,,,
bikes,22,0.106187612,4.99,96341,768x512,1.96,,,,,
bikes,23,0.106667923,5,93519,768x512,1.9026,,,,,
bikes,24,0.105936791,4.98,90196,768x512,1.835,,,,,
bikes,25,0.10562067,4.88,85370,768x512,1.7368,,,,,
bikes,26,0.101937093,4.77,80916,768x512,1.6462,,,,,
bikes,27,0.10078777,4.71,77294,768x512,1.5725,,,,,
bikes,28,0.101900942,4.74,73475,768x512,1.4948,,,,,
bikes,29,0.098353155,4.62,70459,768x512,1.4334,,,,,
bikes,30,0.097041642,4.5,67379,768x512,1.3708,,,,,
bikes,31,0.101550171,4.79,63406,768x512,1.2899,,,,,
bikes,32,0.095217298,4.5,59678,768x512,1.2141,,,,,
bikes,33,0.093540395,4.39,56532,768x512,1.1501,,,,,
bikes,34,0.092837993,4.4,53578,768x512,1.09,,,,,
bikes,35,0.091159089,4.29,50372,768x512,1.0248,,,,,
bikes,36,0.090022567,4.22,47338,768x512,0.963,,,,,
bikes,37,0.088584043,4.14,44683,768x512,0.909,,,,,
bikes,38,0.086736889,4.08,41813,768x512,0.8506,,,,,
bikes,39,0.085310886,4.01,39291,768x512,0.7993,,,,,
bikes,40,0.083498412,4,36872,768x512,0.7501,,,,,
bikes,41,0.083607792,4.07,34502,768x512,0.7019,,,,,
bikes,42,0.080600486,3.81,32219,768x512,0.6554,,,,,
bikes,43,0.079321633,3.76,29968,768x512,0.6097,,,,,
bikes,44,0.078437971,3.75,27974,768x512,0.5691,,,,,
bikes,45,0.076857558,3.66,25973,768x512,0.5284,,,,,
bikes,46,0.075402534,3.6,24173,768x512,0.4918,,,,,
bikes,47,0.074458973,3.58,22523,768x512,0.4582,,,,,
bikes,48,0.07337119,3.55,20766,768x512,0.4224,,,,,
bikes,49,0.071484656,3.47,19254,768x512,0.3917,,,,,
bikes,50,0.069677262,3.38,17717,768x512,0.3604,,,,,
bikes,51,0.06858322,3.33,16387,768x512,0.3333,,,,,
bikes,52,0.06852399,3.3,15214,768x512,0.3095,,,,,
bikes,53,0.066079034,3.16,13920,768x512,0.2832,,,,,
bikes,54,0.064633311,3.11,12829,768x512,0.261,,,,,
bikes,55,0.063406089,3.02,11673,768x512,0.2374,,,,,
bikes,56,0.062241675,3.01,10591,768x512,0.2154,,,,,
bikes,57,0.060377241,2.88,9544,768x512,0.1941,,,,,
bikes,58,0.058705128,2.87,8508,768x512,0.173,,,,,
bikes,59,0.056848704,2.76,7504,768x512,0.1526,,,,,
bikes,60,0.05508574,2.71,6513,768x512,0.1325,,,,,
bikes,61,0.053543327,2.69,5651,768x512,0.1149,,,,,
bikes,62,0.051268152,2.56,4634,768x512,0.0942,,,,,
bikes,63,0.052455735,2.54,3422,768x512,0.0696,,,,,
building2,0,0.153096264,6.66,525354,640x512,12.826,,,,,
building2,1,0.149961727,6.57,395825,640x512,9.6636,,,,,
building2,2,0.144646066,6.44,343722,640x512,8.3916,,,,,
building2,3,0.141160078,6.28,305020,640x512,7.4467,,,,,
building2,4,0.137820841,6.39,279516,640x512,6.8241,,,,,
building2,5,0.137908461,6.16,257999,640x512,6.2988,,,,,
building2,6,0.136612008,6.04,241852,640x512,5.9045,,,,,
building2,7,0.135363945,6.1,227580,640x512,5.5561,,,,,
building2,8,0.133427561,5.94,216394,640x512,5.283,,,,,
building2,9,0.129676423,5.8,205551,640x512,5.0183,,,,,
building2,10,0.125168413,5.69,196829,640x512,4.8053,,,,,
building2,11,0.122740517,5.59,189032,640x512,4.615,,,,,
building2,12,0.118358968,5.39,181189,640x512,4.4235,,,,,
building2,13,0.117120916,5.35,175087,640x512,4.2745,,,,,
building2,14,0.115651412,5.28,169345,640x512,4.1343,,,,,
building2,15,0.113435228,5.33,163834,640x512,3.9998,,,,,
building2,16,0.111453803,5.08,158441,640x512,3.8681,,,,,
building2,17,0.110725011,5.03,153743,640x512,3.7534,,,,,
building2,18,0.11002845,5.02,149206,640x512,3.6427,,,,,
building2,19,0.109638769,4.98,144931,640x512,3.5383,,,,,
building2,20,0.108898658,4.9,140281,640x512,3.4248,,,,,
building2,21,0.109851289,5.01,136244,640x512,3.3262,,,,,
building2,22,0.106680363,4.83,132329,640x512,3.2306,,,,,
building2,23,0.10559986,4.82,128523,640x512,3.1377,,,,,
building2,24,0.105281749,4.83,123950,640x512,3.0261,,,,,
building2,25,0.103273485,4.74,117330,640x512,2.8645,,,,,
building2,26,0.101642942,4.7,111578,640x512,2.724,,,,,
building2,27,0.101304811,4.69,106329,640x512,2.5959,,,,,
building2,28,0.099037266,4.58,101567,640x512,2.4796,,,,,
building2,29,0.098409194,4.51,97495,640x512,2.3802,,,,,
building2,30,0.098302995,4.6,93557,640x512,2.2841,,,,,
building2,31,0.094876627,4.45,88184,640x512,2.1529,,,,,
building2,32,0.094198716,4.44,82751,640x512,2.0202,,,,,
building2,33,0.093091283,4.45,78260,640x512,1.9106,,,,,
building2,34,0.092631012,4.34,74210,640x512,1.8117,,,,,
building2,35,0.091140179,4.23,69566,640x512,1.6983,,,,,
building2,36,0.088940204,4.18,65164,640x512,1.5909,,,,,
building2,37,0.088458473,4.07,61427,640x512,1.4996,,,,,
building2,38,0.086698659,4.06,57623,640x512,1.4068,,,,,
building2,39,0.084853435,4,54017,640x512,1.3187,,,,,
building2,40,0.084617664,4.02,50779,640x512,1.2397,,,,,
building2,41,0.08251348,3.88,47236,640x512,1.1532,,,,,
building2,42,0.081300237,3.78,44125,640x512,1.0772,,,,,
building2,43,0.080137855,3.73,41098,640x512,1.0033,,,,,
building2,44,0.079034493,3.69,38414,640x512,0.9378,,,,,
building2,45,0.077310578,3.61,35685,640x512,0.8712,,,,,
building2,46,0.075919666,3.58,33096,640x512,0.808,,,,,
building2,47,0.074240012,3.54,30622,640x512,0.7476,,,,,
building2,48,0.073597311,3.45,28414,640x512,0.6937,,,,,
building2,49,0.072144368,3.39,26187,640x512,0.6393,,,,,
building2,50,0.070720834,3.37,24231,640x512,0.5915,,,,,
building2,51,0.069350162,3.26,22270,640x512,0.5437,,,,,
building2,52,0.068167349,3.21,20446,640x512,0.4991,,,,,
building2,53,0.067086867,3.2,18695,640x512,0.4564,,,,,
building2,54,0.065310203,3.1,16980,640x512,0.4145,,,,,
building2,55,0.063594519,3.19,15335,640x512,0.3743,,,,,
building2,56,0.062058995,2.99,13891,640x512,0.3391,,,,,
building2,57,0.060284932,2.91,12380,640x512,0.3022,,,,,
building2,58,0.058709598,2.83,11023,640x512,0.2691,,,,,
building2,59,0.057269865,2.75,9602,640x512,0.2344,,,,,
building2,60,0.055416521,2.73,8267,640x512,0.2018,,,,,
building2,61,0.053877817,2.57,7026,640x512,0.1715,,,,,
building2,62,0.051370462,2.48,5478,640x512,0.1337,,,,,
building2,63,0.048714287,2.32,3967,640x512,0.0968,,,,,
buildings,0,0.182677978,8.45,525035,768x512,10.6818,,,,,
buildings,1,0.166717404,7.39,397934,768x512,8.0959,,,,,
buildings,2,0.156898742,7.06,330425,768x512,6.7225,,,,,
buildings,3,0.152091152,6.75,285430,768x512,5.807,,,,,
