Filename,q_flag,Avg Time,Avg Energy,File Size,Resolution,bpp,,avg time,,,,
bikes,0,0.090422017,3.93,564764,768x512,11.4901,,0.0392587811390086,1.89778017241379,69227.046875,#DIV/0!,1.57265840517241
bikes,1,0.073878381,3.6,403722,768x512,8.2137,,,,,,
bikes,2,0.067762808,3.08,335005,768x512,6.8156,,,,,,
bikes,3,0.063275948,2.89,290451,768x512,5.9092,,,,,,
bikes,4,0.05970613,2.74,260792,768x512,5.3058,,,,,,
bikes,5,0.057767246,2.68,237048,768x512,4.8227,,,,,,
bikes,6,0.056799954,2.64,218493,768x512,4.4452,,,,,,
bikes,7,0.056541034,2.65,202916,768x512,4.1283,,,,,,
bikes,8,0.055803401,2.58,190448,768x512,3.8746,,,,,,
bikes,9,0.057552286,3,179022,768x512,3.6422,,,,,,
bikes,10,0.053147236,2.59,169782,768x512,3.4542,,,,,,
bikes,11,0.051556683,2.54,161611,768x512,3.2879,,,,,,
bikes,12,0.05060906,2.52,153724,768x512,3.1275,,,,,,
bikes,13,0.052915035,2.6,147229,768x512,2.9953,,,,,,
bikes,14,0.05061858,2.5,141380,768x512,2.8763,,,,,,
bikes,15,0.049660159,2.38,136022,768x512,2.7673,,,,,,
bikes,16,0.049187348,2.43,129978,768x512,2.6444,,,,,,
bikes,17,0.048632957,2.32,125389,768x512,2.551,,,,,,
bikes,18,0.048044015,2.37,121115,768x512,2.464,,,,,,
bikes,19,0.048113715,2.35,117136,768x512,2.3831,,,,,,
bikes,20,0.046719201,2.38,113140,768x512,2.3018,,,,,,
bikes,21,0.046986882,2.35,109699,768x512,2.2318,,,,,,
bikes,22,0.046996493,2.37,106561,768x512,2.1679,,,,,,
bikes,23,0.046351361,2.29,103541,768x512,2.1065,,,,,,
bikes,24,0.04580107,2.37,99917,768x512,2.0328,,,,,,
bikes,25,0.045510269,2.37,94712,768x512,1.9269,,,,,,
bikes,26,0.044693288,2.26,90068,768x512,1.8324,,,,,,
bikes,27,0.044299067,2.29,85922,768x512,1.748,,,,,,
bikes,28,0.044290907,2.26,81993,768x512,1.6681,,,,,,
bikes,29,0.043737405,2.22,78424,768x512,1.5955,,,,,,
bikes,30,0.042989814,2.21,75142,768x512,1.5287,,,,,,
bikes,31,0.042901563,2.17,70436,768x512,1.433,,,,,,
bikes,32,0.042258092,2.16,66339,768x512,1.3496,,,,,,
bikes,33,0.042040921,2.19,62820,768x512,1.278,,,,,,
bikes,34,0.041954771,2.17,59670,768x512,1.2139,,,,,,
bikes,35,0.04140734,2.11,56105,768x512,1.1414,,,,,,
bikes,36,0.040951979,2.1,52589,768x512,1.0699,,,,,,
bikes,37,0.040769819,2.07,49532,768x512,1.0077,,,,,,
bikes,38,0.040020847,2.07,46436,768x512,0.9447,,,,,,
bikes,39,0.042600823,2.2,43424,768x512,0.8834,,,,,,
bikes,40,0.039602896,2.04,40811,768x512,0.8303,,,,,,
bikes,41,0.038967155,1.99,37864,768x512,0.7703,,,,,,
bikes,42,0.038407374,1.95,35346,768x512,0.7191,,,,,,
bikes,43,0.038693224,1.96,32819,768x512,0.6677,,,,,,
bikes,44,0.037912773,1.92,30415,768x512,0.6187,,,,,,
bikes,45,0.037501332,1.93,28141,768x512,0.5725,,,,,,
bikes,46,0.037093641,1.89,26002,768x512,0.529,,,,,,
bikes,47,0.03662884,1.91,23992,768x512,0.4881,,,,,,
bikes,48,0.0364469,1.87,22060,768x512,0.4488,,,,,,
bikes,49,0.035895888,1.81,20227,768x512,0.4115,,,,,,
bikes,50,0.035974989,1.82,18496,768x512,0.3763,,,,,,
bikes,51,0.035412677,1.77,16914,768x512,0.3441,,,,,,
bikes,52,0.035043436,1.85,15453,768x512,0.3143,,,,,,
bikes,53,0.034756815,1.76,14079,768x512,0.2864,,,,,,
bikes,54,0.034308435,1.77,12794,768x512,0.2602,,,,,,
bikes,55,0.034352575,1.75,11544,768x512,0.2348,,,,,,
bikes,56,0.034116735,1.69,10335,768x512,0.2102,,,,,,
bikes,57,0.033581194,1.71,9309,768x512,0.1893,,,,,,
bikes,58,0.033450293,1.71,8257,768x512,0.1679,,,,,,
bikes,59,0.033240122,1.71,7306,768x512,0.1486,,,,,,
bikes,60,0.032890401,1.64,6436,768x512,0.1309,,,,,,
bikes,61,0.033129472,1.71,5499,768x512,0.1118,,,,,,
bikes,62,0.03253727,1.59,4528,768x512,0.0921,,,,,,
bikes,63,0.032438661,1.56,3487,768x512,0.0709,,,,,,
building2,0,0.083996863,4.18,539391,640x512,13.1687,,,,,,
building2,1,0.071072785,3.31,405767,640x512,9.9064,,,,,,
building2,2,0.065764654,3.04,350295,640x512,8.5521,,,,,,
building2,3,0.061563884,2.89,312504,640x512,7.6294,,,,,,
building2,4,0.05955311,2.78,284927,640x512,6.9562,,,,,,
building2,5,0.057484676,2.72,263376,640x512,6.43,,,,,,
building2,6,0.05532695,2.62,246131,640x512,6.009,,,,,,
building2,7,0.05493709,2.64,231422,640x512,5.6499,,,,,,
building2,8,0.053376727,2.5,219664,640x512,5.3628,,,,,,
building2,9,0.052735595,2.54,208842,640x512,5.0986,,,,,,
building2,10,0.053634397,2.51,199904,640x512,4.8804,,,,,,
building2,11,0.051670613,2.47,191915,640x512,4.6854,,,,,,
building2,12,0.051034812,2.48,184504,640x512,4.5044,,,,,,
building2,13,0.05030756,2.46,178174,640x512,4.3499,,,,,,
building2,14,0.049654048,2.41,172417,640x512,4.2093,,,,,,
building2,15,0.049394978,2.45,166989,640x512,4.0768,,,,,,
building2,16,0.048815286,2.35,160981,640x512,3.9302,,,,,,
building2,17,0.048160965,2.33,156184,640x512,3.813,,,,,,
building2,18,0.047544324,2.32,151507,640x512,3.6989,,,,,,
building2,19,0.047806594,2.35,147088,640x512,3.591,,,,,,
building2,20,0.047234503,2.35,142540,640x512,3.4799,,,,,,
building2,21,0.047017203,2.28,138508,640x512,3.3815,,,,,,
building2,22,0.046934882,2.43,134551,640x512,3.2849,,,,,,
building2,23,0.046709042,2.33,130892,640x512,3.1956,,,,,,
building2,24,0.04588217,2.27,126403,640x512,3.086,,,,,,
building2,25,0.045232828,2.23,119883,640x512,2.9268,,,,,,
building2,26,0.045133699,2.22,114052,640x512,2.7844,,,,,,
building2,27,0.044087386,2.2,108751,640x512,2.655,,,,,,
building2,28,0.043924886,2.2,104132,640x512,2.5422,,,,,,
building2,29,0.042879154,2.16,99795,640x512,2.4364,,,,,,
building2,30,0.042850043,2.13,95834,640x512,2.3396,,,,,,
building2,31,0.041894891,2.13,89866,640x512,2.1939,,,,,,
building2,32,0.041923541,1.99,84679,640x512,2.0673,,,,,,
building2,33,0.0412349,2.03,80079,640x512,1.955,,,,,,
building2,34,0.040477129,2.06,75849,640x512,1.8517,,,,,,
building2,35,0.039811787,1.97,71146,640x512,1.7369,,,,,,
building2,36,0.040075097,1.99,66539,640x512,1.6244,,,,,,
building2,37,0.039485676,1.99,62551,640x512,1.5271,,,,,,
building2,38,0.038622274,1.91,58630,640x512,1.4313,,,,,,
building2,39,0.037985393,1.9,54745,640x512,1.3365,,,,,,
building2,40,0.037582432,1.79,51134,640x512,1.2483,,,,,,
building2,41,0.03700005,1.84,47399,640x512,1.1572,,,,,,
building2,42,0.037298522,1.83,44145,640x512,1.0777,,,,,,
building2,43,0.035916419,1.81,40912,640x512,0.9988,,,,,,
building2,44,0.035836878,1.79,37985,640x512,0.9273,,,,,,
building2,45,0.035502978,1.81,34952,640x512,0.8533,,,,,,
building2,46,0.035207317,1.73,32254,640x512,0.7874,,,,,,
building2,47,0.034959996,1.77,29787,640x512,0.7272,,,,,,
building2,48,0.034542805,1.66,27294,640x512,0.6663,,,,,,
building2,49,0.034024414,1.75,24881,640x512,0.6074,,,,,,
building2,50,0.033925654,1.7,22676,640x512,0.5536,,,,,,
building2,51,0.033334092,1.62,20765,640x512,0.5069,,,,,,
building2,52,0.033551943,1.6,18876,640x512,0.4608,,,,,,
building2,53,0.033170833,1.6,17161,640x512,0.4189,,,,,,
building2,54,0.032221481,1.56,15504,640x512,0.3785,,,,,,
building2,55,0.03232217,1.61,13936,640x512,0.3402,,,,,,
building2,56,0.03188244,1.57,12468,640x512,0.3043,,,,,,
building2,57,0.031678489,1.49,11146,640x512,0.2721,,,,,,
building2,58,0.031422938,1.54,9862,640x512,0.2407,,,,,,
building2,59,0.030922228,1.5,8630,640x512,0.2106,,,,,,
building2,60,0.030483396,1.44,7496,640x512,0.183,,,,,,
building2,61,0.030502187,1.52,6403,640x512,0.1563,,,,,,
building2,62,0.030188296,1.45,5159,640x512,0.1259,,,,,,
building2,63,0.029715555,1.38,3872,640x512,0.0945,,,,,,
buildings,0,0.090896009,4.49,555238,768x512,11.2963,,,,,,
buildings,1,0.077567019,3.5,415922,768x512,8.4619,,,,,,
buildings,2,0.070002333,3.13,348364,768x512,7.0874,,,,,,
buildings,3,0.066635435,3.01,302664,768x512,6.1577,,,,,,
buildings,4,0.063029567,2.9,271951,768x512,5.5328,,,,,,
buildings,5,0.061120073,2.77,246871,768x512,5.0226,,,,,,
buildings,6,0.05977504,2.73,226828,768x512,4.6148,,,,,,
buildings,7,0.058191717,2.67,210027,768x512,4.273,,,,,,
buildings,8,0.057487116,2.66,196678,768x512,4.0014,,,,,,
buildings,9,0.056885524,2.61,184112,768x512,3.7457,,,,,,
buildings,10,0.055798211,2.61,174101,768x512,3.542,,,,,,
buildings,11,0.054264858,2.54,165177,768x512,3.3605,,,,,,
buildings,12,0.053596256,2.44,156622,768x512,3.1864,,,,,,
buildings,13,0.053195486,2.51,149593,768x512,3.0434,,,,,,
buildings,14,0.052462724,2.41,143144,768x512,2.9122,,,,,,
buildings,15,0.051906413,2.53,137293,768x512,2.7932,,,,,,
buildings,16,0.051558492,2.47,130722,768x512,2.6595,,,,,,
buildings,17,0.050812631,2.41,125778,768x512,2.5589,,,,,,
buildings,18,0.05032562,2.37,121276,768x512,2.4673,,,,,,
buildings,19,0.050047519,2.35,117068,768x512,2.3817,,,,,,
buildings,20,0.05064605,2.38,112891,768x512,2.2967,,,,,,
buildings,21,0.049401008,2.36,109150,768x512,2.2206,,,,,,
buildings,22,0.048995426,2.5,105642,768x512,2.1492,,,,,,
buildings,23,0.048557276,2.33,102410,768x512,2.0835,,,,,,
buildings,24,0.048071855,2.3,98590,768x512,2.0058,,,,,,
buildings,25,0.047606203,2.31,93167,768x512,1.8954,,,,,,
buildings,26,0.046857282,2.24,88291,768x512,1.7962,,,,,,
buildings,27,0.046777742,2.27,84036,768x512,1.7097,,,,,,
buildings,28,0.045638439,2.22,80090,768x512,1.6294,,,,,,
buildings,29,0.045169948,2.21,76382,768x512,1.5539,,,,,,
buildings,30,0.045113148,2.23,72880,768x512,1.4827,,,,,,
buildings,31,0.044369777,2.18,68093,768x512,1.3853,,,,,,
buildings,32,0.045094869,2.13,64037,768x512,1.3028,,,,,,
buildings,33,0.043574335,2.14,60449,768x512,1.2298,,,,,,
buildings,34,0.043802446,2.22,57281,768x512,1.1653,,,,,,
buildings,35,0.042637643,2.09,53684,768x512,1.0922,,,,,,
buildings,36,0.042717473,2.03,50271,768x512,1.0227,,,,,,
buildings,37,0.042445152,2.04,47289,768x512,0.962,,,,,,
buildings,38,0.042217732,2.11,44331,768x512,0.9019,,,,,,
buildings,39,0.041436501,1.99,41444,768x512,0.8431,,,,,,
buildings,40,0.04123012,1.99,38894,768x512,0.7913,,,,,,
buildings,41,0.040834829,1.98,36210,768x512,0.7366,,,,,,
buildings,42,0.040352898,2,33909,768x512,0.6898,,,,,,
buildings,43,0.040355208,1.97,31549,768x512,0.6418,,,,,,
buildings,44,0.040342258,1.94,29393,768x512,0.598,,,,,,
buildings,45,0.039409216,1.88,27239,768x512,0.5541,,,,,,
buildings,46,0.042861643,2.09,25306,768x512,0.5148,,,,,,
buildings,47,0.039689287,1.95,23549,768x512,0.4791,,,,,,
buildings,48,0.039301606,2.03,21902,768x512,0.4455,,,,,,
buildings,49,0.038372014,1.85,20252,768x512,0.412,,,,,,
buildings,50,0.038429134,1.89,18771,768x512,0.3818,,,,,,
buildings,51,0.038208023,1.85,17325,768x512,0.3524,,,,,,
buildings,52,0.037443671,1.79,15996,768x512,0.3254,,,,,,
buildings,53,0.037973732,1.87,14736,768x512,0.2998,,,,,,
buildings,54,0.037025981,1.78,13488,768x512,0.2744,,,,,,
buildings,55,0.03646657,1.76,12282,768x512,0.2498,,,,,,
buildings,56,0.036423029,1.72,11222,768x512,0.2283,,,,,,
buildings,57,0.036244319,1.72,10098,768x512,0.2054,,,,,,
buildings,58,0.035611748,1.73,9111,768x512,0.1853,,,,,,
buildings,59,0.035458228,1.68,8187,768x512,0.1665,,,,,,
buildings,60,0.035175657,1.7,7293,768x512,0.1483,,,,,,
buildings,61,0.035243826,1.67,6374,768x512,0.1296,,,,,,
buildings,62,0.034879516,1.68,5244,768x512,0.1066,,,,,,
buildings,63,0.034557805,1.6,3980,768x512,0.0809,,,,,,
caps,0,0.072248477,3.05,372259,768x512,7.5736,,,,,,
caps,1,0.05979955,2.8,236471,768x512,4.811,,,,,,
caps,2,0.054265578,2.48,180304,768x512,3.6682,,,,,,
caps,3,0.050168579,2.3,144975,768x512,2.9495,,,,,,
caps,4,0.048278795,2.24,121961,768x512,2.4813,,,,,,
caps,5,0.04561995,2.12,103701,768x512,2.1098,,,,,,
caps,6,0.044116226,2.14,90896,768x512,1.8492,,,,,,
caps,7,0.043268614,2.08,80700,768x512,1.6418,,,,,,
caps,8,0.042586463,2.04,73881,768x512,1.5031,,,,,,
caps,9,0.041053389,2,67803,768x512,1.3794,,,,,,
caps,10,0.040957779,2,63139,768x512,1.2845,,,,,,
caps,11,0.040277778,1.98,59216,768x512,1.2047,,,,,,
caps,12,0.039824596,1.94,55446,768x512,1.128,,,,,,
caps,13,0.039196436,1.87,52429,768x512,1.0666,,,,,,
caps,14,0.038789255,1.93,49696,768x512,1.011,,,,,,
caps,15,0.038560344,1.81,47345,768x512,0.9632,,,,,,
caps,16,0.038312414,1.85,44439,768x512,0.9041,,,,,,
caps,17,0.038613414,1.86,42445,768x512,0.8635,,,,,,
caps,18,0.038418144,1.87,40639,768x512,0.8268,,,,,,
caps,19,0.038161844,1.88,38920,768x512,0.7918,,,,,,
caps,20,0.038254694,1.8,37153,768x512,0.7558,,,,,,
caps,21,0.037820523,1.84,35718,768x512,0.7266,,,,,,
caps,22,0.037792653,1.82,34278,768x512,0.6973,,,,,,
caps,23,0.037101301,1.79,33100,768x512,0.6734,,,,,,
caps,24,0.037278091,1.86,31667,768x512,0.6442,,,,,,
caps,25,0.03680778,1.79,29643,768x512,0.603,,,,,,
caps,26,0.03666385,1.72,27753,768x512,0.5646,,,,,,
caps,27,0.03672565,1.76,26185,768x512,0.5327,,,,,,
caps,28,0.036233059,1.72,24634,768x512,0.5011,,,,,,
caps,29,0.036165579,1.76,23334,768x512,0.4747,,,,,,
caps,30,0.035584668,1.72,22153,768x512,0.4507,,,,,,
caps,31,0.035180937,1.72,20399,768x512,0.415,,,,,,
caps,32,0.035298047,1.67,18980,768x512,0.3861,,,,,,
caps,33,0.034959207,1.66,17775,768x512,0.3616,,,,,,
caps,34,0.034648576,1.64,16687,768x512,0.3394,,,,,,
caps,35,0.034650276,1.62,15508,768x512,0.3155,,,,,,
caps,36,0.034642745,1.64,14336,768x512,0.2916,,,,,,
caps,37,0.034206164,1.63,13370,768x512,0.272,,,,,,
caps,38,0.033960834,1.6,12379,768x512,0.2518,,,,,,
caps,39,0.034070984,1.63,11384,768x512,0.2316,,,,,,
caps,40,0.033841904,1.61,10568,768x512,0.215,,,,,,
caps,41,0.033206192,1.55,9712,768x512,0.1975,,,,,,
caps,42,0.033262083,1.55,8980,768x512,0.1826,,,,,,
caps,43,0.033112062,1.64,8249,768x512,0.1678,,,,,,
caps,44,0.032656101,1.58,7657,768x512,0.1557,,,,,,
caps,45,0.032708841,1.58,7073,768x512,0.1439,,,,,,
caps,46,0.032603041,1.51,6496,768x512,0.1321,,,,,,
caps,47,0.0320548,1.51,5978,768x512,0.1216,,,,,,
caps,48,0.031480259,1.54,5405,768x512,0.1099,,,,,,
caps,49,0.031793059,1.51,4985,768x512,0.1014,,,,,,
caps,50,0.031950979,1.5,4606,768x512,0.0937,,,,,,
caps,51,0.031563098,1.54,4211,768x512,0.0856,,,,,,
caps,52,0.031127858,1.48,3860,768x512,0.0785,,,,,,
caps,53,0.031141838,1.46,3594,768x512,0.0731,,,,,,
caps,54,0.031038927,1.47,3319,768x512,0.0675,,,,,,
caps,55,0.030950988,1.46,3032,768x512,0.0616,,,,,,
caps,56,0.030894227,1.46,2781,768x512,0.0565,,,,,,
caps,57,0.030919688,1.5,2581,768x512,0.0525,,,,,,
caps,58,0.030875657,1.41,2370,768x512,0.0482,,,,,,
