Filename,q_flag,Avg Time,Avg Energy,File Size,Resolution,bpp
bikes,0,0.007408802,0.27,6349,768x512,.1291
bikes,1,0.005477206,0.24,6349,768x512,.1291
bikes,2,0.005245005,0.23,10361,768x512,.2107
bikes,3,0.005672637,0.24,16302,768x512,.3316
bikes,4,0.005842997,0.27,23003,768x512,.4679
bikes,5,0.005839158,0.29,29760,768x512,.6054
bikes,6,0.005926678,0.27,35896,768x512,.7303
bikes,7,0.006306429,0.29,41814,768x512,.8507
bikes,8,0.006177978,0.27,47271,768x512,.9617
bikes,9,0.006446069,0.29,52878,768x512,1.0758
bikes,10,0.006422939,0.33,58172,768x512,1.1835
bikes,11,0.006601950,0.28,63274,768x512,1.2873
bikes,12,0.006682200,0.31,68255,768x512,1.3886
bikes,13,0.007060041,0.32,73271,768x512,1.4907
bikes,14,0.006826050,0.27,77519,768x512,1.5771
bikes,15,0.007041421,0.33,81985,768x512,1.6679
bikes,16,0.007572783,0.36,86265,768x512,1.7550
bikes,17,0.007159762,0.31,90481,768x512,1.8408
bikes,18,0.007734393,0.32,94559,768x512,1.9238
bikes,19,0.007188412,0.33,98134,768x512,1.9965
bikes,20,0.007290012,0.34,101813,768x512,2.0713
bikes,21,0.007439053,0.32,105784,768x512,2.1521
bikes,22,0.007457502,0.38,109359,768x512,2.2249
bikes,23,0.007386832,0.34,112928,768x512,2.2975
bikes,24,0.007615842,0.38,116323,768x512,2.3665
bikes,25,0.007667223,0.37,119578,768x512,2.4328
bikes,26,0.007624513,0.36,122944,768x512,2.5013
bikes,27,0.008016924,0.39,126213,768x512,2.5678
bikes,28,0.007776363,0.36,129835,768x512,2.6414
bikes,29,0.008014864,0.37,132463,768x512,2.6949
bikes,30,0.008065414,0.36,135513,768x512,2.7570
bikes,31,0.008046394,0.37,138528,768x512,2.8183
bikes,32,0.008116544,0.42,141465,768x512,2.8781
bikes,33,0.008132085,0.36,144667,768x512,2.9432
bikes,34,0.008365075,0.39,146463,768x512,2.9797
bikes,35,0.008259934,0.36,150106,768x512,3.0539
bikes,36,0.008402065,0.36,153042,768x512,3.1136
bikes,37,0.008894927,0.41,154559,768x512,3.1445
bikes,38,0.008428485,0.41,158108,768x512,3.2167
bikes,39,0.008662956,0.44,160431,768x512,3.2639
bikes,40,0.008416895,0.40,161714,768x512,3.2900
bikes,41,0.008491475,0.41,165648,768x512,3.3701
bikes,42,0.008474846,0.44,167452,768x512,3.4068
bikes,43,0.008688896,0.41,169570,768x512,3.4499
bikes,44,0.008660316,0.39,172881,768x512,3.5172
bikes,45,0.008630556,0.37,174671,768x512,3.5536
bikes,46,0.008707636,0.41,177629,768x512,3.6138
bikes,47,0.008678826,0.42,179093,768x512,3.6436
bikes,48,0.008732216,0.41,181466,768x512,3.6919
bikes,49,0.009056867,0.44,184870,768x512,3.7611
bikes,50,0.008841177,0.41,185819,768x512,3.7804
bikes,51,0.008762986,0.41,186759,768x512,3.7996
bikes,52,0.008837756,0.42,190360,768x512,3.8728
bikes,53,0.008889606,0.41,193208,768x512,3.9308
bikes,54,0.008951147,0.39,194982,768x512,3.9669
bikes,55,0.009052247,0.41,197199,768x512,4.0120
bikes,56,0.009001977,0.41,200023,768x512,4.0694
bikes,57,0.010657292,0.52,203121,768x512,4.1325
bikes,58,0.009275147,0.41,206493,768x512,4.2011
bikes,59,0.009320088,0.37,208640,768x512,4.2447
bikes,60,0.009253018,0.42,211005,768x512,4.2929
bikes,61,0.009837799,0.45,214878,768x512,4.3717
bikes,62,0.011664925,0.55,217449,768x512,4.4240
bikes,63,0.009380098,0.48,221650,768x512,4.5094
bikes,64,0.009488428,0.46,224022,768x512,4.5577
bikes,65,0.009497299,0.42,228530,768x512,4.6494
bikes,66,0.009593499,0.44,231767,768x512,4.7153
bikes,67,0.009654579,0.41,235203,768x512,4.7852
bikes,68,0.009551028,0.41,240084,768x512,4.8845
bikes,69,0.009737869,0.43,243889,768x512,4.9619
bikes,70,0.009943970,0.47,249381,768x512,5.0736
bikes,71,0.009853789,0.47,253836,768x512,5.1643
bikes,72,0.010257621,0.50,257619,768x512,5.2412
bikes,73,0.009946660,0.45,263309,768x512,5.3570
bikes,74,0.010302440,0.49,270641,768x512,5.5062
bikes,75,0.010216041,0.46,272737,768x512,5.5488
bikes,76,0.010703612,0.53,278922,768x512,5.6746
bikes,77,0.010451301,0.45,287663,768x512,5.8525
bikes,78,0.010652581,0.50,294826,768x512,5.9982
bikes,79,0.010567682,0.46,300453,768x512,6.1127
bikes,80,0.010735572,0.52,307789,768x512,6.2619
bikes,81,0.011256493,0.52,317657,768x512,6.4627
bikes,82,0.011137143,0.58,325366,768x512,6.6195
bikes,83,0.011145673,0.50,336755,768x512,6.8512
bikes,84,0.011455964,0.59,346024,768x512,7.0398
bikes,85,0.011816195,0.51,354949,768x512,7.2214
bikes,86,0.012047716,0.63,369709,768x512,7.5217
bikes,87,0.011889766,0.55,379481,768x512,7.7205
bikes,88,0.012213727,0.58,396059,768x512,8.0578
bikes,89,0.012598168,0.57,409693,768x512,8.3352
bikes,90,0.013032209,0.70,430526,768x512,8.7590
bikes,91,0.012849748,0.58,448077,768x512,9.1161
bikes,92,0.013383309,0.70,467000,768x512,9.5011
bikes,93,0.013867281,0.62,497142,768x512,10.1143
bikes,94,0.014247332,0.64,533865,768x512,10.8615
bikes,95,0.014558714,0.67,574120,768x512,11.6805
bikes,96,0.015294445,0.78,623816,768x512,12.6915
bikes,97,0.015976538,0.75,680549,768x512,13.8458
bikes,98,0.017135321,0.78,745953,768x512,15.1764
bikes,99,0.017876303,0.85,839450,768x512,17.0786
building2,0,0.004612584,0.18,6355,640x512,.1551
building2,1,0.004712964,0.23,6355,640x512,.1551
building2,2,0.004733834,0.23,12188,640x512,.2975
building2,3,0.004894614,0.23,19830,640x512,.4841
building2,4,0.005286476,0.26,27504,640x512,.6714
building2,5,0.005291746,0.22,34644,640x512,.8458
building2,6,0.005810098,0.30,41677,640x512,1.0175
building2,7,0.005661136,0.27,48241,640x512,1.1777
building2,8,0.005920988,0.30,54554,640x512,1.3318
building2,9,0.005951448,0.27,60762,640x512,1.4834
building2,10,0.005928237,0.27,66386,640x512,1.6207
building2,11,0.006065678,0.27,71889,640x512,1.7551
building2,12,0.008186495,0.49,77070,640x512,1.8815
building2,13,0.006409469,0.32,82464,640x512,2.0132
building2,14,0.007585152,0.37,86908,640x512,2.1217
building2,15,0.006642369,0.32,91441,640x512,2.2324
building2,16,0.006502600,0.29,96054,640x512,2.3450
building2,17,0.006714170,0.28,100367,640x512,2.4503
building2,18,0.006622640,0.33,104713,640x512,2.5564
building2,19,0.006901041,0.31,108321,640x512,2.6445
building2,20,0.006818180,0.33,111954,640x512,2.7332
building2,21,0.006920741,0.32,116161,640x512,2.8359
building2,22,0.006972611,0.33,119941,640x512,2.9282
building2,23,0.007120951,0.32,123710,640x512,3.0202
building2,24,0.007186611,0.38,127302,640x512,3.1079
building2,25,0.007520412,0.31,130697,640x512,3.1908
building2,26,0.007351662,0.34,134437,640x512,3.2821
building2,27,0.007260152,0.32,137755,640x512,3.3631
building2,28,0.007475453,0.37,141390,640x512,3.4519
building2,29,0.007601822,0.36,144163,640x512,3.5196
building2,30,0.007551952,0.33,147483,640x512,3.6006
building2,31,0.007505682,0.37,150427,640x512,3.6725
building2,32,0.007704563,0.38,153491,640x512,3.7473
building2,33,0.007534953,0.36,157019,640x512,3.8334
building2,34,0.007872333,0.36,159233,640x512,3.8875
building2,35,0.007840414,0.40,163038,640x512,3.9804
building2,36,0.007810423,0.36,166253,640x512,4.0589
building2,37,0.008092314,0.39,167968,640x512,4.1007
building2,38,0.008062034,0.39,171741,640x512,4.1928
building2,39,0.008075124,0.36,174185,640x512,4.2525
building2,40,0.007963714,0.37,175749,640x512,4.2907
building2,41,0.008104984,0.38,179835,640x512,4.3905
building2,42,0.008092024,0.37,181679,640x512,4.4355
building2,43,0.008054534,0.33,184156,640x512,4.4959
