Filename;q_flag;Avg Time;Avg Energy;File Size;Resolution;bpp;;ssim;psnr;mse;;min fs;max fs ;avg fs;median fs
bikes;62;0,011664925;0,55;217449;768x512;4,424;62;0,950953077;31,87066612;42,2681995;;60588;926368;273215,362;235203
bikes;63;0,009380098;0,48;221650;768x512;4,5094;63;0,952207099;32,00001711;41,02783966;;min bpp;max bpp;avg bpp;median bpp
bikes;64;0,009488428;0,46;224022;768x512;4,5577;64;0,953080373;32,10620313;40,03686354;;1,2326;19,5525;6,224246613;5,4028
bikes;65;0,009497299;0,42;228530;768x512;4,6494;65;0,954311915;32,2365833;38,85277388;;min time;max time ;avg time;median time
bikes;66;0,009593499;0,44;231767;768x512;4,7153;66;0,955445199;32,3755857;37,6289232;;0,006098469;0,018621056;0,009832481;0,009405448
bikes;67;0,009654579;0,41;235203;768x512;4,7852;67;0,956620264;32,510603;36,4770796;;min enrg;max nrg;avg nrg;median nrg
bikes;68;0,009551028;0,41;240084;768x512;4,8845;68;0,957809851;32,65039209;35,32166375;;0,25;1,38;0,46760364;0,45
bikes;69;0,009737869;0,43;243889;768x512;4,9619;69;0,958937137;32,7864978;34,23186662;;;;;
bikes;70;0,00994397;0,47;249381;768x512;5,0736;70;0,960435277;32,96377436;32,86267598;;;;;
bikes;71;0,009853789;0,47;253836;768x512;5,1643;71;0,961596277;33,13318148;31,60546705;;;;;
bikes;72;0,010257621;0,5;257619;768x512;5,2412;72;0,962801663;33,28779652;30,50006104;;;;;
bikes;73;0,00994666;0,45;263309;768x512;5,357;73;0,96386098;33,44811605;29,39468129;;;;;
bikes;74;0,01030244;0,49;270641;768x512;5,5062;74;0,965492962;33,66623694;27,95481788;;;;;
bikes;75;0,010216041;0,46;272737;768x512;5,5488;75;0,966426905;33,80873166;27,05248684;;;;;
bikes;76;0,010703612;0,53;278922;768x512;5,6746;76;0,967970662;34,05159209;25,58121406;;;;;
bikes;77;0,010451301;0,45;287663;768x512;5,8525;77;0,969625167;34,30255788;24,14485338;;;;;
bikes;78;0,010652581;0,5;294826;768x512;5,9982;78;0,970843814;34,51847032;22,97382609;;;;;
bikes;79;0,010567682;0,46;300453;768x512;6,1127;79;0,972067418;34,73961749;21,83326128;;;;;
bikes;80;0,010735572;0,52;307789;768x512;6,2619;80;0,973481597;35,00459738;20,54095459;;;;;
bikes;81;0,011256493;0,52;317657;768x512;6,4627;81;0,975012441;35,30728085;19,15809292;;;;;
bikes;82;0,011137143;0,58;325366;768x512;6,6195;82;0,97642028;35,59265723;17,93967777;;;;;
bikes;83;0,011145673;0,5;336755;768x512;6,8512;83;0,977784646;35,89784169;16,72230699;;;;;
bikes;84;0,011455964;0,59;346024;768x512;7,0398;84;0,979232066;36,23424125;15,47591146;;;;;
bikes;85;0,011816195;0,51;354949;768x512;7,2214;85;0,980648143;36,60080751;14,22327508;;;;;
bikes;86;0,012047716;0,63;369709;768x512;7,5217;86;0,982148284;37,01510755;12,92913903;;;;;
bikes;87;0,011889766;0,55;379481;768x512;7,7205;87;0,983465453;37,4075325;11,81209988;;;;;
bikes;88;0,012213727;0,58;396059;768x512;8,0578;88;0,985082457;37,91452652;10,51060486;;;;;
bikes;89;0,012598168;0,57;409693;768x512;8,3352;89;0,986501391;38,41363668;9,369505988;;;;;
bikes;90;0,013032209;0,7;430526;768x512;8,759;90;0,988002628;39,02434958;8,140393575;;;;;
bikes;91;0,012849748;0,58;448077;768x512;9,1161;91;0,98939131;39,65592999;7,038617452;;;;;
bikes;92;0,013383309;0,7;467000;768x512;9,5011;92;0,990942812;40,43833239;5,878237406;;;;;
bikes;93;0,013867281;0,62;497142;768x512;10,1143;93;0,99236043;41,3027287;4,817342122;;;;;
bikes;94;0,014247332;0,64;533865;768x512;10,8615;94;0,993821229;42,38428286;3,755364312;;;;;
bikes;95;0,014558714;0,67;574120;768x512;11,6805;95;0,995104639;43,57883351;2,852311876;;;;;
bikes;96;0,015294445;0,78;623816;768x512;12,6915;96;0,996483698;45,19777637;1,964729309;;;;;
