Filename,q_flag,Time,Energy,File Size,Resolution,bpp
bikes,0,0.117609821,5.44,609779,768x512,12.4059
bikes,1,0.117815671,5.69,613432,768x512,12.4803
bikes,2,0.118798544,5.97,621512,768x512,12.6446
bikes,3,0.117099780,5.83,622073,768x512,12.6561
bikes,4,0.121366321,5.91,628329,768x512,12.7833
bikes,5,0.134908335,6.75,520277,768x512,10.5850
bikes,6,0.130733034,6.52,525519,768x512,10.6917
bikes,7,0.133533582,6.61,534360,768x512,10.8715
bikes,8,0.135341106,6.74,538405,768x512,10.9538
bikes,9,0.134387133,6.64,549305,768x512,11.1756
bikes,10,0.134379104,6.66,555214,768x512,11.2958
bikes,11,0.133628272,6.80,562350,768x512,11.4410
bikes,12,0.134632854,6.72,569036,768x512,11.5770
bikes,13,0.135393116,6.72,578841,768x512,11.7765
bikes,14,0.135942858,6.62,586964,768x512,11.9418
bikes,15,0.134338784,6.61,592071,768x512,12.0457
bikes,16,0.134846335,6.79,600370,768x512,12.2145
bikes,17,0.134402244,6.67,608989,768x512,12.3899
bikes,18,0.133216971,6.50,616971,768x512,12.5523
bikes,19,0.132168948,6.62,625130,768x512,12.7183
bikes,20,0.131000055,6.47,630490,768x512,12.8273
bikes,21,0.127977887,5.92,638198,768x512,12.9841
bikes,22,0.129848852,6.46,644034,768x512,13.1029
bikes,23,0.129004510,6.38,651390,768x512,13.2525
bikes,24,0.128100058,6.32,658339,768x512,13.3939
bikes,25,0.128659009,6.27,662823,768x512,13.4851
bikes,26,0.125962203,6.16,666248,768x512,13.5548
bikes,27,0.125023519,6.20,672104,768x512,13.6739
bikes,28,0.126493384,6.30,675734,768x512,13.7478
bikes,29,0.124600989,6.20,677586,768x512,13.7855
bikes,30,0.126666724,6.46,680266,768x512,13.8400
bikes,31,0.125498171,6.13,683611,768x512,13.9081
bikes,32,0.123021544,5.70,685655,768x512,13.9496
bikes,33,0.125244411,6.34,687847,768x512,13.9942
bikes,34,0.123749107,6.07,691156,768x512,14.0616
bikes,35,0.121616581,6.00,692303,768x512,14.0849
bikes,36,0.120645879,6.07,693489,768x512,14.1090
bikes,37,0.121900751,5.83,695421,768x512,14.1483
bikes,38,0.120539928,5.82,698234,768x512,14.2056
bikes,39,0.121908692,6.02,700601,768x512,14.2537
bikes,40,0.119180775,6.02,702447,768x512,14.2913
bikes,41,0.117819561,5.53,704134,768x512,14.3256
bikes,42,0.120057307,6.05,704594,768x512,14.3350
bikes,43,0.120331848,5.90,706594,768x512,14.3756
bikes,44,0.117123390,5.70,708487,768x512,14.4142
bikes,45,0.117733741,5.88,711195,768x512,14.4692
bikes,46,0.119543806,5.88,714281,768x512,14.5320
bikes,47,0.116485158,5.67,714310,768x512,14.5326
bikes,48,0.117283300,5.88,716558,768x512,14.5784
bikes,49,0.115885186,5.59,718007,768x512,14.6078
bikes,50,0.115638096,5.31,720607,768x512,14.6607
bikes,51,0.117477810,5.75,722702,768x512,14.7034
bikes,52,0.114208952,5.61,724814,768x512,14.7463
bikes,53,0.114895334,5.62,727949,768x512,14.8101
bikes,54,0.115667696,5.74,728381,768x512,14.8189
bikes,55,0.114439673,5.60,729304,768x512,14.8377
bikes,56,0.117367430,5.66,731840,768x512,14.8893
bikes,57,0.105598410,5.23,745840,768x512,15.1741
bikes,58,0.104481608,5.13,746170,768x512,15.1808
bikes,59,0.107057124,5.16,749021,768x512,15.2388
bikes,60,0.105552540,4.93,749677,768x512,15.2522
bikes,61,0.105133439,5.05,751758,768x512,15.2945
bikes,62,0.103789836,4.85,754061,768x512,15.3414
bikes,63,0.105137409,4.78,755308,768x512,15.3667
bikes,64,0.104288627,5.06,756339,768x512,15.3877
bikes,65,0.105809981,4.95,767765,768x512,15.6202
bikes,66,0.102441102,4.89,767400,768x512,15.6127
bikes,67,0.105702021,4.93,769422,768x512,15.6539
bikes,68,0.105400170,4.76,770428,768x512,15.6743
bikes,69,0.102258351,4.92,772202,768x512,15.7104
bikes,70,0.105529440,5.16,774282,768x512,15.7528
bikes,71,0.102180782,4.88,772819,768x512,15.7230
bikes,72,0.101526300,4.88,776294,768x512,15.7937
bikes,73,0.106847623,5.08,775804,768x512,15.7837
bikes,74,0.102009091,4.94,778640,768x512,15.8414
bikes,75,0.101636150,4.91,779037,768x512,15.8495
bikes,76,0.101266519,4.88,779979,768x512,15.8687
bikes,77,0.102516783,5.11,782022,768x512,15.9102
bikes,78,0.102047541,4.94,784081,768x512,15.9521
bikes,79,0.101259619,4.92,791042,768x512,16.0937
bikes,80,0.100709208,4.62,793438,768x512,16.1425
bikes,81,0.100031596,4.84,793632,768x512,16.1464
bikes,82,0.100944049,4.88,794576,768x512,16.1656
bikes,83,0.099756545,4.81,794853,768x512,16.1713
bikes,84,0.103722225,4.99,796606,768x512,16.2069
bikes,85,0.100888478,4.79,799164,768x512,16.2590
bikes,86,0.101190619,4.88,798625,768x512,16.2480
bikes,87,0.104394777,4.89,802966,768x512,16.3363
bikes,88,0.100802268,4.86,801568,768x512,16.3079
bikes,89,0.107253385,5.08,801797,768x512,16.3126
bikes,90,0.102718733,4.98,804047,768x512,16.3583
bikes,91,0.101457110,4.97,806229,768x512,16.4027
bikes,92,0.100798948,4.84,807172,768x512,16.4219
bikes,93,0.103046233,4.91,808797,768x512,16.4550
bikes,94,0.105396340,4.93,809903,768x512,16.4775
bikes,95,0.102044451,4.88,810851,768x512,16.4968
bikes,96,0.102942843,4.89,811931,768x512,16.5187
bikes,97,0.104778158,5.13,812723,768x512,16.5348
bikes,98,0.105018449,5.01,814299,768x512,16.5669
bikes,99,0.109505321,5.17,814315,768x512,16.5672
building2,0,0.096943648,4.34,590951,640x512,14.4275
building2,1,0.094502102,4.44,593454,640x512,14.4886
building2,2,0.096039896,4.55,596623,640x512,14.5659
building2,3,0.093228129,4.44,599363,640x512,14.6328
building2,4,0.098386282,4.47,602762,640x512,14.7158
building2,5,0.117911271,5.30,504334,640x512,12.3128
building2,6,0.113617490,5.44,510140,640x512,12.4545
building2,7,0.115031204,5.55,516586,640x512,12.6119
building2,8,0.114101362,5.41,523818,640x512,12.7885
building2,9,0.114225082,5.44,531236,640x512,12.9696
building2,10,0.114412113,5.51,539653,640x512,13.1751
building2,11,0.117191290,5.56,547277,640x512,13.3612
building2,12,0.114231922,5.44,555520,640x512,13.5625
building2,13,0.122204472,5.75,563456,640x512,13.7562
building2,14,0.113630211,5.23,570755,640x512,13.9344
building2,15,0.111839177,5.29,579099,640x512,14.1381
building2,16,0.109694781,5.31,586049,640x512,14.3078
building2,17,0.109984462,5.18,595039,640x512,14.5273
building2,18,0.108691178,5.10,603596,640x512,14.7362
building2,19,0.108955878,5.22,610390,640x512,14.9020
building2,20,0.106870883,4.71,617445,640x512,15.0743
building2,21,0.103436474,4.98,622685,640x512,15.2022
building2,22,0.102620572,4.99,629927,640x512,15.3790
building2,23,0.102219651,4.60,636740,640x512,15.5454
building2,24,0.102244281,4.89,642027,640x512,15.6744
building2,25,0.100016136,4.82,646884,640x512,15.7930
building2,26,0.099820275,4.62,651724,640x512,15.9112
building2,27,0.098495842,4.57,655773,640x512,16.0100
building2,28,0.101236909,4.91,659182,640x512,16.0933
building2,29,0.097974250,4.81,662032,640x512,16.1628
building2,30,0.095575294,4.56,664016,640x512,16.2113
building2,31,0.093556500,4.55,665455,640x512,16.2464
building2,32,0.096451457,4.63,667404,640x512,16.2940
