Filename,q_flag,Time,Energy,File Size,Resolution,bpp,,,,
bikes,0,0.130355313,5.74,567299,768x512,11.5417,,0.113274034725517,5.38974137931035,10.9711859310345
bikes,1,0.129475222,6.33,574503,768x512,11.6882,,,,
bikes,2,0.130763125,6.5,582088,768x512,11.8426,,,,
bikes,3,0.129330271,6.26,588312,768x512,11.9692,,,,
bikes,4,0.127288756,6.17,595777,768x512,12.1211,,,,
bikes,5,0.152171849,8.13,547828,768x512,11.1455,,,,
bikes,6,0.14854875,7.23,551622,768x512,11.2227,,,,
bikes,7,0.150813396,7.59,557289,768x512,11.338,,,,
bikes,8,0.150244684,7.92,564500,768x512,11.4847,,,,
bikes,9,0.14832533,8.05,570320,768x512,11.6031,,,,
bikes,10,0.149214242,8.13,576415,768x512,11.7271,,,,
bikes,11,0.151346657,8.28,580532,768x512,11.8109,,,,
bikes,12,0.147914148,7.89,586454,768x512,11.9314,,,,
bikes,13,0.146567695,7.54,594053,768x512,12.086,,,,
bikes,14,0.155206987,7.94,598884,768x512,12.1843,,,,
bikes,15,0.14083211,7.21,603799,768x512,12.2843,,,,
bikes,16,0.145566413,7.07,609049,768x512,12.3911,,,,
bikes,17,0.141104201,7.07,613937,768x512,12.4905,,,,
bikes,18,0.139153896,6.95,620654,768x512,12.6272,,,,
bikes,19,0.143893358,7.02,626375,768x512,12.7436,,,,
bikes,20,0.139280716,6.98,629921,768x512,12.8157,,,,
bikes,21,0.137203711,6.77,635274,768x512,12.9246,,,,
bikes,22,0.137171531,6.69,638440,768x512,12.989,,,,
bikes,23,0.138451764,6.67,643798,768x512,13.0981,,,,
bikes,24,0.136336529,6.64,649138,768x512,13.2067,,,,
bikes,25,0.135170136,6.79,652841,768x512,13.282,,,,
bikes,26,0.134454004,6.57,657355,768x512,13.3739,,,,
bikes,27,0.13709614,6.69,660045,768x512,13.4286,,,,
bikes,28,0.133374802,6.39,662447,768x512,13.4775,,,,
bikes,29,0.13270049,6.38,665816,768x512,13.546,,,,
bikes,30,0.131493796,6.48,667713,768x512,13.5846,,,,
bikes,31,0.130727704,6.4,669540,768x512,13.6218,,,,
bikes,32,0.129855722,6.32,670011,768x512,13.6314,,,,
bikes,33,0.130915585,6.35,671117,768x512,13.6539,,,,
bikes,34,0.130952525,6.2,672437,768x512,13.6807,,,,
bikes,35,0.130605424,6.35,674327,768x512,13.7192,,,,
bikes,36,0.130506484,6.12,674611,768x512,13.7249,,,,
bikes,37,0.127751797,6.21,676591,768x512,13.7652,,,,
bikes,38,0.132292878,6.3,677384,768x512,13.7814,,,,
bikes,39,0.129703761,6.46,679258,768x512,13.8195,,,,
bikes,40,0.133706602,6.29,680522,768x512,13.8452,,,,
bikes,41,0.129393501,6.23,682319,768x512,13.8818,,,,
bikes,42,0.134848884,6.46,684352,768x512,13.9231,,,,
bikes,43,0.126054842,6.07,685995,768x512,13.9566,,,,
bikes,44,0.127025845,6.07,688268,768x512,14.0028,,,,
bikes,45,0.131294966,6.44,689175,768x512,14.0213,,,,
bikes,46,0.125669911,5.98,691107,768x512,14.0606,,,,
bikes,47,0.12547163,5.94,692533,768x512,14.0896,,,,
bikes,48,0.12532858,6.1,694962,768x512,14.139,,,,
bikes,49,0.124200288,6.01,696555,768x512,14.1714,,,,
bikes,50,0.124496758,6.1,698891,768x512,14.2189,,,,
bikes,51,0.122996245,5.98,701217,768x512,14.2662,,,,
bikes,52,0.123906087,6.03,704315,768x512,14.3293,,,,
bikes,53,0.122399983,5.88,705505,768x512,14.3535,,,,
bikes,54,0.122217953,5.86,707112,768x512,14.3862,,,,
bikes,55,0.122052352,5.71,709916,768x512,14.4432,,,,
bikes,56,0.122369003,6.16,711118,768x512,14.4677,,,,
bikes,57,0.115244045,5.38,727691,768x512,14.8049,,,,
bikes,58,0.114821084,5.46,729302,768x512,14.8376,,,,
bikes,59,0.113659491,5.42,729683,768x512,14.8454,,,,
bikes,60,0.11321534,5.35,731925,768x512,14.891,,,,
bikes,61,0.113789012,5.36,734566,768x512,14.9447,,,,
bikes,62,0.11329704,5.49,735741,768x512,14.9686,,,,
bikes,63,0.11356762,5.46,737397,768x512,15.0023,,,,
bikes,64,0.112466348,5.38,738977,768x512,15.0345,,,,
bikes,65,0.112099517,5.35,740091,768x512,15.0571,,,,
bikes,66,0.112061946,5.46,742163,768x512,15.0993,,,,
bikes,67,0.112449698,5.43,742176,768x512,15.0996,,,,
bikes,68,0.111087264,5.21,743532,768x512,15.1271,,,,
bikes,69,0.110896914,5.45,745718,768x512,15.1716,,,,
bikes,70,0.11360131,5.4,746443,768x512,15.1864,,,,
bikes,71,0.109879262,5.25,748376,768x512,15.2257,,,,
bikes,72,0.112230637,5.47,749003,768x512,15.2385,,,,
bikes,73,0.10936617,5.28,751355,768x512,15.2863,,,,
bikes,74,0.111015684,5.3,752569,768x512,15.311,,,,
bikes,75,0.115847286,5.54,754247,768x512,15.3451,,,,
bikes,76,0.111664676,5.32,755707,768x512,15.3748,,,,
bikes,77,0.10954947,5.21,757416,768x512,15.4096,,,,
bikes,78,0.110778953,5.37,759088,768x512,15.4436,,,,
bikes,79,0.113480711,5.42,760723,768x512,15.4769,,,,
bikes,80,0.108794348,5.15,762493,768x512,15.5129,,,,
bikes,81,0.108439868,5.4,764674,768x512,15.5573,,,,
bikes,82,0.110582483,5.33,765834,768x512,15.5809,,,,
bikes,83,0.108814928,5.25,767688,768x512,15.6186,,,,
bikes,84,0.111433895,5.26,769485,768x512,15.6552,,,,
bikes,85,0.109089899,5.2,771807,768x512,15.7024,,,,
bikes,86,0.108540638,5.12,773227,768x512,15.7313,,,,
bikes,87,0.108355137,5.11,774741,768x512,15.7621,,,,
bikes,88,0.108831048,5.22,776255,768x512,15.7929,,,,
bikes,89,0.109125359,5.31,777074,768x512,15.8096,,,,
bikes,90,0.110990574,5.22,779152,768x512,15.8518,,,,
bikes,91,0.108286937,5.22,781517,768x512,15.9,,,,
bikes,92,0.110345962,5.24,783057,768x512,15.9313,,,,
bikes,93,0.107191714,5.15,786171,768x512,15.9946,,,,
bikes,94,0.107295005,5.11,789578,768x512,16.064,,,,
bikes,95,0.107966246,5.25,792012,768x512,16.1135,,,,
bikes,96,0.108935028,5.22,793966,768x512,16.1532,,,,
bikes,97,0.107655856,5.27,796865,768x512,16.2122,,,,
bikes,98,0.108653928,5.18,799219,768x512,16.2601,,,,
bikes,99,0.106166312,5.02,802176,768x512,16.3203,,,,
building2,0,0.100851068,4.89,569146,640x512,13.8951,,,,
building2,1,0.099495625,4.65,572661,640x512,13.9809,,,,
building2,2,0.102861883,4.82,576318,640x512,14.0702,,,,
building2,3,0.099425965,4.59,581396,640x512,14.1942,,,,
building2,4,0.09781752,4.64,587092,640x512,14.3333,,,,
building2,5,0.109705771,5.3,546290,640x512,13.3371,,,,
building2,6,0.108432447,5.09,552069,640x512,13.4782,,,,
building2,7,0.107860056,5.05,555960,640x512,13.5732,,,,
building2,8,0.110346842,5.25,562887,640x512,13.7423,,,,
building2,9,0.10559638,5.07,567464,640x512,13.8541,,,,
building2,10,0.109105829,5.33,571411,640x512,13.9504,,,,
building2,11,0.103770955,5.03,576686,640x512,14.0792,,,,
building2,12,0.104780598,5.07,583091,640x512,14.2356,,,,
building2,13,0.103988786,4.69,588842,640x512,14.376,,,,
building2,14,0.101897101,4.85,594725,640x512,14.5196,,,,
building2,15,0.100643557,4.74,599104,640x512,14.6265,,,,
building2,16,0.100135606,4.8,603790,640x512,14.7409,,,,
building2,17,0.098604312,4.85,610733,640x512,14.9104,,,,
building2,18,0.099455955,4.7,615828,640x512,15.0348,,,,
building2,19,0.098321702,4.64,621171,640x512,15.1653,,,,
building2,20,0.096972738,4.71,626675,640x512,15.2996,,,,
building2,21,0.095676815,4.53,632063,640x512,15.4312,,,,
building2,22,0.095082934,4.62,636439,640x512,15.538,,,,
building2,23,0.094347901,4.5,641095,640x512,15.6517,,,,
building2,24,0.095353984,4.65,645675,640x512,15.7635,,,,
building2,25,0.091655644,4.4,650156,640x512,15.8729,,,,
building2,26,0.091813475,4.43,653269,640x512,15.9489,,,,
building2,27,0.098497492,4.79,656141,640x512,16.019,,,,
building2,28,0.090680952,4.23,658144,640x512,16.0679,,,,
building2,29,0.090877772,4.41,659924,640x512,16.1114,,,,
building2,30,0.089428129,4.33,661861,640x512,16.1587,,,,
building2,31,0.090045321,4.45,663044,640x512,16.1875,,,,
building2,32,0.091085153,4.35,663715,640x512,16.2039,,,,
building2,33,0.08986865,3.85,665687,640x512,16.2521,,,,
building2,34,0.089501959,4.34,667261,640x512,16.2905,,,,
building2,35,0.088767187,4.35,667661,640x512,16.3003,,,,
building2,36,0.088762767,4.24,669116,640x512,16.3358,,,,
building2,37,0.088667807,4.25,669715,640x512,16.3504,,,,
building2,38,0.088402086,4.32,671647,640x512,16.3976,,,,
building2,39,0.088528937,4.24,672164,640x512,16.4102,,,,
building2,40,0.088443826,4.29,673408,640x512,16.4406,,,,
building2,41,0.088927768,4.2,674629,640x512,16.4704,,,,
building2,42,0.08980117,4.42,676553,640x512,16.5174,,,,
building2,43,0.087294994,4.19,678546,640x512,16.566,,,,
building2,44,0.08632101,4.11,679773,640x512,16.596,,,,
building2,45,0.089047467,4.26,681077,640x512,16.6278,,,,
building2,46,0.086842402,4.18,682102,640x512,16.6528,,,,
building2,47,0.087296523,4.15,684303,640x512,16.7066,,,,
building2,48,0.085620769,4.15,685995,640x512,16.7479,,,,
building2,49,0.0860334,4.29,687476,640x512,16.784,,,,
