Filename,q_flag,Avg Time,Avg Energy,File Size,Resolution,bpp,,,,
bikes,0,0.065202717,3.23,11221,768x512,0.2282,,0.0370645606486207,2.1770724137931,0.927128310344828
bikes,1,0.064705935,3.17,11764,768x512,0.2393,,,,
bikes,2,0.066240589,3.26,12230,768x512,0.2488,,,,
bikes,3,0.064558385,3.1,12794,768x512,0.2602,,,,
bikes,4,0.065992508,3.05,13338,768x512,0.2713,,,,
bikes,5,0.032053212,2,13439,768x512,0.2734,,,,
bikes,6,0.034497149,2.16,14084,768x512,0.2865,,,,
bikes,7,0.033103574,2.07,14698,768x512,0.299,,,,
bikes,8,0.033586906,2.13,15269,768x512,0.3106,,,,
bikes,9,0.03540427,2.28,15923,768x512,0.3239,,,,
bikes,10,0.032824894,2.13,16602,768x512,0.3377,,,,
bikes,11,0.036267503,2.21,18097,768x512,0.3681,,,,
bikes,12,0.033216015,1.94,18868,768x512,0.3838,,,,
bikes,13,0.035023709,2.03,18867,768x512,0.3838,,,,
bikes,14,0.037661057,2.35,19712,768x512,0.401,,,,
bikes,15,0.032976184,1.99,20542,768x512,0.4179,,,,
bikes,16,0.032866554,1.97,21409,768x512,0.4355,,,,
bikes,17,0.035613031,2.24,22675,768x512,0.4613,,,,
bikes,18,0.034152427,2.24,23696,768x512,0.482,,,,
bikes,19,0.038415158,2.44,24776,768x512,0.504,,,,
bikes,20,0.036373503,2.22,25875,768x512,0.5264,,,,
bikes,21,0.036104612,2.31,26945,768x512,0.5481,,,,
bikes,22,0.035017769,2.12,28124,768x512,0.5721,,,,
bikes,23,0.036998924,2.32,29019,768x512,0.5903,,,,
bikes,24,0.03513224,2.27,30067,768x512,0.6117,,,,
bikes,25,0.038080147,2.32,31034,768x512,0.6313,,,,
bikes,26,0.038133958,2.35,31958,768x512,0.6501,,,,
bikes,27,0.037914087,2.2,32694,768x512,0.6651,,,,
bikes,28,0.037683816,2.35,33388,768x512,0.6792,,,,
bikes,29,0.039452021,2.41,34160,768x512,0.6949,,,,
bikes,30,0.037905027,2.26,34687,768x512,0.7057,,,,
bikes,31,0.037202005,2.3,35083,768x512,0.7137,,,,
bikes,32,0.034632048,2.32,35495,768x512,0.7221,,,,
bikes,33,0.037451146,2.21,35838,768x512,0.7291,,,,
bikes,34,0.035581821,2.13,36203,768x512,0.7365,,,,
bikes,35,0.034559548,2.15,36469,768x512,0.7419,,,,
bikes,36,0.038423749,2.21,36978,768x512,0.7523,,,,
bikes,37,0.035925012,2.32,37479,768x512,0.7625,,,,
bikes,38,0.039433911,2.47,37856,768x512,0.7701,,,,
bikes,39,0.038234198,2.28,38488,768x512,0.783,,,,
bikes,40,0.035971742,2.19,39017,768x512,0.7938,,,,
bikes,41,0.03905073,2.31,39319,768x512,0.7999,,,,
bikes,42,0.034742589,2.19,39947,768x512,0.8127,,,,
bikes,43,0.036033523,2.4,40342,768x512,0.8207,,,,
bikes,44,0.036729954,2.19,41148,768x512,0.8371,,,,
bikes,45,0.037923437,2.24,41669,768x512,0.8477,,,,
bikes,46,0.039227801,2.27,42304,768x512,0.8606,,,,
bikes,47,0.035687781,2.23,42938,768x512,0.8735,,,,
bikes,48,0.037648576,2.26,43602,768x512,0.887,,,,
bikes,49,0.037080135,2.22,44427,768x512,0.9038,,,,
bikes,50,0.03894583,2.37,45129,768x512,0.9181,,,,
bikes,51,0.035969552,2.27,45685,768x512,0.9294,,,,
