Filename,q_flag,Avg Time,Avg Energy,File Size,Resolution,bpp,,,,
bikes,0,0.060972506,2.87,16307,768x512,0.3317,,0.0254155997917241,1.27843793103448,1.066752
bikes,1,0.060036933,2.32,16875,768x512,0.3433,,,,
bikes,2,0.061029296,2.39,17474,768x512,0.3555,,,,
bikes,3,0.062829581,2.81,18041,768x512,0.367,,,,
bikes,4,0.06242192,2.98,18571,768x512,0.3778,,,,
bikes,5,0.022743078,1.15,16382,768x512,0.3332,,,,
bikes,6,0.023258459,1.23,17159,768x512,0.3491,,,,
bikes,7,0.022785308,1.21,17854,768x512,0.3632,,,,
bikes,8,0.023883301,1.38,18700,768x512,0.3804,,,,
bikes,9,0.025431335,1.55,19628,768x512,0.3993,,,,
bikes,10,0.024496773,1.53,20647,768x512,0.42,,,,
bikes,11,0.025127864,1.5,21637,768x512,0.4402,,,,
bikes,12,0.024433153,1.41,22653,768x512,0.4608,,,,
bikes,13,0.023953302,1.23,23734,768x512,0.4828,,,,
bikes,14,0.024924524,1.5,24917,768x512,0.5069,,,,
bikes,15,0.024104722,1.22,26147,768x512,0.5319,,,,
bikes,16,0.023846531,1.21,27327,768x512,0.5559,,,,
bikes,17,0.023569541,1.33,28606,768x512,0.5819,,,,
bikes,18,0.024608643,1.41,29745,768x512,0.6051,,,,
bikes,19,0.02341358,1.21,31060,768x512,0.6319,,,,
bikes,20,0.024225792,1.29,32510,768x512,0.6614,,,,
bikes,21,0.024472182,1.32,34070,768x512,0.6931,,,,
bikes,22,0.023825271,1.25,35202,768x512,0.7161,,,,
bikes,23,0.023946141,1.29,36358,768x512,0.7397,,,,
bikes,24,0.024164802,1.28,37322,768x512,0.7593,,,,
bikes,25,0.024579263,1.36,39020,768x512,0.7938,,,,
bikes,26,0.027937391,1.66,40011,768x512,0.814,,,,
bikes,27,0.025065614,1.47,41064,768x512,0.8354,,,,
bikes,28,0.025229765,1.55,41577,768x512,0.8458,,,,
bikes,29,0.024919044,1.36,42182,768x512,0.8581,,,,
bikes,30,0.02743241,1.55,42767,768x512,0.87,,,,
bikes,31,0.025192444,1.46,43181,768x512,0.8785,,,,
bikes,32,0.024745333,1.22,43741,768x512,0.8899,,,,
bikes,33,0.024274042,1.2,44158,768x512,0.8983,,,,
bikes,34,0.023960391,1.15,44713,768x512,0.9096,,,,
bikes,35,0.024069101,1.23,45178,768x512,0.9191,,,,
bikes,36,0.02387822,1.22,45758,768x512,0.9309,,,,
bikes,37,0.026872509,1.38,46476,768x512,0.9455,,,,
bikes,38,0.024198252,1.28,46816,768x512,0.9524,,,,
bikes,39,0.024120092,1.22,47477,768x512,0.9659,,,,
bikes,40,0.024262162,1.28,48004,768x512,0.9766,,,,
bikes,41,0.024113802,1.18,48735,768x512,0.9915,,,,
bikes,42,0.024165842,1.16,49265,768x512,1.0022,,,,
bikes,43,0.024002311,1.19,49840,768x512,1.0139,,,,
bikes,44,0.025310655,1.25,50590,768x512,1.0292,,,,
bikes,45,0.025644656,1.62,51266,768x512,1.043,,,,
bikes,46,0.030901079,1.72,51751,768x512,1.0528,,,,
bikes,47,0.025198094,1.52,52477,768x512,1.0676,,,,
bikes,48,0.026540318,1.7,53108,768x512,1.0804,,,,
bikes,49,0.025293475,1.33,53858,768x512,1.0957,,,,
bikes,50,0.025890187,1.36,54668,768x512,1.1122,,,,
bikes,51,0.024760904,1.36,55504,768x512,1.1292,,,,
bikes,52,0.024541743,1.21,56277,768x512,1.1449,,,,
bikes,53,0.024891404,1.4,57324,768x512,1.1662,,,,
bikes,54,0.026258537,1.46,57712,768x512,1.1741,,,,
bikes,55,0.024647133,1.28,58359,768x512,1.1873,,,,
bikes,56,0.026269287,1.43,58973,768x512,1.1998,,,,
bikes,57,0.025520145,1.44,59614,768x512,1.2128,,,,
bikes,58,0.026187147,1.42,60227,768x512,1.2253,,,,
bikes,59,0.024814894,1.31,60898,768x512,1.2389,,,,
bikes,60,0.026120686,1.44,61584,768x512,1.2529,,,,
bikes,61,0.025415145,1.42,62288,768x512,1.2672,,,,
bikes,62,0.025221304,1.61,63079,768x512,1.2833,,,,
bikes,63,0.035386631,1.71,63772,768x512,1.2974,,,,
bikes,64,0.025905007,1.33,64663,768x512,1.3155,,,,
bikes,65,0.026613398,1.53,73828,768x512,1.502,,,,
bikes,66,0.025142674,1.33,74840,768x512,1.5226,,,,
bikes,67,0.025541486,1.28,75834,768x512,1.5428,,,,
bikes,68,0.025274825,1.33,76882,768x512,1.5641,,,,
bikes,69,0.025444625,1.34,77994,768x512,1.5867,,,,
bikes,70,0.025181365,1.44,79089,768x512,1.609,,,,
bikes,71,0.025483646,1.3,79869,768x512,1.6249,,,,
bikes,72,0.025809476,1.21,81110,768x512,1.6501,,,,
bikes,73,0.043447661,1.56,82431,768x512,1.677,,,,
bikes,74,0.026811118,1.25,83609,768x512,1.701,,,,
bikes,75,0.026317727,1.44,85010,768x512,1.7295,,,,
bikes,76,0.025772456,1.29,86476,768x512,1.7593,,,,
