Filename;q_flag;Avg Time;Avg Energy;File Size;Resolution;bpp;;ssim;psnr;mse;;min fs;max fs ;avg fs;median fs
bikes;70;0,040523094;2,36;65797;768x512;1,3386;70;0,950646222;31,40596878;47,04175144;;24079;312423;92084,72184;77336
bikes;71;0,041811347;2,44;67216;768x512;1,3675;71;0,952527741;31,56444143;45,3561537;;min bpp;max bpp;avg bpp;median bpp
bikes;72;0,043735522;2,57;68947;768x512;1,4027;72;0,954508776;31,74480079;43,51112196;;0,4898;7,0347;2,092531293;1,7648
bikes;73;0,042716239;2,42;70734;768x512;1,439;73;0,956547124;31,90676302;41,91833835;;min time;max time ;avg time;median time
bikes;74;0,042600819;2,55;72444;768x512;1,4738;74;0,958607346;32,09299736;40,15879059;;0,034780079;0,095977095;0,057429201;0,050940891
bikes;75;0,039610212;2,35;74420;768x512;1,514;75;0,960263859;32,28886682;38,38784027;;min enrg;max nrg;avg nrg;median nrg
bikes;76;0,039585771;2,36;76132;768x512;1,5489;76;0,962232195;32,47385348;36,78705427;;2,04;4,75;3,08162726;2,91
bikes;77;0,040485503;2,55;78292;768x512;1,5928;77;0,964035714;32,69530495;34,95826467;;;;;
bikes;78;0,042117538;2,54;80554;768x512;1,6388;78;0,965989212;32,91158797;33,25994788;;;;;
bikes;79;0,040596414;2,5;82995;768x512;1,6885;79;0,967721846;33,11921854;31,70724487;;;;;
bikes;80;0,041196885;2,59;85477;768x512;1,739;80;0,969634642;33,36874176;29,93685574;;;;;
bikes;81;0,044491814;2,58;88312;768x512;1,7967;81;0,971402598;33,61322083;28,29816522;;;;;
bikes;82;0,041143985;2,42;91217;768x512;1,8558;82;0,973119725;33,87972088;26,61388482;;;;;
bikes;83;0,042653289;2,47;94165;768x512;1,9157;83;0,974873273;34,14240114;25,05187564;;;;;
bikes;84;0,040559934;2,37;97578;768x512;1,9852;84;0,976579191;34,43251346;23,43306054;;;;;
bikes;85;0,040862794;2,64;101178;768x512;2,0584;85;0,978243954;34,71508753;21,95692952;;;;;
bikes;86;0,042283948;2,61;105454;768x512;2,1454;86;0,980016324;35,03715964;20,38751984;;;;;
bikes;87;0,044669525;2,53;109949;768x512;2,2369;87;0,981556254;35,4113725;18,70437113;;;;;
bikes;88;0,0431061;2,55;114235;768x512;2,3241;88;0,983065933;35,63593279;17,76180437;;;;;
bikes;89;0,043623772;2,53;119514;768x512;2,4315;89;0,984642593;36,0253087;16,2386339;;;;;
bikes;90;0,044249153;2,56;126114;768x512;2,5657;90;0,98635726;36,48199945;14,61774614;;;;;
bikes;91;0,04685746;2,69;133142;768x512;2,7087;91;0,987920301;36,93101174;13,18193563;;;;;
bikes;92;0,046172198;2,65;141133;768x512;2,8713;92;0,989424337;37,47625395;11,62665982;;;;;
bikes;93;0,045910748;2,66;150554;768x512;3,063;93;0,990805714;38,03529641;10,22234938;;;;;
bikes;94;0,044682264;2,71;160843;768x512;3,2723;94;0,992211288;38,68850259;8,794883728;;;;;
bikes;95;0,049062435;2,81;174146;768x512;3,543;95;0,993601764;39,42003141;7,431512621;;;;;
bikes;96;0,048734744;2,88;190851;768x512;3,8828;96;0,99486529;40,27477199;6,103840298;;;;;
bikes;97;0,052123363;2,91;212396;768x512;4,3212;97;0,996109767;41,25425758;4,871409098;;;;;
bikes;98;0,054829381;3;245306;768x512;4,9907;98;0,997262128;42,75084864;3,451401605;;;;;
bikes;99;0,055892213;3,29;290748;768x512;5,9152;99;0,998191504;44,47597352;2,319973416;;;;;
