Filename,q_flag,Time,Energy,File Size,Resolution,bpp,,,,
bikes,0,0.113680966,4.1,539800,768x512,10.9822,,0.082189467067931,3.88201034482759,11.6431894827586
bikes,1,0.11890842,4.81,636204,768x512,12.9436,,,,
bikes,2,0.116073823,5.43,651315,768x512,13.251,,,,
bikes,3,0.116838004,5.23,667385,768x512,13.5779,,,,
bikes,4,0.112853735,5.17,677899,768x512,13.7918,,,,
bikes,5,0.111216331,4.57,686406,768x512,13.9649,,,,
bikes,6,0.113235425,5.21,692947,768x512,14.098,,,,
bikes,7,0.111502201,5.19,700507,768x512,14.2518,,,,
bikes,8,0.110105367,5.08,705986,768x512,14.3633,,,,
bikes,9,0.108784194,5.04,707523,768x512,14.3945,,,,
bikes,10,0.109638436,5.13,717204,768x512,14.5915,,,,
bikes,11,0.109898667,5.39,717209,768x512,14.5916,,,,
bikes,12,0.106764599,5.4,723123,768x512,14.7119,,,,
bikes,13,0.107644142,5.23,727433,768x512,14.7996,,,,
bikes,14,0.106523749,5.06,727304,768x512,14.797,,,,
bikes,15,0.104692614,4.93,737207,768x512,14.9985,,,,
bikes,16,0.108042033,5.34,735946,768x512,14.9728,,,,
bikes,17,0.107903943,5.48,738310,768x512,15.0209,,,,
bikes,18,0.104100893,4.88,741342,768x512,15.0826,,,,
bikes,19,0.101577396,5.31,743041,768x512,15.1172,,,,
bikes,20,0.109854657,5.89,746549,768x512,15.1885,,,,
bikes,21,0.101585787,5.02,751568,768x512,15.2906,,,,
bikes,22,0.108126003,5.04,755145,768x512,15.3634,,,,
bikes,23,0.100647383,4.84,759090,768x512,15.4437,,,,
bikes,24,0.100695924,4.76,757138,768x512,15.404,,,,
bikes,25,0.101059045,4.86,759106,768x512,15.444,,,,
bikes,26,0.102808759,5.18,758257,768x512,15.4267,,,,
bikes,27,0.100276273,4.99,762734,768x512,15.5178,,,,
bikes,28,0.098849329,4.93,762261,768x512,15.5082,,,,
bikes,29,0.101746426,4.9,761056,768x512,15.4837,,,,
bikes,30,0.103687541,4.99,766232,768x512,15.589,,,,
bikes,31,0.099483051,4.6,771609,768x512,15.6984,,,,
bikes,32,0.098715659,4.57,770013,768x512,15.6659,,,,
bikes,33,0.09905648,5.04,770594,768x512,15.6777,,,,
bikes,34,0.097408906,4.57,772994,768x512,15.7266,,,,
bikes,35,0.100852995,5.07,772205,768x512,15.7105,,,,
bikes,36,0.096912585,4.62,772969,768x512,15.726,,,,
bikes,37,0.097507506,4.63,773129,768x512,15.7293,,,,
bikes,38,0.098105018,4.77,770422,768x512,15.6742,,,,
bikes,39,0.096992974,4.55,771796,768x512,15.7022,,,,
bikes,40,0.093791256,4.42,770277,768x512,15.6713,,,,
bikes,41,0.099859532,4.6,770277,768x512,15.6713,,,,
bikes,42,0.096592164,4.57,776645,768x512,15.8008,,,,
bikes,43,0.094302097,4.46,775235,768x512,15.7721,,,,
bikes,44,0.09501943,4.54,776479,768x512,15.7975,,,,
bikes,45,0.099483501,4.74,780429,768x512,15.8778,,,,
bikes,46,0.095673082,4.81,781764,768x512,15.905,,,,
bikes,47,0.096313443,4.87,780141,768x512,15.872,,,,
bikes,48,0.095533831,4.67,783874,768x512,15.9479,,,,
bikes,49,0.094182328,4.64,785800,768x512,15.9871,,,,
bikes,50,0.098408828,4.87,781546,768x512,15.9005,,,,
bikes,51,0.097336726,4.66,781128,768x512,15.892,,,,
bikes,52,0.095296931,4.51,783446,768x512,15.9392,,,,
bikes,53,0.096051372,4.76,783446,768x512,15.9392,,,,
bikes,54,0.095009589,4.88,784480,768x512,15.9602,,,,
bikes,55,0.099109,5.18,784841,768x512,15.9676,,,,
bikes,56,0.097050155,4.85,781891,768x512,15.9076,,,,
bikes,57,0.093869187,4.86,781908,768x512,15.9079,,,,
bikes,58,0.097523346,4.95,786611,768x512,16.0036,,,,
bikes,59,0.096460923,4.68,786071,768x512,15.9926,,,,
bikes,60,0.094271338,4.39,786799,768x512,16.0074,,,,
bikes,61,0.098730519,4.8,785638,768x512,15.9838,,,,
bikes,62,0.098046518,4.89,784315,768x512,15.9569,,,,
bikes,63,0.094559168,4.65,788450,768x512,16.041,,,,
bikes,64,0.097589826,4.99,788771,768x512,16.0475,,,,
bikes,65,0.096414553,4.52,787858,768x512,16.029,,,,
bikes,66,0.095460271,4.57,786499,768x512,16.0013,,,,
bikes,67,0.096151182,4.82,789560,768x512,16.0636,,,,
bikes,68,0.094564709,4.35,790699,768x512,16.0868,,,,
bikes,69,0.095343761,4.69,792015,768x512,16.1135,,,,
bikes,70,0.09500487,4.41,794921,768x512,16.1727,,,,
bikes,71,0.094492058,4.51,795571,768x512,16.1859,,,,
bikes,72,0.093111285,4.35,791532,768x512,16.1037,,,,
bikes,73,0.092625084,4.38,791532,768x512,16.1037,,,,
bikes,74,0.094665589,4.48,792265,768x512,16.1186,,,,
bikes,75,0.093808547,4.48,795662,768x512,16.1877,,,,
bikes,76,0.092778903,4.39,791486,768x512,16.1028,,,,
bikes,77,0.09525148,4.81,794065,768x512,16.1552,,,,
bikes,78,0.092406083,4.35,792137,768x512,16.116,,,,
bikes,79,0.093400795,4.37,789960,768x512,16.0717,,,,
bikes,80,0.095588941,4.49,794639,768x512,16.1669,,,,
bikes,81,0.09491192,4.55,792024,768x512,16.1137,,,,
bikes,82,0.098052937,4.85,797050,768x512,16.216,,,,
bikes,83,0.097304055,4.8,796091,768x512,16.1965,,,,
bikes,84,0.096844234,4.91,801109,768x512,16.2986,,,,
bikes,85,0.096947945,4.77,798750,768x512,16.2506,,,,
bikes,86,0.101375026,6.13,796659,768x512,16.208,,,,
bikes,87,0.097431296,5.09,803019,768x512,16.3374,,,,
