Filename,q_flag,Time,Energy,File Size,Resolution,bpp,,,,
bikes,0,0.117575418,4.28,535023,768x512,10.885,,0.0867793075544828,4.0846724137931,11.279628862069
bikes,1,0.122610232,4.99,606879,768x512,12.3469,,,,
bikes,2,0.120330867,4.44,624599,768x512,12.7074,,,,
bikes,3,0.120198377,5.5,636675,768x512,12.9531,,,,
bikes,4,0.122260272,5.25,644621,768x512,13.1148,,,,
bikes,5,0.118120742,5.34,650665,768x512,13.2378,,,,
bikes,6,0.115110905,4.48,657261,768x512,13.372,,,,
bikes,7,0.116330637,5.43,664612,768x512,13.5215,,,,
bikes,8,0.115394295,5.27,670746,768x512,13.6463,,,,
bikes,9,0.114029432,5.21,674056,768x512,13.7137,,,,
bikes,10,0.114300693,5.32,686706,768x512,13.971,,,,
bikes,11,0.111552726,5.2,688260,768x512,14.0026,,,,
bikes,12,0.112655628,5.17,691313,768x512,14.0647,,,,
bikes,13,0.112459728,5.28,697941,768x512,14.1996,,,,
bikes,14,0.111188874,5.1,700427,768x512,14.2502,,,,
bikes,15,0.111650785,5.03,704225,768x512,14.3274,,,,
bikes,16,0.10939353,4.78,706772,768x512,14.3793,,,,
bikes,17,0.1094605,5,708045,768x512,14.4052,,,,
bikes,18,0.108764289,4.97,709183,768x512,14.4283,,,,
bikes,19,0.108266637,4.94,712262,768x512,14.491,,,,
bikes,20,0.108140038,4.97,715720,768x512,14.5613,,,,
bikes,21,0.107482726,4.95,719506,768x512,14.6383,,,,
bikes,22,0.106958594,4.98,721398,768x512,14.6768,,,,
bikes,23,0.105937831,4.91,726674,768x512,14.7842,,,,
bikes,24,0.10539859,4.72,728091,768x512,14.813,,,,
bikes,25,0.107166194,4.93,730990,768x512,14.872,,,,
bikes,26,0.105712821,4.93,730442,768x512,14.8608,,,,
bikes,27,0.106141822,4.93,731967,768x512,14.8919,,,,
bikes,28,0.105643571,4.88,733807,768x512,14.9293,,,,
bikes,29,0.10515789,4.99,733879,768x512,14.9308,,,,
bikes,30,0.102861354,4.82,735398,768x512,14.9617,,,,
bikes,31,0.111043164,5.02,738281,768x512,15.0203,,,,
bikes,32,0.109821591,5.1,741968,768x512,15.0953,,,,
bikes,33,0.104507408,4.67,743478,768x512,15.126,,,,
bikes,34,0.102548973,4.76,746167,768x512,15.1808,,,,
bikes,35,0.102457942,4.78,745122,768x512,15.1595,,,,
bikes,36,0.102233743,4.72,747725,768x512,15.2125,,,,
bikes,37,0.102668563,4.7,750075,768x512,15.2603,,,,
bikes,38,0.101871611,4.26,748882,768x512,15.236,,,,
bikes,39,0.102004542,4.68,751856,768x512,15.2965,,,,
bikes,40,0.100279008,4.72,750320,768x512,15.2652,,,,
bikes,41,0.102078202,4.7,752494,768x512,15.3095,,,,
bikes,42,0.102027552,4.82,753053,768x512,15.3209,,,,
bikes,43,0.099390255,4.61,755268,768x512,15.3659,,,,
bikes,44,0.098362832,4.52,756970,768x512,15.4005,,,,
bikes,45,0.102435953,4.74,760148,768x512,15.4652,,,,
bikes,46,0.100467498,4.61,760148,768x512,15.4652,,,,
bikes,47,0.09734239,4.46,761444,768x512,15.4916,,,,
bikes,48,0.097312711,4.48,763427,768x512,15.5319,,,,
bikes,49,0.098713484,4.59,763859,768x512,15.5407,,,,
bikes,50,0.097700301,4.51,765021,768x512,15.5643,,,,
bikes,51,0.095748146,4.5,764239,768x512,15.5484,,,,
bikes,52,0.097381491,4.63,763862,768x512,15.5408,,,,
bikes,53,0.09755976,4.51,764086,768x512,15.5453,,,,
bikes,54,0.097766572,4.53,764088,768x512,15.5454,,,,
bikes,55,0.095298795,4.35,764443,768x512,15.5526,,,,
bikes,56,0.097579701,4.44,764653,768x512,15.5569,,,,
bikes,57,0.096050517,4.02,765561,768x512,15.5753,,,,
bikes,58,0.097461911,4.57,767944,768x512,15.6238,,,,
bikes,59,0.096758359,4.55,769288,768x512,15.6512,,,,
bikes,60,0.096105837,4.41,768867,768x512,15.6426,,,,
bikes,61,0.095843036,4.38,768688,768x512,15.6389,,,,
bikes,62,0.096206877,4.42,768601,768x512,15.6372,,,,
bikes,63,0.093999082,4.35,770011,768x512,15.6659,,,,
bikes,64,0.093568391,4.36,769772,768x512,15.661,,,,
bikes,65,0.095154195,4.64,771084,768x512,15.6877,,,,
bikes,66,0.098144992,4.66,770746,768x512,15.6808,,,,
bikes,67,0.096126427,4.39,772858,768x512,15.7238,,,,
bikes,68,0.095204265,4.35,774062,768x512,15.7483,,,,
bikes,69,0.095571066,4.41,774663,768x512,15.7605,,,,
bikes,70,0.095199675,4.47,775532,768x512,15.7782,,,,
bikes,71,0.095493095,4.48,776713,768x512,15.8022,,,,
bikes,72,0.095871587,4.51,777244,768x512,15.813,,,,
bikes,73,0.094780524,4.49,776585,768x512,15.7996,,,,
bikes,74,0.09701967,4.43,779003,768x512,15.8488,,,,
bikes,75,0.095879256,4.41,779679,768x512,15.8626,,,,
bikes,76,0.097104029,4.53,782319,768x512,15.9163,,,,
bikes,77,0.09734051,4.52,785157,768x512,15.974,,,,
bikes,78,0.096359068,4.4,785277,768x512,15.9765,,,,
bikes,79,0.097285931,4.46,786418,768x512,15.9997,,,,
bikes,80,0.096996039,4.5,785756,768x512,15.9862,,,,
bikes,81,0.099263045,4.49,787376,768x512,16.0192,,,,
bikes,82,0.096571569,4.39,788406,768x512,16.0401,,,,
