Filename,q_flag,Avg Time,Avg Energy,File Size,Resolution,bpp,,,,48984.0137978613
bikes,0,0.033966225,1.21,9858,768x512,0.2005,,0.0399214352182759,1.71481724137931,1.1124794137931
bikes,1,0.036850513,1.66,15624,768x512,0.3178,,,,
bikes,2,0.037321894,1.47,17724,768x512,0.3605,,,,
bikes,3,0.037989665,1.79,19378,768x512,0.3942,,,,
bikes,4,0.038985678,1.8,21038,768x512,0.428,,,,
bikes,5,0.038141646,1.44,22144,768x512,0.4505,,,,
bikes,6,0.039191409,1.84,23112,768x512,0.4702,,,,
bikes,7,0.038674427,1.44,24262,768x512,0.4936,,,,
bikes,8,0.03959918,1.85,25538,768x512,0.5195,,,,
bikes,9,0.039606659,1.48,26304,768x512,0.5351,,,,
bikes,10,0.040115941,1.87,27478,768x512,0.559,,,,
bikes,11,0.040958573,1.88,28500,768x512,0.5798,,,,
bikes,12,0.040221321,1.51,29080,768x512,0.5916,,,,
bikes,13,0.041286803,1.94,30302,768x512,0.6164,,,,
bikes,14,0.040623292,1.57,31200,768x512,0.6347,,,,
bikes,15,0.040905683,1.92,32124,768x512,0.6535,,,,
bikes,16,0.041408394,1.55,33262,768x512,0.6767,,,,
bikes,17,0.041646375,1.93,33880,768x512,0.6892,,,,
bikes,18,0.041510065,1.55,34610,768x512,0.7041,,,,
bikes,19,0.042342846,1.98,35898,768x512,0.7303,,,,
bikes,20,0.041736965,1.64,36776,768x512,0.7482,,,,
bikes,21,0.042072345,2.04,37736,768x512,0.7677,,,,
bikes,22,0.042667287,1.56,38592,768x512,0.7851,,,,
bikes,23,0.042425326,1.96,39552,768x512,0.8046,,,,
bikes,24,0.042382346,1.63,40250,768x512,0.8188,,,,
bikes,25,0.042869278,2.01,41194,768x512,0.838,,,,
bikes,26,0.043642619,1.7,42108,768x512,0.8566,,,,
bikes,27,0.043219769,2.06,42310,768x512,0.8607,,,,
bikes,28,0.043030448,1.63,43378,768x512,0.8825,,,,
bikes,29,0.043476339,2,44152,768x512,0.8982,,,,
bikes,30,0.043191278,1.67,44644,768x512,0.9082,,,,
bikes,31,0.04389827,2.04,45722,768x512,0.9302,,,,
bikes,32,0.043739859,1.67,46748,768x512,0.951,,,,
bikes,33,0.043942221,2.04,47696,768x512,0.9703,,,,
bikes,34,0.044106071,1.66,48884,768x512,0.9945,,,,
bikes,35,0.044629502,2.09,49396,768x512,1.0049,,,,
bikes,36,0.043993451,1.67,49720,768x512,1.0115,,,,
bikes,37,0.044710882,2.06,50546,768x512,1.0283,,,,
bikes,38,0.045028233,1.68,51218,768x512,1.042,,,,
bikes,39,0.044752372,2.09,51936,768x512,1.0566,,,,
bikes,40,0.045447614,1.68,52600,768x512,1.0701,,,,
bikes,41,0.044694232,2.06,53192,768x512,1.0821,,,,
bikes,42,0.045635195,2.18,54114,768x512,1.1009,,,,
bikes,43,0.044930723,1.7,54580,768x512,1.1104,,,,
bikes,44,0.045517694,2.11,55616,768x512,1.1315,,,,
bikes,45,0.046152386,1.71,57366,768x512,1.1671,,,,
bikes,46,0.045970936,2.12,57366,768x512,1.1671,,,,
bikes,47,0.046299967,1.73,58022,768x512,1.1804,,,,
bikes,48,0.046197786,2.18,59262,768x512,1.2056,,,,
bikes,49,0.045956565,1.74,60166,768x512,1.224,,,,
bikes,50,0.046406587,2.16,60432,768x512,1.2294,,,,
bikes,51,0.046134086,1.72,61040,768x512,1.2418,,,,
bikes,52,0.046279786,2.11,61286,768x512,1.2468,,,,
bikes,53,0.046270336,1.72,62392,768x512,1.2693,,,,
bikes,54,0.046698068,2.2,62450,768x512,1.2705,,,,
bikes,55,0.046866178,1.74,64256,768x512,1.3072,,,,
bikes,56,0.047247199,2.14,64878,768x512,1.3199,,,,
bikes,57,0.047254049,1.79,65120,768x512,1.3248,,,,
bikes,58,0.047353299,2.15,65990,768x512,1.3425,,,,
bikes,59,0.047180848,1.8,66660,768x512,1.3562,,,,
bikes,60,0.04789156,2.21,67804,768x512,1.3794,,,,
bikes,61,0.048910893,1.92,68396,768x512,1.3915,,,,
bikes,62,0.047213449,2.25,68572,768x512,1.3951,,,,
bikes,63,0.04738059,1.77,70528,768x512,1.4348,,,,
bikes,64,0.047279928,2.22,70846,768x512,1.4413,,,,
bikes,65,0.047028518,1.78,71408,768x512,1.4527,,,,
bikes,66,0.048009281,2.23,71650,768x512,1.4577,,,,
bikes,67,0.04785039,1.84,72958,768x512,1.4843,,,,
bikes,68,0.048382931,2.21,74110,768x512,1.5077,,,,
bikes,69,0.047779909,1.81,75316,768x512,1.5323,,,,
bikes,70,0.048390961,2.29,76094,768x512,1.5481,,,,
bikes,71,0.047941541,1.8,76882,768x512,1.5641,,,,
bikes,72,0.049173653,2.26,77368,768x512,1.574,,,,
bikes,73,0.049082723,1.84,78300,768x512,1.593,,,,
bikes,74,0.048680003,2.24,79198,768x512,1.6112,,,,
bikes,75,0.049733035,1.92,80578,768x512,1.6393,,,,
bikes,76,0.048990463,2.24,82820,768x512,1.6849,,,,
bikes,77,0.049333934,1.89,86512,768x512,1.76,,,,
bikes,78,0.049651985,2.28,88822,768x512,1.807,,,,
bikes,79,0.049863595,1.89,90672,768x512,1.8447,,,,
bikes,80,0.050670087,2.32,95312,768x512,1.9391,,,,
bikes,81,0.05163762,1.89,97912,768x512,1.992,,,,
bikes,82,0.051547329,2.28,101556,768x512,2.0661,,,,
bikes,83,0.05147558,1.92,103824,768x512,2.1123,,,,
bikes,84,0.052385422,2.32,109694,768x512,2.2317,,,,
bikes,85,0.053695935,2.01,112986,768x512,2.2987,,,,
bikes,86,0.053416735,2.07,117560,768x512,2.3917,,,,
bikes,87,0.054882698,2.07,122946,768x512,2.5013,,,,
bikes,88,0.055526789,2.09,128046,768x512,2.6051,,,,
bikes,89,0.05575379,2.1,134896,768x512,2.7444,,,,
bikes,90,0.056772133,2.2,141322,768x512,2.8752,,,,
bikes,91,0.056914093,2.19,148484,768x512,3.0209,,,,
bikes,92,0.057784785,2.24,154812,768x512,3.1496,,,,
bikes,93,0.05954039,2.29,167546,768x512,3.4087,,,,
bikes,94,0.060224961,2.35,176666,768x512,3.5942,,,,
bikes,95,0.062027336,2.47,187110,768x512,3.8067,,,,
bikes,96,0.063806861,2.46,201142,768x512,4.0922,,,,
bikes,97,0.064119531,2.6,208534,768x512,4.2426,,,,
bikes,98,0.066194336,2.65,226910,768x512,4.6164,,,,
bikes,99,0.067166399,2.73,239986,768x512,4.8825,,,,
building2,0,0.031436519,1.18,11548,640x512,0.2819,,,,
building2,1,0.033815934,1.58,19772,640x512,0.4827,,,,
building2,2,0.035093668,1.29,22494,640x512,0.5491,,,,
building2,3,0.03572364,1.65,24924,640x512,0.6084,,,,
building2,4,0.035682179,1.31,26824,640x512,0.6548,,,,
building2,5,0.036550702,1.7,28752,640x512,0.7019,,,,
building2,6,0.036298241,1.35,30380,640x512,0.7416,,,,
building2,7,0.036864113,1.71,31702,640x512,0.7739,,,,
building2,8,0.037285964,1.4,33378,640x512,0.8148,,,,
building2,9,0.037021393,1.7,34504,640x512,0.8423,,,,
building2,10,0.037563295,1.41,36254,640x512,0.8851,,,,
building2,11,0.037973115,1.76,37892,640x512,0.925,,,,
building2,12,0.037853705,1.44,38836,640x512,0.9481,,,,
building2,13,0.038305726,1.75,40150,640x512,0.9802,,,,
building2,14,0.038915068,1.41,41282,640x512,1.0078,,,,
building2,15,0.039176108,1.88,42422,640x512,1.0356,,,,
building2,16,0.038903648,1.47,43506,640x512,1.0621,,,,
building2,17,0.039195999,1.88,44380,640x512,1.0834,,,,
building2,18,0.03955844,1.52,45098,640x512,1.101,,,,
building2,19,0.039355229,1.81,46822,640x512,1.1431,,,,
building2,20,0.039436989,1.52,48070,640x512,1.1735,,,,
building2,21,0.040408872,1.86,48886,640x512,1.1935,,,,
building2,22,0.039432729,1.47,49646,640x512,1.212,,,,
building2,23,0.040289591,1.85,50562,640x512,1.2344,,,,
building2,24,0.040190501,1.5,51516,640x512,1.2577,,,,
building2,25,0.040514941,1.86,52600,640x512,1.2841,,,,
building2,26,0.040262861,1.54,53966,640x512,1.3175,,,,
building2,27,0.040836672,1.89,55038,640x512,1.3437,,,,
building2,28,0.040660232,1.48,56372,640x512,1.3762,,,,
building2,29,0.041303544,1.87,57432,640x512,1.4021,,,,
building2,30,0.041601964,1.57,58582,640x512,1.4302,,,,
building2,31,0.041532534,1.88,59322,640x512,1.4482,,,,
building2,32,0.041739914,1.56,60554,640x512,1.4783,,,,
building2,33,0.042008395,1.93,62110,640x512,1.5163,,,,
building2,34,0.042199336,1.58,62314,640x512,1.5213,,,,
building2,35,0.042289376,1.97,62818,640x512,1.5336,,,,
building2,36,0.041745745,1.54,64442,640x512,1.5732,,,,
building2,37,0.042521117,1.96,65804,640x512,1.6065,,,,
building2,38,0.043077658,1.63,66768,640x512,1.63,,,,
building2,39,0.042817167,1.97,67340,640x512,1.644,,,,
building2,40,0.041818676,1.59,68734,640x512,1.678,,,,
building2,41,0.042886798,2,70252,640x512,1.7151,,,,
building2,42,0.042494977,1.63,70934,640x512,1.7317,,,,
building2,43,0.043206939,2.03,72106,640x512,1.7604,,,,
building2,44,0.043750329,1.63,72302,640x512,1.7651,,,,
building2,45,0.043665799,2.03,73084,640x512,1.7842,,,,
building2,46,0.04359303,1.64,74464,640x512,1.8179,,,,
building2,47,0.043551039,2,74656,640x512,1.8226,,,,
building2,48,0.043090218,1.62,75382,640x512,1.8403,,,,
building2,49,0.043663499,2.01,76774,640x512,1.8743,,,,
building2,50,0.04349907,1.66,77332,640x512,1.8879,,,,
building2,51,0.043962981,2.01,77962,640x512,1.9033,,,,
building2,52,0.04396728,1.72,79066,640x512,1.9303,,,,
building2,53,0.044264061,2.01,80162,640x512,1.957,,,,
building2,54,0.044662062,1.65,80936,640x512,1.9759,,,,
building2,55,0.044317741,2.04,81848,640x512,1.9982,,,,
building2,56,0.044279551,1.65,82310,640x512,2.0095,,,,
building2,57,0.044874173,2.01,83802,640x512,2.0459,,,,
building2,58,0.044905453,2.08,84084,640x512,2.0528,,,,
building2,59,0.045264753,1.66,85030,640x512,2.0759,,,,
building2,60,0.045034013,2.04,85766,640x512,2.0938,,,,
building2,61,0.044859063,1.69,87360,640x512,2.1328,,,,
building2,62,0.045504795,2.1,87360,640x512,2.1328,,,,
building2,63,0.045268214,1.67,88606,640x512,2.1632,,,,
building2,64,0.045671645,2.08,88970,640x512,2.1721,,,,
building2,65,0.045357224,1.7,90508,640x512,2.2096,,,,
building2,66,0.045749935,2.1,91538,640x512,2.2348,,,,
building2,67,0.045314364,1.7,92436,640x512,2.2567,,,,
building2,68,0.046350597,2.14,93412,640x512,2.2805,,,,
building2,69,0.046058606,1.78,94136,640x512,2.2982,,,,
