Filename,q_flag,Avg Time,Avg Energy,File Size,Resolution,bpp,,,,
bikes,0,0.037232044,1.6,9772,768x512,0.1988,,0.044360838147931,1.90828275862069,1.08453317241379
bikes,1,0.04018017,1.97,15502,768x512,0.3153,,,,
bikes,2,0.041737064,1.68,17468,768x512,0.3553,,,,
bikes,3,0.041387203,1.96,19052,768x512,0.3876,,,,
bikes,4,0.042118204,1.93,20554,768x512,0.4181,,,,
bikes,5,0.041915844,1.56,21570,768x512,0.4388,,,,
bikes,6,0.042914766,1.99,22644,768x512,0.4606,,,,
bikes,7,0.042955706,1.65,23760,768x512,0.4833,,,,
bikes,8,0.044086939,2.07,24888,768x512,0.5063,,,,
bikes,9,0.04469295,1.68,25696,768x512,0.5227,,,,
bikes,10,0.044692471,2.27,26830,768x512,0.5458,,,,
bikes,11,0.044739841,1.86,27858,768x512,0.5667,,,,
bikes,12,0.045077012,2.11,28386,768x512,0.5775,,,,
bikes,13,0.045224401,1.74,29554,768x512,0.6012,,,,
bikes,14,0.045282692,2.09,30340,768x512,0.6172,,,,
bikes,15,0.045038671,1.73,31168,768x512,0.6341,,,,
bikes,16,0.046563864,2.26,32420,768x512,0.6595,,,,
bikes,17,0.047357936,1.78,33054,768x512,0.6724,,,,
bikes,18,0.047165396,2.25,33696,768x512,0.6855,,,,
bikes,19,0.046892756,1.88,34774,768x512,0.7074,,,,
bikes,20,0.047526487,2.31,35782,768x512,0.7279,,,,
bikes,21,0.047140476,1.89,36700,768x512,0.7466,,,,
bikes,22,0.047778208,2.28,37550,768x512,0.7639,,,,
bikes,23,0.047658707,1.82,38344,768x512,0.7801,,,,
bikes,24,0.048429129,2.47,39018,768x512,0.7938,,,,
bikes,25,0.048244238,1.89,39854,768x512,0.8108,,,,
bikes,26,0.047758247,2.26,40768,768x512,0.8294,,,,
bikes,27,0.049340931,2.03,41014,768x512,0.8344,,,,
bikes,28,0.049191991,2.47,41998,768x512,0.8544,,,,
bikes,29,0.047859947,1.78,42820,768x512,0.8711,,,,
bikes,30,0.048637229,2.26,43390,768x512,0.8827,,,,
bikes,31,0.0493371,2.05,44260,768x512,0.9004,,,,
bikes,32,0.049772362,2.37,45304,768x512,0.9217,,,,
bikes,33,0.048662389,1.9,46296,768x512,0.9418,,,,
bikes,34,0.050015913,2.33,47320,768x512,0.9627,,,,
bikes,35,0.049803642,1.94,47756,768x512,0.9715,,,,
bikes,36,0.049435221,2.22,48194,768x512,0.9805,,,,
bikes,37,0.049762191,1.89,49056,768x512,0.998,,,,
bikes,38,0.050692584,2.36,49538,768x512,1.0078,,,,
bikes,39,0.050732455,1.94,50552,768x512,1.0284,,,,
bikes,40,0.050634824,2.36,50996,768x512,1.0375,,,,
bikes,41,0.050162213,1.97,51586,768x512,1.0495,,,,
bikes,42,0.051204746,2.39,52546,768x512,1.069,,,,
bikes,43,0.050309103,1.93,52914,768x512,1.0765,,,,
bikes,44,0.055080794,2.93,54170,768x512,1.102,,,,
bikes,45,0.051788376,2.26,55542,768x512,1.13,,,,
bikes,46,0.0576523,2.92,55542,768x512,1.13,,,,
bikes,47,0.051480066,2.3,56588,768x512,1.1512,,,,
bikes,48,0.052410478,2.67,57398,768x512,1.1677,,,,
bikes,49,0.052290017,2.46,58154,768x512,1.1831,,,,
bikes,50,0.051830347,2.06,58598,768x512,1.1921,,,,
bikes,51,0.052418747,2.42,59390,768x512,1.2082,,,,
bikes,52,0.051724017,1.97,59522,768x512,1.2109,,,,
bikes,53,0.052604948,2.38,60558,768x512,1.232,,,,
bikes,54,0.052536598,2.01,60706,768x512,1.235,,,,
bikes,55,0.053104719,2.45,62164,768x512,1.2647,,,,
bikes,56,0.054130342,2.29,62690,768x512,1.2754,,,,
bikes,57,0.05346996,2.38,63212,768x512,1.286,,,,
bikes,58,0.05331076,1.99,64106,768x512,1.3042,,,,
bikes,59,0.05349217,2.39,64638,768x512,1.315,,,,
bikes,60,0.053822241,2.04,65468,768x512,1.3319,,,,
bikes,61,0.05348478,2.4,66490,768x512,1.3527,,,,
bikes,62,0.054042581,2.04,66892,768x512,1.3609,,,,
bikes,63,0.054555852,2.53,68476,768x512,1.3931,,,,
bikes,64,0.054652563,2.73,68806,768x512,1.3998,,,,
bikes,65,0.054683702,2.5,69916,768x512,1.4224,,,,
bikes,66,0.056180347,2.5,70090,768x512,1.4259,,,,
bikes,67,0.054610363,2.12,71192,768x512,1.4484,,,,
bikes,68,0.054810784,2.5,71970,768x512,1.4642,,,,
bikes,69,0.056503387,2.31,72940,768x512,1.4839,,,,
bikes,70,0.056031486,2.21,73488,768x512,1.4951,,,,
bikes,71,0.055602065,2.18,74476,768x512,1.5152,,,,
bikes,72,0.056654118,2.36,75508,768x512,1.5362,,,,
bikes,73,0.056198806,2.34,76168,768x512,1.5496,,,,
bikes,74,0.056374447,2.23,76848,768x512,1.5634,,,,
bikes,75,0.056548257,2.37,78288,768x512,1.5927,,,,
bikes,76,0.056118346,2.13,80842,768x512,1.6447,,,,
bikes,77,0.058443951,2.29,84388,768x512,1.7168,,,,
bikes,78,0.058235851,2.28,86862,768x512,1.7672,,,,
bikes,79,0.05809093,2.27,88712,768x512,1.8048,,,,
bikes,80,0.058603401,2.44,93108,768x512,1.8942,,,,
bikes,81,0.058696772,2.28,95902,768x512,1.9511,,,,
bikes,82,0.059508844,2.38,99308,768x512,2.0204,,,,
bikes,83,0.060251265,2.35,102092,768x512,2.077,,,,
bikes,84,0.060657857,2.39,107468,768x512,2.1864,,,,
bikes,85,0.060678757,2.4,110970,768x512,2.2576,,,,
bikes,86,0.061265727,2.41,115810,768x512,2.3561,,,,
bikes,87,0.061552098,2.49,120354,768x512,2.4486,,,,
bikes,88,0.062732941,2.44,126258,768x512,2.5687,,,,
bikes,89,0.063669493,2.56,132486,768x512,2.6954,,,,
bikes,90,0.065770808,2.62,139508,768x512,2.8382,,,,
bikes,91,0.065792007,2.67,145882,768x512,2.9679,,,,
bikes,92,0.06654586,2.64,152394,768x512,3.1004,,,,
bikes,93,0.068752474,2.72,164660,768x512,3.35,,,,
bikes,94,0.070212038,3.03,174230,768x512,3.5447,,,,
bikes,95,0.070514698,2.88,183650,768x512,3.7363,,,,
bikes,96,0.074244827,2.96,198188,768x512,4.0321,,,,
