Filename;q_flag;Avg Time;Avg Energy;File Size;Resolution;bpp;q_flag;ssim;psnr;mse;;min fs;max fs ;avg fs;median fs
bikes;90;0,056772133;2,2;141322;768x512;2,8752;90;0,990661257;38,34569732;9,517231411;;97326;274452;168788,8256;164526
bikes;91;0,056914093;2,19;148484;768x512;3,0209;91;0,991744903;38,68044067;8,811225043;;min bpp;max bpp;avg bpp;median bpp
bikes;92;0,057784785;2,24;154812;768x512;3,1496;92;0,992385536;39,06893104;8,057257758;;2,4465;6,0933;3,882652907;3,7636
bikes;93;0,05954039;2,29;167546;768x512;3,4087;93;0,99359265;39,68525375;6,991252475;;min time;max time ;avg time;median time
bikes;94;0,060224961;2,35;176666;768x512;3,5942;94;0,994242874;40,04510578;6,435314602;;0,041991346;0,071502479;0,056269447;0,056256892
bikes;95;0,062027336;2,47;187110;768x512;3,8067;95;0,995035266;40,47030799;5,835116916;;min enrg;max nrg;avg nrg;median nrg
bikes;96;0,063806861;2,46;201142;768x512;4,0922;96;0,99578577;40,94893164;5,226214091;;1,61;3,06;2,286686047;2,29
bikes;97;0,064119531;2,6;208534;768x512;4,2426;97;0,996008624;41,19995709;4,932699415;;;;;
bikes;98;0,066194336;2,65;226910;768x512;4,6164;98;0,996629177;41,6200809;4,477878147;;;;;
bikes;99;0,067166399;2,73;239986;768x512;4,8825;99;0,996913353;41,81187419;4,284428914;;;;;
building2;84;0,051639269;2,29;134844;640x512;3,292;84;0,990178078;34,0261436;25,73155314;;;;;
building2;85;0,051023008;2,07;137920;640x512;3,3671;85;0,991012429;34,14797572;25,01973979;;;;;
building2;86;0,054342937;2,32;144296;640x512;3,5228;86;0,9921199;34,57421478;22,68082682;;;;;
building2;87;0,05177252;1,97;148866;640x512;3,6344;87;0,992926987;34,88454452;21,11669312;;;;;
building2;88;0,054007515;2,35;154266;640x512;3,7662;88;0,993626036;35,24458001;19,4366923;;;;;
building2;89;0,054473827;2,08;162130;640x512;3,9582;89;0,994579455;35,62918434;17,78942566;;;;;
building2;90;0,054067536;2,05;166468;640x512;4,0641;90;0,995077781;35,8525857;16,89747416;;;;;
building2;91;0,054942898;2,09;174548;640x512;4,2614;91;0,995798666;36,22849031;15,49641825;;;;;
building2;92;0,056528212;2,18;180380;640x512;4,4038;92;0,996267514;36,38267363;14,95591532;;;;;
building2;93;0,056612792;2,2;187892;640x512;4,5872;93;0,996688155;36,77335012;13,66927083;;;;;
building2;94;0,05942713;2,32;197872;640x512;4,8308;94;0,997116235;37,13741843;12,57009379;;;;;
building2;95;0,058526217;2,28;207244;640x512;5,0596;95;0,997415455;37,39279067;11,85226339;;;;;
building2;96;0,060162721;2,39;214792;640x512;5,2439;96;0,997679704;37,49715417;11,57084147;;;;;
building2;97;0,061770185;2,41;225782;640x512;5,5122;97;0,997922963;37,75361652;10,90733643;;;;;
building2;98;0,063208609;2,5;235596;640x512;5,7518;98;0,998104662;37,75162987;10,91232707;;;;;
building2;99;0,063892581;2,52;249582;640x512;6,0933;99;0,9982838;37,93830667;10,45321045;;;;;
buildings;91;0,060248301;2,29;156234;768x512;3,1785;91;0,990632336;38,98826901;8,208304511;;;;;
buildings;92;0,061925576;2,42;164682;768x512;3,3504;92;0,992006239;39,44297486;7,392356025;;;;;
buildings;93;0,062957048;2,51;180896;768x512;3,6803;93;0,993579628;40,1771884;6,242542691;;;;;
buildings;94;0,065140193;2,68;191230;768x512;3,8905;94;0,994293328;40,64797399;5,601224264;;;;;
buildings;95;0,066068586;2,62;202738;768x512;4,1247;95;0,995191592;41,04828462;5,108011882;;;;;
buildings;96;0,06747559;2,67;211454;768x512;4,302;96;0,995397514;41,3939026;4,717263116;;;;;
buildings;97;0,068754713;2,74;223502;768x512;4,5471;97;0,996142804;41,72941331;4,366555956;;;;;
buildings;98;0,069683935;2,79;235524;768x512;4,7917;98;0,996576638;41,93662862;4,163106283;;;;;
buildings;99;0,070696617;2,85;247362;768x512;5,0325;99;0,9969522;42,12011379;3,990882874;;;;;
caps;99;0,054123706;2,49;128904;768x512;2,6225;99;0,990454904;43,88293497;2,65941959;;;;;
carnivaldolls;94;0,043045238;1,98;98730;610x488;2,6533;94;0,990974473;38,10843608;10,05163598;;;;;
carnivaldolls;95;0,04360388;1,61;104534;610x488;2,8092;95;0,991663222;38,39720072;9,405032249;;;;;
carnivaldolls;96;0,044756242;2,15;111972;610x488;3,0091;96;0,992724086;38,64210416;8,889348741;;;;;
carnivaldolls;97;0,045163013;1,68;122198;610x488;3,284;97;0,993854297;38,9432687;8,29379871;;;;;
carnivaldolls;98;0,047082379;2,17;129550;610x488;3,4815;98;0,994330211;38,9963733;8,193001433;;;;;
carnivaldolls;99;0,047306289;1,76;138820;610x488;3,7307;99;0,995036038;39,23848755;7,748749216;;;;;
cemetry;92;0,049133573;2,22;129678;627x482;3,4327;92;0,990183478;36,48380431;14,61167252;;;;;
cemetry;93;0,050058456;1,84;137728;627x482;3,6458;93;0,99120795;36,78671652;13,62726523;;;;;
cemetry;94;0,051327149;2,27;146574;627x482;3,88;94;0,992444657;37,04036076;12,85417728;;;;;
cemetry;95;0,052456442;1,92;158456;627x482;4,1945;95;0,993645722;37,42241852;11,77168166;;;;;
cemetry;96;0,054421277;2,52;163972;627x482;4,3405;96;0,993854526;37,63341483;11,21344037;;;;;
cemetry;97;0,054311256;2,03;176062;627x482;4,6605;97;0,994716029;37,82970182;10,71791181;;;;;
cemetry;98;0,057068344;2,69;188190;627x482;4,9816;98;0,995261019;38,05078401;10,18595984;;;;;
cemetry;99;0,056086561;2,17;200102;627x482;5,2969;99;0,995631946;38,10699111;10,05498091;;;;;
churchandcapitol;94;0,049467484;2,32;125628;634x505;3,139;94;0,990337656;38,77207186;8,627265723;;;;;
churchandcapitol;95;0,050598107;1,95;132692;634x505;3,3155;95;0,991370496;39,01320147;8,161316384;;;;;
churchandcapitol;96;0,051303078;2,33;141854;634x505;3,5444;96;0,991852928;39,27657375;7,681092336;;;;;
churchandcapitol;97;0,052968613;2,07;156036;634x505;3,8988;97;0,992842248;39,5615631;7,193231721;;;;;
churchandcapitol;98;0,054506507;2,58;163620;634x505;4,0883;98;0,993172202;39,60179551;7,126902375;;;;;
churchandcapitol;99;0,053800285;2,08;171238;634x505;4,2786;99;0,993909719;39,69617916;6,973686896;;;;;
coinsinfountain;93;0,050445147;2,29;135864;640x512;3,3169;93;0,990864916;38,38930785;9,422140503;;;;;
coinsinfountain;94;0,051397829;1,95;142662;640x512;3,4829;94;0,991842791;38,6582346;8,856393433;;;;;
coinsinfountain;95;0,052553272;2,33;154054;640x512;3,761;95;0,993203117;39,22087261;7,780241903;;;;;
coinsinfountain;96;0,053365465;2;158048;640x512;3,8585;96;0,993483117;39,3769165;7,505656942;;;;;
coinsinfountain;97;0,055274319;2,56;170216;640x512;4,1556;97;0,994484913;39,75218794;6,884328206;;;;;
coinsinfountain;98;0,056177861;2,15;186582;640x512;4,5552;98;0,995248102;40,08721186;6,373223877;;;;;
coinsinfountain;99;0,057245584;2,24;198284;640x512;4,8409;99;0,995730949;40,15708467;6,271506755;;;;;
dancers;92;0,043088138;2;108282;618x453;3,0942;92;0,990677649;35,79110868;17,13836916;;;;;
dancers;93;0,045170774;1,7;117128;618x453;3,347;93;0,991864976;36,0511893;16,14215192;;;;;
dancers;94;0,045445534;2,11;125548;618x453;3,5876;94;0,992830551;36,27620973;15,32707873;;;;;
dancers;95;0,045637805;1,74;133906;618x453;3,8265;95;0,993743996;36,49596404;14,57081878;;;;;
dancers;96;0,047470259;2,25;140986;618x453;4,0288;96;0,994330502;36,7056963;13,88387616;;;;;
dancers;97;0,047305998;1,82;148780;618x453;4,2515;97;0,994812386;36,80994474;13,55457444;;;;;
dancers;98;0,049085663;2,22;161296;618x453;4,6092;98;0,995452448;36,9552689;13,10851426;;;;;
dancers;99;0,050328826;2,03;170546;618x453;4,8735;99;0,995892826;37,03212861;12,87856576;;;;;
flowersonih35;86;0,047450129;2,2;118912;640x512;2,9031;86;0,990690971;33,98359041;25,98491618;;;;;
flowersonih35;87;0,048143191;1,77;122324;640x512;2,9864;87;0,991456445;34,07616824;25,43686218;;;;;
flowersonih35;88;0,048332681;2,28;129328;640x512;3,1574;88;0,992244384;34,61093824;22,48984884;;;;;
flowersonih35;89;0,048820313;1,8;133544;640x512;3,2603;89;0,99317005;34,76800657;21,69100647;;;;;
flowersonih35;90;0,049898335;2,19;137624;640x512;3,3599;90;0,993549981;34,99260453;20,59775594;;;;;
flowersonih35;91;0,050422447;1,92;146366;640x512;3,5733;91;0,994388049;35,3995689;18,75527649;;;;;
flowersonih35;92;0,050847278;2,24;151550;640x512;3,6999;92;0,994785421;35,45758403;18,50640055;;;;;
flowersonih35;93;0,05148437;1,94;158554;640x512;3,8709;93;0,995389858;35,76619127;17,23698222;;;;;
